name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Doomslug the Destroyer,549766237,1649642,2204934,4011199,2,10,1,4011199,2234199,4,0,FALSE,TRUE,0,33861,TRUE,TRUE,-29265,0,0,1,2,3,4
Zhil Axfow,826592934,2684377,3441485,3670632,13,15,0,3670632,794632,4,1,FALSE,FALSE,0,195411,TRUE,TRUE,2646853,0,0,3,4,4,4
Guntha Arbos,248271439,2532483,3629539,3396120,3,14,0,3396120,722620,4,1,FALSE,FALSE,0,63572,TRUE,TRUE,2906919,0,0,2,4,4,4
Philo Beddoe,753225541,2509098,3199523,6372013,20,16,0,6372013,3204013,4,1,FALSE,TRUE,0,272799,TRUE,TRUE,-4490,0,0,4,4,4,4
Loadage,268951863,2421185,3073571,6243897,3,16,0,6243897,3075897,4,1,FALSE,TRUE,0,47292,TRUE,TRUE,-2326,0,0,4,4,4,4
BabyYodaHitta,629856937,1092092,1674074,3466551,0,10,0,3466551,1674551,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-477,0,0,3,3,4,0
ilekkund,214848174,2964202,4160752,7329662,2,16,0,7329662,4161662,4,1,FALSE,TRUE,0,49469,TRUE,TRUE,-910,0,0,4,4,4,4
Higgs,265535499,2240688,3130640,6298730,4,16,1,6298730,3130730,4,0,FALSE,TRUE,0,67474,TRUE,TRUE,-90,0,0,4,4,4,4
ilekkund2,148163689,2042765,2575172,5747234,0,16,0,5747234,2579234,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-4062,0,0,4,4,4,4
MINI xipokemastrix,242144976,1673978,2385053,5569725,9,16,0,5569725,2401725,4,1,FALSE,TRUE,0,192231,TRUE,TRUE,-16672,0,0,4,4,4,4
Flywire,515621617,2247372,3192103,213052,10,0,0,213052,213052,0,1,FALSE,FALSE,0,104786,FALSE,FALSE,2979051,0,0,,,,
GANIC,357417789,1849333,2831039,5715381,7,15,2,5715381,2839381,4,0,FALSE,TRUE,0,125764,TRUE,TRUE,-8342,0,0,3,4,4,4
Ben8cv,331225772,2634049,3483942,3540427,1,15,0,3540427,664427,4,1,FALSE,FALSE,0,25227,TRUE,TRUE,2819515,0,0,3,4,4,4
ShootMeow,118543169,2612595,3567299,6735411,5,16,0,6735411,3567411,4,1,FALSE,TRUE,0,75983,TRUE,TRUE,-112,0,0,4,4,4,4
