name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Doomslug the Destroyer,549766237,1649642,2204934,26729589,25,37,1,7927903,3912903,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,2,,,1
Zhil Axfow,826592934,2684377,3441485,34857647,32,53,0,11996115,6147115,5,0,TRUE,TRUE,126634,103380,FALSE,TRUE,0,0,0,1,2,2,4,,1
Guntha Arbos,248271439,2532483,3629539,37887299,21,63,1,11020375,6178875,4,0,TRUE,TRUE,108187,50725,FALSE,FALSE,0,0,0,2,3,4,4,,
Philo Beddoe,753225541,2509098,3199523,40768598,33,58,0,11006704,5724704,4,0,TRUE,TRUE,61478,88148,FALSE,TRUE,0,0,0,2,3,3,,,1
Loadage,268951863,2421185,3073571,45067125,29,68,1,13699248,5503198,6,0,TRUE,TRUE,137637,195022,TRUE,TRUE,0,0,0,2,3,3,4,1,1
BabyYodaHitta,629856937,1092092,1674074,23434391,8,37,0,7834670,2781170,5,0,TRUE,TRUE,100402,12991,FALSE,TRUE,0,0,0,1,1,2,3,,1
ilekkund,214848174,2964202,4160752,51046947,29,68,1,14498766,7127266,5,1,TRUE,TRUE,442060,95250,FALSE,TRUE,0,0,0,2,3,4,4,,1
Higgs,265535499,2240688,3130640,38301723,7,56,2,10167678,5384178,5,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,1,3,,1
ilekkund2,148163689,2042765,2575172,38891091,13,64,1,10234110,4640610,5,1,TRUE,TRUE,162295,26305,FALSE,TRUE,0,0,0,2,2,2,3,,1
MINI xipokemastrix,242144976,1673978,2385053,33321226,45,61,0,7237792,4080792,5,0,TRUE,TRUE,60413,74934,FALSE,FALSE,0,0,0,1,2,3,3,,
Flywire,515621617,2247372,3192103,24399598,29,33,0,6321486,3193486,2,0,FALSE,TRUE,0,0,FALSE,FALSE,0,2245989,0,4,4,,,,
GANIC,357417789,1849333,2831039,35364152,34,58,2,7581032,4694032,5,0,TRUE,TRUE,0,49400,FALSE,FALSE,0,0,0,1,1,3,3,,
Ben8cv,331225772,2634049,3483942,35336174,54,55,0,12079783,6122783,5,0,TRUE,TRUE,433494,335160,FALSE,TRUE,0,0,0,2,2,3,3,,1
ShootMeow,118543169,2612595,3567299,44746265,26,64,0,11642325,6225325,5,0,TRUE,TRUE,98839,112754,FALSE,TRUE,0,0,0,1,1,3,3,,1
Heywood Jablowme,677183999,2774507,4076304,14618505,24,23,0,5523313,4079813,2,0,FALSE,TRUE,0,59293,FALSE,FALSE,0,2770998,0,1,3,,,,
Dark Penguin,894569678,1778239,2364204,30380580,28,56,0,9849967,4162967,5,0,TRUE,TRUE,0,47686,FALSE,TRUE,0,0,0,1,2,3,3,,1
