name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Larping Soccer Moms,962753997,1436954,1861904,4737904,4,15,0,4737904,1861904,4,1,FALSE,TRUE,0,52930,TRUE,TRUE,0,0,0,3,4,4,4
Guntha Arbos,248271439,2410539,3543072,5919282,4,12,0,5919282,3543282,3,1,FALSE,TRUE,0,47325,FALSE,TRUE,-210,0,0,4,4,4,
wamakima5004,556569861,2486278,3471597,6347597,2,15,0,6347597,3471597,4,1,FALSE,TRUE,0,10468,TRUE,TRUE,0,0,0,3,4,4,4
Loadage,268951863,2391264,3013804,6183219,5,16,0,6183219,3015219,4,1,FALSE,TRUE,0,54198,TRUE,TRUE,-1415,0,0,4,4,4,4
s o l o,334171458,2967734,4394670,7572189,20,16,0,7572189,4404189,4,1,FALSE,TRUE,0,378942,TRUE,TRUE,-9519,0,0,4,4,4,4
BabyYodaHitta,629856937,1079413,1640041,3913782,3,12,0,3913782,1642282,4,0,FALSE,TRUE,0,27447,TRUE,TRUE,-2241,0,0,1,3,4,4
ilekkund,214848174,2886257,4112812,3844517,2,16,0,3844517,676517,4,1,FALSE,FALSE,0,10449,TRUE,TRUE,3436295,0,0,4,4,4,4
Higgs,265535499,2143603,3102801,2535520,5,12,0,2535520,535520,4,0,FALSE,FALSE,0,64776,TRUE,TRUE,2567281,0,0,3,3,3,3
MINI xipokemastrix,242144976,1605009,2341038,5509084,3,16,0,5509084,2341084,4,0,FALSE,TRUE,0,51058,TRUE,TRUE,-46,0,0,4,4,4,4
Tomer Nola,251223811,2458670,3524408,3852140,5,16,0,3852140,684140,4,1,FALSE,FALSE,0,40752,TRUE,TRUE,2840268,0,0,4,4,4,4
TacoPizza,797491243,2028184,2977758,5853758,1,15,0,5853758,2977758,4,0,FALSE,TRUE,0,13201,TRUE,TRUE,0,0,0,3,4,4,4
The Wall,947443938,1886439,2852811,2670049,4,12,0,2670049,580549,4,1,FALSE,FALSE,0,37411,TRUE,TRUE,2272262,0,0,2,3,3,4
GANIC,357417789,1823020,2773472,5359543,3,14,0,5359543,2775543,4,1,FALSE,TRUE,0,42695,TRUE,TRUE,-2071,0,0,3,3,4,4
Kypomm,631928359,2614412,3559171,3776547,1,16,0,3776547,608547,4,1,FALSE,FALSE,0,13297,TRUE,TRUE,2950624,0,0,4,4,4,4
Heywood Jablowme,677183999,2748940,3996247,6872247,11,15,0,6872247,3996247,4,1,FALSE,TRUE,0,209030,TRUE,TRUE,0,0,0,3,4,4,4
Dark Penguin,894569678,1753777,2323511,5203681,2,15,0,5203681,2327681,4,0,FALSE,TRUE,0,9291,TRUE,TRUE,-4170,0,0,3,4,4,4
Obi Won Sebroni,247341668,1150862,1920076,2747823,8,12,0,2747823,476323,4,0,FALSE,FALSE,0,87167,TRUE,TRUE,1443753,0,0,1,3,4,4
MINICalens,499477827,2325412,3542977,6127111,4,14,0,6127111,3543111,4,1,FALSE,TRUE,0,54768,TRUE,TRUE,-134,0,0,3,3,4,4
Gryphix,997239157,2701498,3861002,6800408,9,15,0,6800408,3924408,4,1,FALSE,TRUE,0,151878,TRUE,TRUE,-63406,0,0,3,4,4,4
Wolfman314,144353549,2625697,3475526,6351733,3,15,0,6351733,3475733,4,1,FALSE,TRUE,0,40911,TRUE,TRUE,-207,0,0,3,4,4,4
SloppySaberFlavor,671337993,2336253,3297594,174611,5,0,0,174611,174611,0,1,FALSE,FALSE,0,63341,FALSE,FALSE,3122983,0,0,,,,
Zlada14,825875376,2503879,3383423,2885646,20,11,0,2885646,801646,3,1,FALSE,FALSE,0,299791,FALSE,TRUE,2581777,0,0,3,4,4,
Theflavorgreen,416984533,1904900,3048971,4146107,3,7,0,4146107,3051107,3,0,FALSE,TRUE,0,45428,FALSE,TRUE,-2136,0,0,2,2,3,
Argarax,545871634,1637943,2723094,5891826,8,16,0,5891826,2723826,4,1,FALSE,TRUE,0,107352,TRUE,TRUE,-732,0,0,4,4,4,4
MINI Stewabob,552522334,1308691,1865606,165039,6,0,0,165039,165039,0,1,FALSE,FALSE,0,43869,FALSE,FALSE,1700567,0,0,,,,
Baxston Kane,473373554,2628200,3709533,150912,3,0,0,150912,150912,0,1,FALSE,FALSE,0,42091,FALSE,FALSE,3558621,0,0,,,,
Neeb,648797678,2321115,3302446,2437465,3,11,0,2437465,639965,4,1,FALSE,FALSE,0,42581,TRUE,TRUE,2662481,0,0,2,3,3,3
Doomslug the Destroyer,549766237,1483460,2107794,3700171,0,9,0,3700171,2110671,3,0,FALSE,TRUE,0,0,FALSE,TRUE,-2877,0,0,2,3,4,
Zhil Axfow,826592934,2663180,3381844,171173,2,0,0,171173,171173,0,1,FALSE,FALSE,0,40635,FALSE,FALSE,3210671,0,0,,,,
Exeel,184344456,2617134,3468217,4260217,0,4,0,4260217,3468217,1,1,FALSE,TRUE,0,0,FALSE,TRUE,0,0,0,4,,,
Philo Beddoe,753225541,2432412,3107705,1968803,0,8,0,1968803,384803,2,1,FALSE,FALSE,0,0,FALSE,TRUE,2722902,0,0,4,4,,
