name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Larping Soccer Moms,962753997,1436954,1861904,24522124,7,50,0,10431641,3301141,5,1,TRUE,TRUE,65352,38971,TRUE,FALSE,0,0,0,3,4,4,4,,1
Guntha Arbos,248271439,2410539,3543072,26574989,14,48,0,11378345,5970345,4,0,TRUE,TRUE,64927,127900,TRUE,FALSE,0,0,0,4,4,4,4,,
wamakima5004,556569861,2486278,3471597,19587518,4,31,0,13089005,5958505,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,0,1
Loadage,268951863,2391264,3013804,33861935,12,56,0,14647880,5410380,6,1,TRUE,TRUE,67101,42097,TRUE,TRUE,0,0,0,4,4,4,4,1,1
s o l o,334171458,2967734,4394670,34368964,64,53,0,16175099,7379599,6,1,TRUE,TRUE,162954,270290,TRUE,TRUE,0,0,0,3,4,4,4,1,1
BabyYodaHitta,629856937,1079413,1640041,15288359,5,30,0,7321096,2724596,5,1,TRUE,TRUE,0,12991,FALSE,FALSE,0,0,0,2,2,4,,,1
ilekkund,214848174,2886257,4112812,23044655,15,42,0,4577493,3225493,1,1,TRUE,FALSE,119191,97475,FALSE,FALSE,3773576,0,0,4,,,,,
Higgs,265535499,2143603,3102801,26185646,13,44,0,12349343,5249843,6,1,TRUE,TRUE,0,12937,TRUE,TRUE,0,0,0,2,3,3,3,1,1
MINI xipokemastrix,242144976,1605009,2341038,19620077,30,47,0,4890106,834106,3,1,FALSE,FALSE,268193,65046,FALSE,FALSE,1506932,770903,834106,4,4,4,,,
Tomer Nola,251223811,2458670,3524408,26509835,18,54,0,9048052,3640052,4,1,FALSE,TRUE,108626,64000,TRUE,FALSE,0,2343026,0,4,4,4,4,,
TacoPizza,797491243,2028184,2977758,29742433,7,53,0,12084184,5011184,5,1,TRUE,TRUE,0,19270,TRUE,FALSE,0,0,0,4,4,4,4,1,
The Wall,947443938,1886439,2852811,20010044,6,40,0,8099513,4757513,6,0,TRUE,TRUE,61734,0,TRUE,TRUE,0,0,0,2,2,3,4,0,0
GANIC,357417789,1823020,2773472,25953294,7,49,0,9198343,4602343,6,1,TRUE,TRUE,0,49400,TRUE,TRUE,0,0,0,2,4,4,4,0,0
Kypomm,631928359,2614412,3559171,24555811,5,47,0,13318770,6188270,6,1,TRUE,TRUE,58488,0,TRUE,TRUE,0,0,0,3,4,4,4,0,1
Heywood Jablowme,677183999,2748940,3996247,29706000,42,51,0,9535468,4569468,4,1,FALSE,TRUE,568004,344749,TRUE,FALSE,0,2175719,0,3,4,4,4,,
Dark Penguin,894569678,1753777,2323511,26630198,25,47,0,11533116,4089616,5,1,TRUE,TRUE,247677,167164,FALSE,TRUE,0,0,0,3,4,4,,1,1
Obi Won Sebroni,247341668,1150862,1920076,13648577,25,29,2,4972888,3080888,3,1,TRUE,TRUE,144574,40084,FALSE,FALSE,0,0,0,2,4,,,,
MINICalens,499477827,2325412,3542977,23694324,15,48,0,8592429,3626429,4,0,FALSE,TRUE,75711,56788,TRUE,FALSE,0,2241960,0,3,4,4,4,,
Gryphix,997239157,2701498,3861002,31821522,11,52,0,15804610,6567110,6,1,TRUE,TRUE,0,28642,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Wolfman314,144353549,2625697,3475526,28523008,5,52,0,8443934,3477934,4,1,FALSE,TRUE,0,14334,TRUE,FALSE,0,2623289,0,3,4,4,4,,
SloppySaberFlavor,671337993,2336253,3297594,10996690,14,12,0,9732881,5635881,5,1,TRUE,TRUE,82971,65160,FALSE,FALSE,0,0,0,2,2,4,,1,
Zlada14,825875376,2503879,3383423,13037136,25,32,0,159835,159835,0,1,FALSE,FALSE,0,67096,FALSE,FALSE,3223588,2344044,159835,,,,,,
Theflavorgreen,416984533,1904900,3048971,18802713,7,23,0,6747973,4961973,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,2,3,,,
Argarax,545871634,1637943,2723094,26408218,19,53,0,12028208,4455708,5,1,TRUE,TRUE,0,112602,TRUE,FALSE,0,0,0,4,4,4,4,,1
MINI Stewabob,552522334,1308691,1865606,12733507,10,18,0,8154786,3188286,4,1,TRUE,TRUE,0,49371,FALSE,FALSE,0,0,0,2,3,4,,,1
Baxston Kane,473373554,2628200,3709533,21064145,8,34,0,8384134,3860134,4,1,FALSE,TRUE,137234,29404,TRUE,FALSE,0,2477599,0,3,3,4,4,,
Neeb,648797678,2321115,3302446,21907593,20,42,0,11371379,5624379,6,1,TRUE,TRUE,256824,127980,TRUE,TRUE,0,0,0,3,3,3,4,1,0
Doomslug the Destroyer,549766237,1483460,2107794,20060427,3,33,0,8905983,3626983,4,0,TRUE,TRUE,44016,29062,FALSE,FALSE,0,0,0,3,4,4,,1,
Zhil Axfow,826592934,2663180,3381844,20822357,9,26,0,9135263,3043763,4,1,TRUE,FALSE,0,26203,FALSE,TRUE,3001261,0,0,3,4,,,1,1
Exeel,184344456,2617134,3468217,23390536,2,36,0,11504348,6096348,4,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,,
Philo Beddoe,753225541,2432412,3107705,18493093,8,40,0,6793302,3179302,3,1,FALSE,TRUE,39882,99492,FALSE,FALSE,0,2360815,0,3,4,4,,,
MINI xIPokemastrIx,182573417,3139087,4725675,29072121,32,56,0,13354701,4117201,6,1,TRUE,FALSE,329520,264467,TRUE,TRUE,3747561,0,0,4,4,4,4,1,1
ilekkund2,148163689,2004264,2488101,25991232,6,42,0,12854786,4501286,6,1,TRUE,TRUE,55119,0,TRUE,TRUE,0,0,0,3,3,4,4,1,1
Flywire,515621617,2245981,3130830,27822057,22,49,0,12108693,2871193,6,1,TRUE,FALSE,0,0,TRUE,TRUE,2505618,0,0,4,4,4,4,1,1
Hirano,193884837,3027190,4244738,16802906,0,31,0,9669829,4261829,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,3010099,0,4,4,4,4,,
MagnusV,743982338,2555594,3665929,29776550,4,53,0,12872456,6241456,6,1,TRUE,TRUE,39326,46264,TRUE,TRUE,0,0,0,3,4,4,4,1,0
LGuy 21,261187434,2437024,3539070,14795062,46,32,0,5826794,860794,4,1,FALSE,FALSE,178865,89598,TRUE,FALSE,2678276,1576230,860794,3,4,4,4,,
Maxaron Lexilon,591283737,2742416,3531709,17860872,4,31,0,6669691,2840191,2,1,TRUE,FALSE,0,0,FALSE,TRUE,3433934,0,0,,,,,1,1
