name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Larping Soccer Moms,962753997,1436954,1861904,34036676,7,61,0,9514552,3302052,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,3,4,,1
Guntha Arbos,248271439,2410539,3543072,37027995,19,60,2,10453006,5975006,5,0,TRUE,TRUE,64927,102783,FALSE,FALSE,0,0,0,2,2,4,4,,
wamakima5004,556569861,2486278,3471597,32122233,4,43,0,12534715,5958715,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,3,3,4,,1
Loadage,268951863,2391264,3013804,47634423,23,70,1,13772488,5414438,6,0,TRUE,TRUE,120580,162612,TRUE,TRUE,0,0,0,2,2,4,4,1,1
s o l o,334171458,2967734,4394670,49484004,94,68,1,15115040,7380040,5,1,TRUE,TRUE,638046,403734,FALSE,TRUE,0,0,0,3,3,4,4,,1
BabyYodaHitta,629856937,1079413,1640041,22257431,10,36,0,6969072,2725572,3,0,TRUE,TRUE,40020,79813,FALSE,TRUE,0,0,0,2,3,,,,1
ilekkund,214848174,2886257,4112812,37254380,15,56,2,14209725,7000225,5,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,3,3,4,,1
Higgs,265535499,2143603,3102801,36126392,15,51,0,9940746,5250746,5,0,TRUE,TRUE,0,27769,FALSE,TRUE,0,0,0,1,1,2,2,,1
MINI xipokemastrix,242144976,1605009,2341038,25762803,38,53,0,6142726,3982726,5,0,TRUE,TRUE,137753,120084,FALSE,FALSE,0,0,0,1,1,2,2,,
Tomer Nola,251223811,2458670,3524408,39247804,21,66,1,12737969,5999969,5,1,TRUE,TRUE,65184,57681,FALSE,TRUE,0,0,0,1,2,4,4,,1
TacoPizza,797491243,2028184,2977758,40696827,7,63,0,10954394,5011894,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,3,4,,1
The Wall,947443938,1886439,2852811,26534149,11,45,0,6524105,4769105,5,0,TRUE,TRUE,0,52054,FALSE,FALSE,0,0,0,1,2,2,,,
GANIC,357417789,1823020,2773472,35892458,10,58,0,9939164,4615664,5,0,TRUE,TRUE,0,49400,FALSE,TRUE,0,0,0,1,2,2,3,,1
Kypomm,631928359,2614412,3559171,36135149,8,56,0,11579338,6255838,5,0,TRUE,TRUE,112054,28999,FALSE,TRUE,0,0,0,1,2,2,3,,1
Heywood Jablowme,677183999,2748940,3996247,42941562,45,63,0,13235562,6753062,5,0,TRUE,TRUE,69467,43339,FALSE,TRUE,0,0,0,2,2,3,4,,1
Dark Penguin,894569678,1753777,2323511,37040710,33,59,0,10410512,4090012,5,0,TRUE,TRUE,141369,116098,FALSE,TRUE,0,0,0,2,3,3,3,,1
Obi Won Sebroni,247341668,1150862,1920076,18079465,38,33,3,4430888,3080888,3,0,TRUE,TRUE,278503,72432,FALSE,FALSE,0,0,0,2,2,,,,
MINICalens,499477827,2325412,3542977,32101606,24,55,0,8407282,5883782,5,0,TRUE,TRUE,385010,41566,FALSE,FALSE,0,0,0,1,1,2,3,,
Gryphix,997239157,2701498,3861002,45237351,14,65,0,13415829,6569829,5,0,TRUE,TRUE,0,88156,FALSE,TRUE,0,0,0,2,3,3,4,,1
Wolfman314,144353549,2625697,3475526,39319029,5,59,1,10796021,6106021,5,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,2,2,,1
SloppySaberFlavor,671337993,2336253,3297594,15407590,16,15,0,4410900,3330900,3,0,FALSE,TRUE,0,43388,FALSE,FALSE,0,2302947,0,1,2,,,,
Zlada14,825875376,2503879,3383423,25667850,25,44,0,12630714,5892714,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,4,4,,1
Theflavorgreen,416984533,1904900,3048971,27112042,7,26,0,8309329,4969329,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,,,,1
Argarax,545871634,1637943,2723094,37083681,20,64,0,10675463,4462963,5,0,TRUE,TRUE,0,20766,FALSE,TRUE,0,0,0,1,2,3,4,,1
MINI Stewabob,552522334,1308691,1865606,14044588,10,18,0,1311081,1311081,0,0,TRUE,FALSE,0,0,FALSE,FALSE,1863216,0,0,,,,,,
Baxston Kane,473373554,2628200,3709533,33369687,9,45,0,12305542,6348542,5,0,TRUE,TRUE,71720,0,FALSE,TRUE,0,0,0,2,2,3,3,,1
Neeb,648797678,2321115,3302446,32585472,22,50,0,10677879,5624379,5,0,TRUE,TRUE,49581,20329,FALSE,TRUE,0,0,0,1,1,2,3,,1
Doomslug the Destroyer,549766237,1483460,2107794,28344232,4,40,0,8283805,3635305,5,0,TRUE,TRUE,0,12240,FALSE,TRUE,0,0,0,1,2,3,,,1
Zhil Axfow,826592934,2663180,3381844,32720100,11,36,0,11897743,6048743,5,0,TRUE,TRUE,0,41987,FALSE,TRUE,0,0,0,1,2,2,4,,1
Exeel,184344456,2617134,3468217,34621197,5,44,0,11230661,6098161,3,0,TRUE,TRUE,62801,53595,FALSE,TRUE,0,0,0,3,4,,,,1
Philo Beddoe,753225541,2432412,3107705,27384074,14,49,0,8890981,5613481,3,0,TRUE,TRUE,101360,85742,FALSE,FALSE,0,0,0,2,3,4,,,
MINI xIPokemastrIx,182573417,3139087,4725675,43169002,43,67,1,14096881,7884381,5,1,TRUE,TRUE,175191,193355,FALSE,TRUE,0,0,0,1,2,3,4,,1
ilekkund2,148163689,2004264,2488101,36450205,6,53,3,10458973,4501973,5,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,2,3,3,,1
Flywire,515621617,2245981,3130830,39421721,29,60,0,11599664,5387164,5,0,TRUE,TRUE,55599,124360,FALSE,TRUE,0,0,0,1,2,3,4,,1
Hirano,193884837,3027190,4244738,22630277,0,35,1,5827371,4263371,2,1,FALSE,TRUE,0,0,FALSE,FALSE,0,3008557,0,4,,,,,
MagnusV,743982338,2555594,3665929,42503395,5,65,0,12726845,6244345,5,0,TRUE,TRUE,0,32074,FALSE,TRUE,0,0,0,2,2,3,4,,1
LGuy 21,261187434,2437024,3539070,25826513,58,40,2,11031451,5977951,5,0,TRUE,TRUE,552027,51728,FALSE,TRUE,0,0,0,1,1,2,3,,1
Maxaron Lexilon,591283737,2742416,3531709,30357909,5,42,0,12497037,6284537,5,0,TRUE,TRUE,0,22849,FALSE,TRUE,0,0,0,1,2,3,4,,1
Elladan Halfelven,231363518,2704088,3679824,37501129,41,60,0,12336934,6394434,5,0,TRUE,TRUE,522798,370669,FALSE,TRUE,0,0,0,1,1,3,4,,1
Promethean,245711569,2230367,3076543,27810922,15,54,0,8324995,5317495,3,0,TRUE,TRUE,182554,74798,FALSE,FALSE,0,0,0,1,3,4,,,
Elros Halfelven,592184954,2583017,3527839,32879240,34,48,0,12690522,6114522,5,0,TRUE,TRUE,614271,284977,FALSE,TRUE,0,0,0,1,3,3,4,,1
ShootMeow,118543169,2556589,3440512,29477634,13,55,0,5759915,3520915,2,0,FALSE,TRUE,0,130920,FALSE,FALSE,0,2476186,0,2,4,,,,
Masajj Vemtits,596537312,2423947,3348343,39339520,8,68,0,13537681,5802681,5,0,TRUE,TRUE,135119,0,FALSE,TRUE,0,0,0,3,3,4,4,,1
MINI BigFish,131768275,2757594,4084824,32524691,52,37,2,13431941,6855941,6,1,TRUE,TRUE,0,28966,TRUE,TRUE,0,0,0,1,3,3,4,0,1
Agave,148199846,2437666,3267398,30184399,48,54,1,7534403,3367903,3,0,FALSE,TRUE,95117,146742,FALSE,FALSE,0,2337161,0,3,4,4,,,
ONE,873729113,2505008,3605706,35065572,11,44,0,6916689,6106689,5,0,TRUE,TRUE,55970,68897,FALSE,FALSE,0,0,0,1,1,,,,
OttoVonGens,994659641,2762179,4051616,45400419,15,67,0,14573551,6838551,5,0,TRUE,TRUE,283568,30880,FALSE,TRUE,0,0,0,3,3,4,4,,1
Chaunce,492994246,2664414,3544667,34985938,7,43,1,10479335,6235835,3,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,3,,,,1
AKB,461667365,2348404,3297331,35942285,13,63,1,12235331,5659331,6,0,TRUE,TRUE,0,107905,TRUE,TRUE,0,0,0,1,3,3,4,0,1
M1TTH,124849497,1970538,2525739,23868420,3,35,3,9913277,4496277,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,3,3,,1
