name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Larping Soccer Moms,962753997,1624509,2252715,22444595,27,49,0,11450397,3877897,5,1,true,true,243155,141157,true,false,0,0,0,4,4,4,4,,1
Zhil Axfow,826592934,3066907,3839544,37411745,17,55,0,16155615,6918115,6,1,true,true,73722,54373,true,true,0,0,0,4,4,4,4,1,1
JustinAlexander11,283842274,2641866,4182964,35120307,1,53,0,14420695,6848195,5,1,true,true,0,0,true,false,0,0,0,4,4,4,4,,1
KaStarkiller,222784581,2044933,2602622,21017830,25,48,0,7126712,2602712,4,1,false,true,0,89953,true,false,0,2044843,0,3,3,4,4,,
Tommyboy85,929389526,2952537,4120308,37869549,32,55,0,15880581,7085081,6,1,true,true,372973,316645,true,true,0,0,0,3,4,4,4,1,1
Philo Beddoe,753225541,2820574,3855391,22149649,24,40,0,3104079,400079,2,1,false,false,0,0,false,false,3455312,2420495,400079,4,4,,,,
Loadage,268951863,2894063,3987252,8240244,9,0,0,4000555,4000555,0,1,false,true,0,0,false,false,0,2880760,0,,,,,,
BabyYodaHitta,629856937,1389057,2118913,16857441,30,30,0,5155273,1638773,2,1,true,false,0,0,false,false,1869197,0,0,4,,,,,1
ilekkund,214848174,3326100,4763919,31347734,14,38,0,17355256,8117756,6,1,true,true,82156,159888,true,true,0,0,0,4,4,4,4,1,1
ilekkund2,148163689,2416353,3244249,32707795,28,54,0,14904906,5667406,6,1,true,true,0,125103,true,true,0,0,0,4,4,4,4,1,1
Higgs,265535499,2520273,3517716,30606016,50,48,0,12288225,6041725,6,1,true,true,592766,324894,true,true,0,0,0,3,3,3,4,0,1
MINI xipokemastrix,242144976,2059813,2891788,32392645,13,55,0,13754976,4959476,6,1,true,true,0,28971,true,true,0,0,0,3,4,4,4,1,1
Flywire,515621617,2532036,3644782,16191824,9,31,0,4561462,505462,3,0,false,false,64873,29832,false,false,3139320,2026574,505462,4,4,4,,,
TacoPizza,797491243,2447601,3552681,33180924,15,54,0,13608011,6035511,5,1,true,true,350658,33112,true,false,0,0,0,4,4,4,4,,1
ShootMeow,118543169,3044991,4250481,23356471,9,37,0,9691668,4283668,4,1,false,true,0,0,true,false,0,3011804,0,4,4,4,4,,
Dark Penguin,894569678,2006037,2708117,23907788,1,45,0,8158822,2750822,4,1,false,true,0,0,true,false,0,1963332,0,4,4,4,4,,
Calens,499477827,2760134,4035116,17315350,32,35,0,228352,228352,0,0,false,false,131225,97127,false,false,3806764,2531782,228352,,,,,,
joker,976597667,2341590,3437873,22275973,8,37,0,12867528,5794528,5,1,true,true,0,73362,true,false,0,0,0,4,4,4,4,1,
Obi Won Sebroni,247341668,2004854,2850276,27870958,60,47,0,12492701,4920201,6,1,true,true,499413,221801,true,true,0,0,0,4,4,4,4,0,1
Gryphix,997239157,3048635,4333712,34187321,2,54,0,16625676,7388176,6,1,true,true,0,0,true,true,0,0,0,4,4,4,4,1,1
