name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
JacenCaedus,634487631,3253668,4378934,14454502,45,19,0,11941207,5066507,5,0,false,true,687573,313108,true,false,0,2566095,0,2,3,4,4,2,
Nom,884121445,3121591,4378073,47330481,47,68,1,12404552,4208502,6,0,true,false,705131,400591,true,true,3291162,0,0,2,3,3,4,1,1
ShootMeow,118543169,3072927,4284682,34762790,13,49,0,11406319,3843769,6,0,true,false,133960,60053,true,true,3513840,0,0,1,2,3,4,1,1
M1TTH,124849497,2311342,3216506,12679409,7,24,0,6494006,3216506,3,0,false,true,0,143855,false,false,0,2311342,0,2,3,4,,,
Wolfman314,144353549,2968392,3989058,31510427,21,36,0,12551000,6957450,4,0,true,true,0,0,false,true,0,0,0,2,3,,,1,1
ilekkund2,148163689,2416775,3249830,41693400,38,63,1,8985605,5666605,5,1,true,true,110821,71543,false,false,0,0,0,1,2,2,4,,
Agave,148199846,2902851,3984403,31300148,43,36,2,14086753,6887703,6,1,true,true,145761,0,true,true,0,0,0,1,2,2,4,1,1
ilekkund,214848174,3326334,4790079,46673647,16,52,1,15325913,8116413,6,1,true,true,0,60806,true,true,0,0,0,3,3,3,4,0,1
KaStarkiller,222784581,2047472,2634170,32181895,33,60,0,11164065,4681565,5,0,true,true,69868,71782,false,true,0,0,0,2,2,3,4,,1
MINI xipokemastrix,242144976,2058831,2899896,44294922,17,66,0,11902277,4958727,6,0,true,true,60276,82306,true,true,0,0,0,2,2,2,3,1,1
Promethean,245711569,2635172,3555555,33934782,3,50,0,7213773,3261273,4,0,true,false,63251,59924,false,false,2929454,0,0,2,2,3,4,,
Obi Won Sebroni,247341668,2041184,2893636,37860436,71,55,1,9989478,4935978,5,1,true,true,186216,89113,false,true,0,0,0,1,1,2,3,,1
Guntha Arbos,248271439,2821833,4221076,46735231,21,65,6,13363450,7042950,6,0,true,true,302347,203748,true,true,0,0,0,2,3,3,3,0,1
Higgs,265535499,2520327,3523495,43578834,50,58,0,12972818,6043768,6,0,true,true,0,0,true,true,0,0,0,1,1,2,4,1,1
Loadage,268951863,2918699,4039543,22240686,13,10,1,14000442,6955242,6,1,true,true,125510,59366,true,true,0,0,0,1,3,3,0,2,1
Theflavorgreen,416984533,2460722,3795945,14360059,3,23,0,1518946,438946,3,0,false,false,0,0,false,false,3356999,2021776,438946,1,2,,,,
AKB,461667365,2713593,3984861,49300813,34,65,0,12384063,6697063,6,0,true,true,500609,228074,true,true,0,0,0,1,2,3,3,0,1
Baxston Kane,473373554,3092104,4275437,16416148,0,15,0,16416148,7374948,6,0,true,true,0,0,true,true,0,0,0,2,2,4,4,2,1
Chaunce,492994246,3056351,4140409,38526624,7,38,0,15392365,7196315,6,0,true,true,0,60934,true,true,0,0,0,2,3,3,4,1,1
TWill88,494485598,2834599,3821525,24676681,0,32,0,14322281,6651731,6,0,true,true,0,0,true,true,0,0,0,2,3,3,3,1,1
Calens,499477827,2760711,4024441,24227333,38,43,0,6911983,4159983,5,0,false,true,133247,81394,false,false,0,2625169,0,2,3,3,,,
Flywire,515621617,2540138,3658178,29696094,14,43,0,13504270,6197220,6,0,true,true,64873,102009,true,true,0,0,0,2,2,3,3,1,1
Argarax,545871634,2511888,4029129,44862579,13,72,0,12197530,3908330,5,0,true,false,45821,90215,true,false,2632687,0,0,4,4,4,4,2,
MINI Zeratoark,552854579,2907900,4125113,18974636,1,25,1,14866473,7033923,6,1,true,true,0,32181,true,true,0,0,0,2,2,3,4,1,1
wamakima5004,556569861,2995707,3926434,23616571,15,45,0,7790656,4000156,5,0,false,true,73722,0,false,false,0,2921985,0,2,3,3,3,,
Bitz Maidenhell,589218854,2619256,3949879,25246544,7,25,0,13371335,6569135,4,0,true,true,0,0,false,true,0,0,0,2,4,,,2,1
Maxaron Lexilon,591283737,3115114,4015709,33512622,0,47,1,14693373,7130823,6,0,true,true,0,0,true,true,0,0,0,1,2,3,4,1,1
Masajj Vemtits,596537312,2753678,3801160,17541435,1,28,0,7753760,3801210,3,0,false,true,0,0,false,false,0,2753628,0,3,4,,,1,
