name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Obi Won Sebroni,247341668,1040684,1711607,14054401,22,28,0,4463729,2775729,3,1,TRUE,TRUE,110551,42685,FALSE,FALSE,0,0,0,1,4,,,,
Promethean,245711569,2221289,2992071,29591291,36,52,0,12785860,5213360,5,1,TRUE,TRUE,289444,114819,TRUE,FALSE,0,0,0,4,4,4,4,,1
SloppySaberFlavor,671337993,2271301,3241204,19348899,12,38,0,11604226,5512726,4,1,TRUE,TRUE,217916,19534,FALSE,TRUE,0,0,0,3,4,,,1,1
Seamonster34,569479871,1282711,1972880,15366465,31,30,0,3804351,3264351,1,0,TRUE,TRUE,312690,80091,FALSE,FALSE,0,0,0,2,,,,,
DorkHelmet,987949222,2442359,2699313,17429497,14,18,0,11234312,5142812,4,1,TRUE,TRUE,81104,26186,FALSE,TRUE,0,0,0,3,4,,,1,1
Philo Beddoe,753225541,2361195,3000127,27943168,20,46,0,12057474,5368974,5,0,TRUE,TRUE,74106,100667,TRUE,FALSE,0,0,0,3,3,4,4,,1
Loadage,268951863,2316985,2835386,32103834,50,55,0,14393260,5155760,6,1,TRUE,TRUE,452494,186892,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Nydot,992622296,1090024,1653076,21748110,11,44,0,8092261,2755761,4,0,TRUE,TRUE,0,16575,FALSE,FALSE,0,0,0,3,3,4,,,1
BabyYodaHitta,629856937,955910,1499097,10130427,7,25,0,2993773,1305773,2,1,TRUE,FALSE,0,48496,FALSE,FALSE,1149234,0,0,1,4,,,,
LGuy 21,261187434,2392009,3443710,28415491,8,42,3,10265792,2822292,5,0,TRUE,FALSE,88039,39089,FALSE,TRUE,3013427,0,0,3,4,4,,1,1
ilekkund2,148163689,1739007,2312767,26100900,7,52,0,12916352,4120852,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,1,1
T swizzle,335186653,1206795,1835022,20404726,26,43,0,6681895,3067895,3,0,TRUE,TRUE,90147,116128,FALSE,FALSE,0,0,0,3,4,4,,,
xipokemastrix,242144976,1459958,2242656,24375111,26,44,0,9938781,3718281,5,1,TRUE,TRUE,0,189381,FALSE,FALSE,0,0,0,4,4,4,,,1
TacoPizza,797491243,1971691,2819515,26000482,4,45,1,10248259,4840259,4,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,,
Baxston Kane,473373554,2531197,3604991,28537054,9,49,0,12857921,6169421,6,1,TRUE,TRUE,71720,27940,TRUE,TRUE,0,0,0,3,3,4,4,0,1
Vsarr,789134798,1919593,2591400,17516890,24,28,0,7387901,3403401,4,1,FALSE,TRUE,40510,243769,FALSE,FALSE,0,1107592,0,3,3,,,,1
starshaker,343886585,2222381,2775837,17753832,31,37,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,2775837,2222381,0,,,,,,
Neeb,648797678,2277057,3215802,25633385,13,38,0,10798778,5496278,6,1,TRUE,TRUE,158609,76153,TRUE,TRUE,0,0,0,1,2,3,4,0,1
Zhil Axfow,826592934,2644149,3343499,27157139,26,43,0,10139315,1713815,6,1,FALSE,FALSE,134680,95429,TRUE,TRUE,1629684,930334,1713815,2,4,4,4,1,1
Wolfman,998737698,2041792,2342496,17348693,9,30,0,5290434,863934,3,1,FALSE,FALSE,146267,14322,FALSE,FALSE,1478562,1177858,863934,3,4,,,,1
Elyana,967665728,2232466,3167651,30981841,8,53,0,12986243,5413743,6,1,TRUE,TRUE,0,33541,TRUE,TRUE,0,0,0,4,4,4,4,0,1
Masajj Vemtits,596537312,2388856,3263880,19444314,17,30,0,6028845,3324845,2,1,FALSE,TRUE,57027,49783,FALSE,FALSE,0,2327891,0,4,4,,,,
Calens,499477827,2244796,3443272,21086913,9,41,0,6151301,3447301,2,0,FALSE,TRUE,0,26484,FALSE,FALSE,0,2240767,0,4,4,,,,
Wolfman314,144353549,2599032,3423650,18591550,24,27,0,4734986,1120986,3,1,FALSE,FALSE,573991,74459,FALSE,FALSE,2302664,1478046,1120986,3,4,4,,,
R2,821581635,2699044,3767272,750023,3,3,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3767272,2699044,0,,,,,,
R2,821581635,2699044,3767272,750023,3,3,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3767272,2699044,0,,,,,,
ONE,873729113,2431574,3521628,27066371,11,39,0,11469142,5962642,6,1,TRUE,TRUE,55970,19101,TRUE,TRUE,0,0,0,2,2,3,4,0,1
ExcellentNutAlt,439645938,949188,1323413,10131006,6,20,0,5356862,2290862,4,0,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,1,3,3,3,,
Elrohir Halfelven,466659739,840700,1500260,8581299,1,18,0,2412789,1502789,1,0,FALSE,TRUE,0,0,FALSE,FALSE,0,838171,0,3,,,,,
Elrohir Halfelven,466659739,840700,1500260,8581299,1,18,0,2412789,1502789,1,0,FALSE,TRUE,0,0,FALSE,FALSE,0,838171,0,3,,,,,
Greeve,988959612,2439817,3620389,35778935,7,56,1,15302991,6065491,6,1,TRUE,TRUE,130028,53662,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Larping Soccer Moms,962753997,1385436,1808712,12650029,0,31,0,102434,102434,0,1,FALSE,FALSE,0,0,FALSE,FALSE,1706278,1283002,102434,,,,,,
