name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Doomslug the Destroyer,549766237,1884087,2561057,1967013,1,8,0,1967013,383013,2,1,false,false,0,11590,false,true,2178044,0,0,4,4,,
Larping Soccer Moms,962753997,1500491,2003761,4891333,0,15,0,4891333,2015333,4,1,false,true,0,0,true,true,-11572,0,0,3,4,4,4
Zhil Axfow,826592934,2823648,3562109,160417,2,0,0,160417,160417,0,1,false,false,0,41646,false,false,3401692,0,0,,,,
Elros Halfelven,592184954,2646998,3660736,6831669,20,16,0,6831669,3663669,4,1,false,true,0,303339,true,true,-2933,0,0,4,4,4,4
Guntha Arbos,248271439,2602939,3753370,6426870,0,14,0,6426870,3753370,4,1,false,true,0,0,true,true,0,0,0,2,4,4,4
Plucky Haydon,924737972,2501245,3632560,156928,10,0,0,156928,156928,0,0,false,false,0,156928,false,false,3475632,0,0,,,,
Tommyboy85,929389526,2839581,3742175,6620260,3,15,0,6620260,3744260,4,1,false,true,0,72749,true,true,-2085,0,0,3,4,4,4
Philo Beddoe,753225541,2558925,3406861,6575653,1,16,0,6575653,3407653,4,1,false,true,0,26214,true,true,-792,0,0,4,4,4,4
Loadage,268951863,2704882,3491549,6670048,9,16,0,6670048,3502048,4,1,false,true,0,166301,true,true,-10499,0,0,4,4,4,4
s o l o,334171458,3251730,4763410,7931520,0,16,0,7931520,4763520,4,1,false,true,0,0,true,true,-110,0,0,4,4,4,4
ilekkund,214848174,3130116,4326119,7494119,14,16,0,7494119,4326119,4,1,false,true,0,273701,true,true,0,0,0,4,4,4,4
Higgs,265535499,2351198,3259830,6135830,1,15,0,6135830,3259830,4,0,false,true,0,22257,true,true,0,0,0,3,4,4,4
ilekkund2,148163689,2287677,2789308,5670945,0,15,0,5670945,2794945,4,1,false,true,0,0,true,true,-5637,0,0,3,4,4,4
MINI xipokemastrix,242144976,1841027,2542838,341484,16,0,0,341484,341484,0,1,false,false,0,233631,false,false,2201354,0,0,,,,
Flywire,515621617,2290073,3309265,4893343,4,8,0,4893343,3309343,2,1,false,true,0,82530,false,true,-78,0,0,4,4,,
TacoPizza,797491243,2138938,3204276,6080309,0,15,0,6080309,3204309,4,1,false,true,0,0,true,true,-33,0,0,3,4,4,4
ShootMeow,118543169,2744033,3839846,6715846,0,15,0,6715846,3839846,4,1,false,true,0,0,true,true,0,0,0,3,4,4,4
Heywood Jablowme,677183999,2912932,4240696,6824696,20,14,1,6824696,4240696,4,1,false,true,0,329309,true,true,0,0,0,3,3,4,4
Dark Penguin,894569678,1879960,2507430,5384768,0,15,0,5384768,2508768,4,1,false,true,0,0,true,true,-1338,0,0,3,4,4,4
Obi Won Sebroni,247341668,1660593,2399056,4988022,19,14,0,4988022,2404022,4,0,false,true,0,208225,true,true,-4966,0,0,3,3,4,4
joker,976597667,2097817,3156037,423136,19,0,0,423136,423136,0,1,false,false,0,303471,false,false,2732901,0,0,,,,
Masajj Vemtits,596537312,2539803,3527192,5111192,2,8,0,5111192,3527192,2,1,false,true,0,38551,false,true,0,0,0,4,4,,
Gryphix,997239157,2790527,4031915,121342,0,0,0,121342,121342,0,1,false,false,0,0,false,false,3910573,0,0,,,,
AKB,461667365,2445814,3586948,6755397,5,16,0,6755397,3587397,4,1,false,true,0,111800,true,true,-449,0,0,4,4,4,4
Agave,148199846,2665917,3515711,1295867,15,4,1,1295867,503867,1,1,false,false,0,267461,false,true,3011844,0,0,4,,,
Theflavorgreen,416984533,2051960,3317927,5115472,0,11,0,5115472,3317972,4,0,false,true,0,0,true,true,-45,0,0,2,3,3,3
Argarax,545871634,2206733,3413217,6581217,11,16,0,6581217,3413217,4,1,false,true,0,189732,true,true,0,0,0,4,4,4,4
Baxston Kane,473373554,2876446,3917596,6792601,8,15,0,6792601,3916601,4,1,false,true,0,181662,true,true,995,0,0,3,4,4,4
Neeb,648797678,2378073,3508064,5306234,0,11,0,5306234,3508734,4,1,false,true,0,0,true,true,-670,0,0,2,3,3,3
JustinAlexander11,283842274,2284114,3662826,6549572,0,15,0,6549572,3673572,4,1,false,true,0,0,true,true,-10746,0,0,3,4,4,4
Promethean,245711569,2376780,3342801,6219863,0,15,0,6219863,3343863,4,1,false,true,0,0,true,true,-1062,0,0,3,4,4,4
