name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Doomslug the Destroyer,549766237,1884087,2561057,10359591,1,20,0,8392578,4452078,4,0,true,true,0,0,false,false,0,0,0,3,4,4,,,,1
Larping Soccer Moms,962753997,1500491,2003761,15664108,0,36,0,10772775,3523275,7,1,true,true,0,0,true,true,0,0,0,3,4,4,4,4,1,1
Zhil Axfow,826592934,2823648,3562109,8269834,4,16,0,8109417,3465417,4,1,true,false,0,48040,false,false,2920340,0,0,4,4,4,,4,,
Elros Halfelven,592184954,2646998,3660736,18508135,41,35,0,11676466,6324466,5,1,true,true,536310,206700,true,false,0,0,0,3,4,4,4,4,,
Guntha Arbos,248271439,2602939,3753370,16385961,18,34,5,9959091,4235091,5,0,false,true,480734,181602,true,false,0,2121218,0,4,4,4,4,4,,
Plucky Haydon,924737972,2501245,3632560,2862907,10,8,0,2705979,221979,2,0,false,false,0,0,false,false,3410581,2279266,221979,,,,,,,
Tommyboy85,929389526,2839581,3742175,20833309,10,37,0,14213049,6591549,7,1,true,true,0,203040,true,true,0,0,0,4,4,4,4,4,1,1
Philo Beddoe,753225541,2558925,3406861,18016230,4,33,0,11440577,5971577,5,1,true,true,60765,42596,false,false,0,0,0,4,4,4,,4,1,
Loadage,268951863,2704882,3491549,20505159,12,38,0,13835111,6213611,7,1,true,true,0,89502,true,true,0,0,0,4,4,4,4,4,1,1
s o l o,334171458,3251730,4763410,23569893,14,38,2,15638373,8016873,7,1,true,true,213330,300391,true,true,0,0,0,4,4,4,4,4,1,1
ilekkund,214848174,3130116,4326119,20677718,14,36,0,13183599,7459599,5,1,true,true,0,0,true,false,0,0,0,4,4,4,4,4,,
Higgs,265535499,2351198,3259830,17204591,13,33,0,11068761,5635761,7,1,true,true,0,189693,true,true,0,0,0,3,3,3,4,4,1,0
ilekkund2,148163689,2287677,2789308,5783189,0,15,0,112244,112244,0,1,false,false,0,0,false,false,2677064,2175433,112244,,,,,,,
