name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Doomslug the Destroyer,549766237,1884087,2561057,16101857,30,34,0,5742266,1146266,4,0,false,false,426231,235399,true,false,1414791,737821,1146266,2,4,4,4,,
Larping Soccer Moms,962753997,1500491,2003761,26319156,1,52,0,10655048,3524548,6,1,true,true,0,24123,true,true,0,0,0,3,4,4,4,0,1
Zhil Axfow,826592934,2823648,3562109,13542284,6,30,0,5272450,748450,4,1,false,false,73621,26203,true,false,2813659,2075198,748450,3,3,4,4,,
Elros Halfelven,592184954,2646998,3660736,28989163,48,48,0,10481028,6327028,4,1,true,true,176520,97670,true,false,0,0,0,2,3,4,4,,
Guntha Arbos,248271439,2602939,3753370,30322616,30,51,9,13936655,6364155,5,0,true,true,309023,157611,true,false,0,0,0,4,4,4,4,,1
Plucky Haydon,924737972,2501245,3632560,16569294,15,25,0,13706387,6133887,5,1,true,true,81924,122718,true,false,0,0,0,4,4,4,4,,1
Tommyboy85,929389526,2839581,3742175,32832903,40,53,0,11999594,6591594,4,1,true,true,551134,307092,true,false,0,0,0,4,4,4,4,,
Philo Beddoe,753225541,2558925,3406861,32793068,4,50,0,14776838,5981338,6,1,true,true,0,0,true,true,0,0,0,3,4,4,4,1,1
Loadage,268951863,2704882,3491549,35967354,29,56,0,15462195,6224695,6,1,true,true,365849,222918,true,true,0,0,0,4,4,4,4,1,1
s o l o,334171458,3251730,4763410,39306506,44,56,4,15736613,6499113,6,1,false,true,690897,458078,true,true,0,1516027,0,4,4,4,4,1,1
ilekkund,214848174,3130116,4326119,33553786,21,52,0,12876068,7468068,4,1,true,true,0,152711,true,false,0,0,0,4,4,4,4,,
Higgs,265535499,2351198,3259830,30766980,14,48,0,13562389,5650889,6,1,true,true,0,14547,true,true,0,0,0,3,3,3,4,1,1
ilekkund2,148163689,2287677,2789308,16274985,0,31,0,10491796,5083796,4,1,true,true,0,0,true,false,0,0,0,4,4,4,4,,
MINI xipokemastrix,242144976,1841027,2542838,14840938,27,31,0,6710199,2654199,3,1,false,true,103652,126167,false,false,0,1729666,0,4,4,4,,,
Flywire,515621617,2290073,3309265,23540490,6,40,0,8727731,3319731,4,1,false,true,0,29754,true,false,0,2279607,0,4,4,4,4,,
TacoPizza,797491243,2138938,3204276,31200634,25,53,0,12949747,5377247,5,1,true,true,0,28455,true,false,0,0,0,4,4,4,4,,1
ShootMeow,118543169,2744033,3839846,36751408,3,55,0,15829002,6591502,6,1,true,true,59645,41743,true,true,0,0,0,4,4,4,4,1,1
