name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
GNAY,256864634,2341645,3268182,34527267,1,43,0,11296827,5609827,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,3,3,,1
ShootMeow,118543169,2743055,3878286,50111727,8,67,0,13360319,6622319,5,0,TRUE,TRUE,59645,96152,FALSE,TRUE,0,0,0,1,2,4,4,,1
M1TTH,124849497,1979741,2518551,12899305,1,15,0,4595551,2518551,2,0,FALSE,TRUE,0,0,FALSE,FALSE,0,1979741,0,3,3,,,,
Wolfman314,144353549,2702069,3657524,32221808,1,46,1,11413093,6359593,5,1,TRUE,TRUE,73722,0,FALSE,TRUE,0,0,0,1,1,2,3,,1
ilekkund2,148163689,2287677,2794945,27678107,5,43,1,11403122,5082622,5,1,TRUE,TRUE,54836,40426,FALSE,TRUE,0,0,0,2,3,3,3,,1
Agave,148199846,2673531,3556141,38242925,73,51,2,11511672,6229672,4,0,TRUE,TRUE,499397,332913,FALSE,TRUE,0,0,0,2,3,3,,,1
Exeel,184344456,2789647,3786612,8569560,25,10,1,7993018,4352018,3,1,FALSE,TRUE,565406,261199,FALSE,FALSE,0,2224241,0,3,3,4,,,
ilekkund,214848174,3130229,4336633,49281148,32,68,1,15727362,7466862,5,1,TRUE,TRUE,572446,65372,FALSE,TRUE,0,0,0,3,4,4,4,,1
MINI xipokemastrix,242144976,1841027,2550547,25445012,34,42,0,10604074,4391574,5,0,TRUE,TRUE,162715,100495,FALSE,TRUE,0,0,0,1,2,3,4,,1
Promethean,245711569,2379069,3345282,38356757,6,61,0,9932351,5724351,4,0,TRUE,TRUE,122430,53356,FALSE,FALSE,0,0,0,1,2,4,4,,
Obi Won Sebroni,247341668,1691608,2435189,32576388,41,48,2,9180297,4126797,5,0,TRUE,TRUE,93675,27316,FALSE,TRUE,0,0,0,1,1,2,3,,1
Guntha Arbos,248271439,2610886,3761473,41893381,35,65,9,11570765,6365765,5,0,TRUE,TRUE,65737,104773,FALSE,FALSE,0,0,0,3,3,4,4,,
Higgs,265535499,2364270,3305249,40856265,21,54,1,10089285,5669285,6,0,TRUE,TRUE,52858,74691,TRUE,TRUE,0,0,0,1,1,1,2,0,1
Loadage,268951863,2707129,3518429,50394135,43,70,1,14426781,6230731,6,0,TRUE,TRUE,404976,135712,TRUE,TRUE,0,0,0,2,3,3,4,1,1
s o l o,334171458,3251898,4781852,56126256,71,73,5,16819750,8033750,6,0,TRUE,TRUE,467513,453199,TRUE,TRUE,0,0,0,4,4,4,4,0,1
Theflavorgreen,416984533,2077847,3391435,32504336,47,40,0,9754136,5469136,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,2,,,1
AKB,461667365,2475691,3601924,31327929,24,48,1,12550114,6067614,6,0,FALSE,TRUE,0,0,TRUE,TRUE,0,10001,0,2,2,3,4,0,1
Baxston Kane,473373554,2886542,3931109,38377313,10,64,0,8627834,3935834,3,0,FALSE,TRUE,0,0,FALSE,FALSE,0,2881817,0,4,4,4,,,
Chaunce,492994246,2800143,3820907,39113552,7,49,0,12739577,6620577,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,2,2,4,,1
Calens,499477827,2529957,3759600,32268897,3,45,0,12503492,6290992,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,3,4,,1
Flywire,515621617,2301895,3319765,34970523,10,50,2,11430033,5622533,4,1,TRUE,TRUE,61275,86067,FALSE,TRUE,0,0,0,2,3,4,,,1
Argarax,545871634,2206854,3444506,27034714,19,53,0,8221167,2563167,3,0,TRUE,FALSE,147257,39696,FALSE,TRUE,3088193,0,0,4,4,,,,1
wamakima5004,556569861,2661887,3577097,30386684,0,40,0,11142984,6238984,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,4,,,1
Maxaron Lexilon,591283737,2918655,3771336,10909753,1,21,0,6373836,3771336,2,0,FALSE,TRUE,0,22873,FALSE,FALSE,0,2918655,0,3,4,,,,
Elros Halfelven,592184954,2662192,3675266,40650121,51,57,0,11660958,6337458,5,0,TRUE,TRUE,115005,20152,FALSE,TRUE,0,0,0,1,2,2,3,,1
Masajj Vemtits,596537312,2546747,3535363,42461591,2,58,0,12778610,6082110,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,4,4,,,1
BabyYodaHitta,629856937,1223673,1829609,21443446,8,30,0,6023473,1524473,3,0,TRUE,FALSE,0,53719,FALSE,TRUE,1528809,0,0,1,4,,,,1
Neeb,648797678,2384840,3521443,36271086,2,49,0,5411443,3521443,4,0,FALSE,TRUE,0,24772,FALSE,FALSE,0,2384840,0,1,1,1,2,,
SloppySaberFlavor,671337993,2499063,3532819,13282950,44,15,0,5501819,3532819,2,0,FALSE,TRUE,0,275336,FALSE,FALSE,0,2499063,0,1,4,,,,
Heywood Jablowme,677183999,2929191,4253901,42467474,21,59,1,12776119,7182619,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,2,2,3,,1
Philo Beddoe,753225541,2562955,3423567,45262090,7,62,0,12469022,5986522,5,0,TRUE,TRUE,0,60536,FALSE,TRUE,0,0,0,2,2,3,4,,1
TacoPizza,797491243,2140100,3237555,43949789,26,67,0,12749155,5377655,5,0,TRUE,TRUE,0,28455,FALSE,TRUE,0,0,0,2,3,4,4,,1
Zlada14,825875376,2577649,3515230,22300563,0,32,0,12853463,6156963,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,4,4,,,1
Zhil Axfow,826592934,2823648,3574216,21102550,33,40,0,7560266,4133266,4,0,FALSE,TRUE,554910,207546,FALSE,FALSE,0,2264598,0,2,2,3,3,,
ONE,873729113,2633825,3813578,44153801,3,53,0,12659903,6447403,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,3,4,,1
Dark Penguin,894569678,1881127,2515115,20723487,2,42,0,6998884,4396384,2,0,TRUE,TRUE,61470,0,FALSE,FALSE,0,0,0,3,4,,,,
Plucky Haydon,924737972,2506369,3641300,30088463,45,39,0,13519169,6147669,5,0,TRUE,TRUE,592473,332547,FALSE,TRUE,0,0,0,2,3,4,4,,1
Revanche Gilder,926679294,2638249,3449037,44109381,40,64,2,12293014,6080514,5,0,TRUE,TRUE,102352,156781,FALSE,TRUE,0,0,0,1,2,3,4,,1
Tommyboy85,929389526,2839783,3760692,46274614,45,66,0,13441711,6595711,5,0,TRUE,TRUE,156616,92807,FALSE,TRUE,0,0,0,2,3,3,4,,1
Sultan2309,938542548,1821822,3001246,30548642,38,44,0,9676056,4834556,5,0,TRUE,TRUE,54511,38632,FALSE,FALSE,0,0,0,2,3,4,4,,
Larping Soccer Moms,962753997,1505137,2021622,33272915,2,62,0,6953759,3526759,4,0,TRUE,TRUE,0,24123,FALSE,FALSE,0,0,0,2,2,3,3,,
OttoVonGens,994659641,2896261,4317550,47086554,27,69,1,15101128,7204128,6,0,TRUE,TRUE,128288,30913,TRUE,TRUE,0,0,0,2,4,4,4,0,1
Gryphix,997239157,2790527,4037292,27795380,4,35,0,14199109,6827609,5,0,TRUE,TRUE,74127,60733,FALSE,TRUE,0,0,0,2,3,4,4,,1
JustinAlexander11,283842274,2290642,3694878,40859550,0,61,0,11793020,5985520,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,3,4,,,1
Doomslug the Destroyer,549766237,1893431,2577435,25491378,33,42,0,9389521,4471021,4,0,TRUE,TRUE,0,64108,FALSE,TRUE,0,0,0,2,2,3,,,1
The Wall,947443938,2115442,3184912,22623524,4,23,0,10353644,5300144,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,2,3,,1
joker,976597667,2132895,3171163,30345126,26,49,1,12405558,5304058,6,0,TRUE,TRUE,62632,31668,TRUE,TRUE,0,0,0,1,3,4,4,0,1
EvilCoyote2011,997394645,2427278,3682814,41365928,3,58,2,10081543,6108043,3,0,TRUE,TRUE,0,65133,FALSE,TRUE,0,0,0,1,3,,,,1
MINI Stewabob,552522334,1502290,2177530,29083202,2,49,0,8853820,3679820,4,0,TRUE,TRUE,0,37559,FALSE,TRUE,0,0,0,1,2,4,,,1
MarkKenoburger,513125742,1817069,2752158,29204662,4,60,0,10376727,4569227,4,0,TRUE,TRUE,0,29131,FALSE,TRUE,0,0,0,2,3,4,,,1
