name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
OttoVonGens,994659641,2803579,4228011,47294508,56,66,1,13378526,7058026,5,0,true,true,0,0,false,true,0,0,0,2,3,3,3,,1
TacoPizza,797491243,2118354,3157019,42425288,21,66,0,12112941,5266941,5,0,true,true,72436,33111,false,true,0,0,0,2,3,3,4,,1
Zlada14,825875376,2573563,3496573,38532893,20,66,0,13446632,6075132,5,0,true,true,0,0,false,true,0,0,0,2,3,4,4,,1
GANIC,357417789,2029960,2924290,36638349,18,59,0,11091101,4972101,5,0,true,true,0,20224,false,true,0,0,0,2,2,2,4,,1
Heywood Jablowme,677183999,2844992,4182544,42198547,46,59,0,13501822,7033822,5,0,true,true,0,49118,false,true,0,0,0,1,1,4,4,,1
Obi Won Sebroni,247341668,1543870,2307144,28076537,79,45,0,8581396,3891396,5,0,true,true,216584,191587,false,true,0,0,0,1,1,2,2,,1
Calens,499477827,2457317,3670973,31696855,28,58,0,6144224,3755724,4,0,false,true,52989,38154,false,false,0,2372566,0,2,2,3,,,
Promethean,245711569,2251322,3127583,45302087,15,67,0,12155422,5579422,5,0,true,true,158644,24468,false,true,0,0,0,1,3,3,4,,1
Revanche Gilder,926679294,2484391,3252877,35472788,69,55,0,11642091,5793091,5,0,true,true,568453,280216,false,true,0,0,0,1,2,2,4,,1
Guntha Arbos,248271439,2565651,3715399,45413678,28,65,1,13657950,6286450,5,0,true,true,65737,98774,false,true,0,0,0,2,3,4,4,,1
Loadage,268951863,2528018,3348518,45190497,11,67,1,14434369,5918669,6,0,true,true,73824,92210,true,true,0,0,0,2,2,3,4,2,1
Argarax,545871634,2172419,3262863,39347708,17,64,0,12219984,5523484,4,0,true,true,0,59554,false,true,0,0,0,3,4,4,,,1
Baxston Kane,473373554,2773130,3863865,50933704,15,70,0,14553156,6656156,5,0,true,true,0,15718,false,true,0,0,0,2,4,4,4,,1
SloppySaberFlavor,671337993,2462985,3459230,19017906,21,24,0,10437108,5938108,3,0,true,true,0,0,false,true,0,0,0,1,4,,,,1
ONE,873729113,2591407,3743125,43343297,15,51,3,11421996,6368496,5,0,true,true,41460,69504,false,true,0,0,0,1,1,2,3,,1
Tommyboy85,929389526,2809698,3644559,49270404,36,68,0,13494154,6486154,5,0,true,true,210255,106818,false,true,0,0,0,2,2,4,4,,1
s o l o,334171458,3237401,4651714,57223818,60,73,0,16711548,7925548,5,0,true,true,582890,354369,false,true,0,0,0,4,4,4,4,,1
Maxaron Lexilon,591283737,2871391,3715469,24054433,2,44,0,5793784,3716784,2,0,false,true,0,0,false,false,0,2870076,0,3,3,,,,
