Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Obi Won Sebroni,247341668,47390691,6906797,14156153,11949726,14378015,4,7,4,6,67,16,22,16,13,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,2,2,3,4,1,1,20,1,1,15,3,0,0,0,0,0
Promethean,245711569,45542179,7256016,9812061,12501451,15972651,4,5,4,6,67,16,20,16,15,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,2,3,3,4,2,1,7,7,0,0,0,0,0,0,0,0
Zlada14,825875376,37785759,7001093,9849093,9533303,11402270,4,5,4,5,62,15,20,16,11,3,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,1,2,4,4,0,0,20,20,0,0,0,0,0,0,0,0
Ky Zeth,615713739,37145359,316812,11149366,14416618,11262563,0,5,4,4,48,0,20,16,12,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,2,4,4,0,2,0,10,7,0,3,0,0,0,0,0,0
ExcellentNut,946916445,48793900,2082891,16662736,10709476,19338797,2,7,4,6,64,8,22,16,18,4,4,0,0,4,4,4,4,4,1,1,4,4,4,4,0,0,3,4,4,4,2,1,15,2,4,0,9,0,0,0,0,0
ìN Paca,114649229,63300567,8538913,16642092,18266239,19853323,4,7,6,6,75,16,22,18,19,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,4,4,4,4,2,1,78,20,30,6,22,1,0,0,0,1
Tommyboy85,929389526,58407042,7916242,15674503,17322702,17493595,4,7,6,6,72,16,22,18,16,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,2,1,30,12,3,11,4,0,0,0,0,0
ilekkund,214848174,58953947,8415348,16547301,18177049,15814249,4,7,6,5,71,16,22,18,15,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,2,0,26,5,14,0,7,1,0,0,0,1
OttoVonGens,994659641,54867124,8400825,10957141,18011545,17497613,4,5,6,6,69,16,20,18,15,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,1,2,3,4,4,1,1,28,8,0,0,20,0,0,0,0,0
ilekkund2,148163689,42288465,6996733,14472369,9553596,11265767,4,7,2,5,56,16,22,8,10,4,4,4,4,4,4,4,4,4,1,1,4,4,0,0,0,0,2,2,2,3,1,0,18,2,2,1,13,0,0,0,0,0
