name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Obi Won Sebroni,247341668,1431551,2178103,4766064,3,14,0,4766064,2182064,4,0,FALSE,TRUE,0,33274,TRUE,TRUE,-3961,0,0,3,3,4,4
Masajj Vemtits,596537312,2484896,3417391,6603230,5,16,0,6603230,3435230,4,1,FALSE,TRUE,0,96403,TRUE,TRUE,-17839,0,0,4,4,4,4
Doomslug the Destroyer,549766237,1791647,2355671,4427485,2,11,0,4427485,2358485,4,0,FALSE,TRUE,0,29740,TRUE,TRUE,-2814,0,0,1,2,4,4
Larping Soccer Moms,962753997,1479326,1920272,2957625,8,12,0,2957625,581625,3,1,FALSE,FALSE,0,92933,FALSE,TRUE,1338647,0,0,4,4,4,
Elros Halfelven,592184954,2600667,3600124,3517278,3,15,0,3517278,641278,4,1,FALSE,FALSE,0,57101,TRUE,TRUE,2958846,0,0,3,4,4,4
AKB,461667365,2393415,3441111,6611008,5,16,0,6611008,3443008,4,1,FALSE,TRUE,0,98096,TRUE,TRUE,-1897,0,0,4,4,4,4
SloppySaberFlavor,671337993,2353046,3410358,5499858,8,12,0,5499858,3410358,4,1,FALSE,TRUE,0,116756,TRUE,TRUE,0,0,0,2,3,3,4
Agave,148199846,2492262,3333519,3778951,20,15,0,3778951,902951,4,1,FALSE,FALSE,0,288066,TRUE,TRUE,2430568,0,0,3,4,4,4
ONE,873729113,2542233,3672889,2908722,4,13,0,2908722,616722,4,1,FALSE,FALSE,0,59878,TRUE,TRUE,3056167,0,0,3,3,3,4
Philo Beddoe,753225541,2540697,3242938,5698478,6,12,0,5698478,3322478,3,1,FALSE,TRUE,0,88068,FALSE,TRUE,-79540,0,0,4,4,4,
Loadage,268951863,2454401,3242001,6412798,0,16,0,6412798,3244798,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-2797,0,0,4,4,4,4
BOHICA,827612656,2992919,4025224,7062844,18,15,0,7062844,4186844,4,1,FALSE,TRUE,0,384146,TRUE,TRUE,-161620,0,0,3,4,4,4
ilekkund,214848174,3059917,4190698,7358698,3,16,0,7358698,4190698,4,1,FALSE,TRUE,0,57633,TRUE,TRUE,0,0,0,4,4,4,4
ilekkund2,148163689,2082266,2610872,5800355,1,16,0,5800355,2632355,4,1,FALSE,TRUE,0,2661,TRUE,TRUE,-21483,0,0,4,4,4,4
Argarax,545871634,1952986,3087631,6267241,9,16,0,6267241,3099241,4,1,FALSE,TRUE,0,167480,TRUE,TRUE,-11610,0,0,4,4,4,4
MINI xipokemastrix,242144976,1745492,2459462,3938340,14,16,0,3938340,770340,4,1,FALSE,FALSE,0,172130,TRUE,TRUE,1689122,0,0,4,4,4,4
The Wall,947443938,1976191,3052648,3008296,14,13,0,3008296,716296,4,1,FALSE,FALSE,0,158973,TRUE,TRUE,2336352,0,0,3,3,3,4
TacoPizza,797491243,2092393,3092008,5970116,4,15,0,5970116,3094116,4,1,FALSE,TRUE,0,102602,TRUE,TRUE,-2108,0,0,3,4,4,4
