name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Obi Won Sebroni,247341668,1431551,2178103,12659009,24,28,0,7892945,3616445,5,0,TRUE,TRUE,289766,127126,FALSE,FALSE,0,0,0,3,3,3,4,,,1
Masajj Vemtits,596537312,2484896,3417391,6716075,5,16,0,112845,112845,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3304546,2372051,112845,,,,,,,
Doomslug the Destroyer,549766237,1791647,2355671,12532923,2,26,0,8105438,4157438,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,,,,
Larping Soccer Moms,962753997,1479326,1920272,11717720,10,31,0,8760095,3408095,6,1,TRUE,TRUE,0,29427,TRUE,FALSE,0,0,0,3,4,4,4,4,,
Elros Halfelven,592184954,2600667,3600124,15070964,33,34,0,11553686,6201686,7,1,TRUE,TRUE,527745,287853,TRUE,TRUE,0,0,0,3,4,4,4,4,0,0
AKB,461667365,2393415,3441111,17803371,5,35,0,11192363,5840363,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,3,4,4,4,4,,
SloppySaberFlavor,671337993,2353046,3410358,10597232,8,29,0,5097374,489374,5,0,FALSE,FALSE,0,0,TRUE,FALSE,2920984,1863672,489374,3,3,3,4,4,,
Agave,148199846,2492262,3333519,13205935,36,35,1,9426984,3702984,5,1,FALSE,TRUE,357627,157262,TRUE,FALSE,0,2122797,0,4,4,4,4,4,,
ONE,873729113,2542233,3672889,14892816,8,31,1,11984094,6219594,6,1,TRUE,TRUE,44670,45194,TRUE,FALSE,0,0,0,2,3,4,4,4,,1
Philo Beddoe,753225541,2540697,3242938,18282186,8,33,0,12583708,5787208,6,0,TRUE,TRUE,0,61539,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
Loadage,268951863,2454401,3242001,19779346,3,38,0,13366548,5745048,7,1,TRUE,TRUE,0,90125,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
BOHICA,827612656,2992919,4025224,18835145,22,36,0,11772301,4975801,7,1,FALSE,TRUE,67768,88744,TRUE,TRUE,0,2042342,0,4,4,4,4,4,0,1
ilekkund,214848174,3059917,4190698,22292432,5,38,0,14933734,7312234,7,1,TRUE,TRUE,0,59215,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
ilekkund2,148163689,2082266,2610872,17095217,4,37,0,11294862,4745862,7,1,TRUE,TRUE,87267,2661,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
Argarax,545871634,1952986,3087631,18240012,19,37,0,11972771,5176271,6,1,TRUE,TRUE,0,182120,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
MINI xipokemastrix,242144976,1745492,2459462,12785183,20,36,0,8846843,2422343,6,0,TRUE,FALSE,60413,117797,TRUE,FALSE,1782611,0,0,3,4,4,4,4,,1
The Wall,947443938,1976191,3052648,13612028,15,31,0,10603732,5034832,6,1,TRUE,TRUE,0,17604,TRUE,FALSE,0,0,0,3,3,4,4,3,,1
TacoPizza,797491243,2092393,3092008,17957395,21,36,0,11987279,5190779,6,0,TRUE,TRUE,0,192296,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
Baxston Kane,473373554,2710190,3810203,18107663,10,37,0,11120974,4324474,6,1,FALSE,TRUE,54654,15694,TRUE,FALSE,0,2195919,0,4,4,4,4,4,,1
GANIC,357417789,1881075,2894317,15606261,2,33,0,10127944,4775944,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,3,4,4,4,4,,
Heywood Jablowme,677183999,2786603,4109580,19607088,20,35,0,12621258,6897258,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,4,,
