Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Obi Won Sebroni,247341668,48524521,6819661,13598889,15149474,12956497,4,7,6,6,64,16,21,17,10,4,4,4,4,3,4,4,4,4,1,1,3,4,4,4,1,1,2,2,2,2,1,1,28,20,0,0,8,0,0,0,0,0
Shotwell,843553429,51901298,8614153,16668325,10861621,15757199,4,7,4,5,66,16,22,16,12,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,3,4,4,0,0,1,40,8,26,0,6,0,0,0,0,0
JustinAlexander11,283842274,22130130,7676323,0,0,14453807,4,0,0,5,30,15,0,0,15,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,1,0,20,0,0,0,20,1,0,0,0,1
Zlada14,825875376,23475617,7283194,0,2183240,14009183,4,0,1,6,33,16,0,4,13,4,4,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,2,3,3,4,0,1,14,0,0,14,0,0,0,0,0,0
Ky Zeth,615713739,47347584,8471188,11036451,10723893,17116052,4,5,4,5,65,16,20,16,13,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,3,4,0,2,1,3,0,0,0,3,1,0,0,0,1
MINI Azryl,932489599,38300926,158820,10742740,9325745,18073621,0,7,4,6,55,0,21,16,18,0,0,0,0,4,4,4,4,4,0,1,4,4,4,4,0,0,3,4,4,4,2,1,2,1,0,1,0,1,0,0,0,1
Dr N00b,436483225,41399006,8602763,16751456,6433314,9611473,4,7,4,5,65,16,22,16,11,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,3,4,4,0,0,0,14,3,4,7,0,1,0,0,0,1
Ã¬N Paca,114649229,19577691,167492,1584942,5992118,11833139,0,1,0,5,18,0,4,0,14,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,3,4,4,1,0,37,1,0,30,6,0,0,0,0,0
Nom,884121445,57573072,8090563,16090765,17708342,15683402,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,3,3,4,0,1,31,0,1,0,30,0,0,0,0,0
Philo Beddoe,753225541,42639803,521813,15249622,13252855,13615513,0,7,6,5,53,0,22,18,13,0,0,0,0,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,3,4,2,0,21,19,1,1,0,0,0,0,0,0
Loadage,268951863,59058640,7849549,15655443,17245695,18307953,4,7,6,6,74,16,22,18,18,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,2,1,54,13,27,11,3,1,0,0,0,1
ilekkund,214848174,52278055,8314193,14420531,10554193,18989138,4,5,4,6,70,16,20,16,18,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,4,4,4,2,1,50,19,14,0,17,0,0,0,0,0
ilekkund2,148163689,44993468,6839241,14128043,8637241,15388943,4,7,4,6,68,16,22,15,15,4,4,4,4,4,4,4,4,4,1,1,3,4,4,4,0,0,2,3,3,4,2,1,14,1,1,0,12,0,0,0,0,0
