name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Obi Won Sebroni,247341668,1176604,1955938,10070186,27,1,0,3220122,3220122,2,0,TRUE,TRUE,0,86702,FALSE,FALSE,0,0,0,,,,,
MINICalens,499477827,2350975,3559951,28829787,1,25,0,10926095,5919645,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,0,1,4,1
Doomslug the Destroyer,549766237,1599677,2158506,13872651,4,7,0,3792177,3792177,1,1,TRUE,TRUE,0,11287,FALSE,FALSE,0,0,0,,,,,
Masajj Vemtits,596537312,2447089,3364308,17306988,2,15,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3364308,2447089,0,,,,,
Larping Soccer Moms,962753997,1442926,1877537,12975504,6,12,1,3197059,1877884,3,1,TRUE,FALSE,0,20949,FALSE,FALSE,1442579,0,0,,,3,,
MINI UK PedroMontenegro,273676688,2771382,3818423,38348230,47,48,3,13857391,6760691,5,1,TRUE,TRUE,0,190309,TRUE,TRUE,0,0,0,4,4,2,4,1
Zhil Axfow,826592934,2677128,3396660,16186639,8,10,0,1140643,436643,2,1,FALSE,FALSE,0,32262,FALSE,FALSE,2960017,2240485,436643,2,,,,
ONE,873729113,2510159,3608076,18120737,1,6,0,4061490,3627490,2,0,TRUE,FALSE,0,0,FALSE,FALSE,2490745,0,0,1,,,,
Guntha Arbos,248271439,2421094,3582665,19265480,4,3,0,6444530,6010530,3,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,,,,
Philo Beddoe,753225541,2484885,3175121,19308341,7,11,0,4318504,2518504,1,0,TRUE,FALSE,0,13105,FALSE,TRUE,3141502,0,0,,,,,1
Loadage,268951863,2403796,3050143,27428043,12,27,0,9017572,5464397,4,1,TRUE,TRUE,0,88889,FALSE,TRUE,0,0,0,1,,3,,1
s o l o,334171458,3025077,4446696,38785014,60,43,0,13404169,7502969,5,0,TRUE,TRUE,0,231052,TRUE,TRUE,0,0,0,2,4,2,3,1
ilekkund,214848174,2886431,4114132,31920072,14,40,1,9619806,3448206,4,1,TRUE,FALSE,0,26542,TRUE,FALSE,3552357,0,0,4,4,4,4,
LGuy 21,261187434,2552305,3586842,25895386,10,27,0,6293490,3597315,3,1,TRUE,FALSE,0,88344,FALSE,FALSE,2541832,0,0,4,,3,,
OttoVonGens,994659641,2781844,4096661,32485233,15,38,0,14182567,6883967,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,2,4,4,4,1
ilekkund2,148163689,2009459,2511614,20791415,25,30,0,5386437,560837,4,0,FALSE,FALSE,0,73033,TRUE,FALSE,1950777,1448622,560837,2,2,4,4,
Argarax,545871634,1681046,2818936,16513575,7,17,0,5520713,2824538,3,1,TRUE,FALSE,0,0,FALSE,FALSE,1675444,0,0,4,,3,,
MINI xipokemastrix,242144976,1652907,2344414,13749442,26,6,0,4029626,4029626,2,1,TRUE,TRUE,0,23403,FALSE,FALSE,0,0,0,,,,,
The Wall,947443938,1913809,2911916,16672360,11,19,0,4058209,2920209,2,1,TRUE,FALSE,0,4656,FALSE,FALSE,1905516,0,0,1,2,,,
TacoPizza,797491243,2038194,2993631,17415480,2,8,0,5037954,5037954,0,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,,
Chaunce,492994246,2717437,3582130,28635149,19,34,0,8556865,3580690,4,1,TRUE,FALSE,0,0,TRUE,FALSE,2718877,0,0,3,3,3,4,
GANIC,357417789,1848162,2794802,20548796,10,19,0,6457245,4646245,3,1,TRUE,TRUE,0,116453,FALSE,FALSE,0,0,0,1,4,,,
Neeb,648797678,2330832,3322494,20859891,5,10,0,7473041,5659841,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,0,2,1,0
Dark Penguin,894569678,1760490,2337465,14965261,30,8,0,4817157,4113157,2,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,,,,
BabyYodaHitta,629856937,1089456,1661588,8848657,21,6,0,1663767,1663767,1,1,TRUE,FALSE,0,60752,FALSE,FALSE,1087277,0,0,,,,,
Ben8cv,331225772,2618867,3460493,24237931,31,17,0,8009467,6079517,4,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,,2,,
Heywood Jablowme,677183999,2759478,4026822,28193416,11,30,0,8447108,3874908,4,0,TRUE,FALSE,0,189936,TRUE,FALSE,2911392,0,0,3,3,2,4,
AKB,461667365,2370867,3345133,25934654,23,24,0,7923562,5731862,5,1,TRUE,TRUE,0,27973,TRUE,TRUE,0,0,0,0,0,1,4,0
Zlada14,825875376,2516962,3406565,29518498,17,38,0,9726786,2992336,5,0,TRUE,FALSE,0,0,TRUE,TRUE,2931191,0,0,3,4,2,4,1
Elros Halfelven,592184954,2585710,3538148,33557762,20,39,0,12282756,6129056,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,4,2,4,1
Higgs,265535499,2212021,3109385,15874988,4,6,1,4250417,3112417,3,0,TRUE,FALSE,0,12838,FALSE,FALSE,2208989,0,0,1,2,,,
Baxston Kane,473373554,2675804,3730882,29457868,5,29,0,8909354,6415254,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,,4,,
Elladan Halfelven,231363518,2707676,3698719,24894039,23,20,0,6327451,3178251,4,0,TRUE,FALSE,0,109997,FALSE,TRUE,3228144,0,0,1,,2,,1
Promethean,245711569,2247215,3121319,25108160,2,33,0,6425192,3118242,3,1,TRUE,FALSE,0,0,FALSE,FALSE,2250292,0,0,3,4,2,,
Kypomm,631928359,2655237,3643758,17242440,4,3,0,3655233,3655233,1,1,TRUE,FALSE,0,26739,FALSE,FALSE,2643762,0,0,,,,,
ShootMeow,118543169,2581588,3540621,26768790,0,20,0,10624583,6128408,4,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,,3,,1
Wolfman314,144353549,2634990,3524226,27304394,0,32,0,6833525,3526575,3,1,TRUE,FALSE,0,0,FALSE,FALSE,2632641,0,0,3,4,2,,
Agave,148199846,2447961,3288497,22687380,6,24,0,5529828,2987128,4,1,TRUE,FALSE,0,0,FALSE,FALSE,2749330,0,0,,,2,4,
