name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Masajj Vemtits,596537312,2546747,3542958,25119045,4,17,0,10893134,6088634,3,1,TRUE,TRUE,0,39757,FALSE,TRUE,0,0,0,4,,,4,1
Larping Soccer Moms,962753997,1517216,2041142,19506409,2,24,0,3176022,1856847,2,1,TRUE,FALSE,0,20949,FALSE,FALSE,1701511,0,0,,,3,,
Zhil Axfow,826592934,2849001,3600756,28669769,9,18,0,6809543,4111543,3,1,FALSE,TRUE,0,26859,FALSE,TRUE,0,2338214,0,1,,,1,1
Zlada14,825875376,2609897,3592586,24714945,30,38,0,3302750,356075,2,1,FALSE,FALSE,0,0,FALSE,FALSE,3236511,2253822,356075,,,3,4,
ONE,873729113,2661048,3866011,31947145,2,28,0,6543613,3164663,4,1,TRUE,FALSE,0,0,FALSE,TRUE,3362396,0,0,3,,1,,1
Guntha Arbos,248271439,2613450,3793822,26930555,4,10,3,7442018,6413818,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,1,1,
BraZ,193116527,2244850,3247683,27591008,5,28,0,9626280,5492355,3,1,TRUE,TRUE,0,60502,FALSE,TRUE,0,0,0,3,,3,,1
Philo Beddoe,753225541,2581060,3456859,24850410,11,26,1,4961080,3333580,1,0,TRUE,FALSE,0,23411,FALSE,FALSE,2704339,0,0,,,,4,
Loadage,268951863,2723221,3589155,45529109,12,52,4,13445667,6326067,5,1,TRUE,TRUE,0,48114,TRUE,TRUE,0,0,0,4,4,4,2,1
BabyYodaHitta,629856937,1265787,1849581,8245306,8,4,0,1850421,1850421,0,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1264947,0,,,,,
ilekkund,214848174,3130837,4361096,51959639,30,57,3,14714902,7576477,5,1,TRUE,TRUE,0,126090,TRUE,TRUE,0,0,0,3,4,3,4,1
Higgs,265535499,2367291,3314431,28496173,3,18,0,6122255,5688255,4,1,TRUE,TRUE,0,30667,FALSE,FALSE,0,0,0,1,,,,
Theflavorgreen,416984533,2129363,3456571,23705636,5,15,1,6308135,5604135,2,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,,,,
MINI xipokemastrix,242144976,1844126,2597864,26699100,20,20,3,6247278,4447278,3,1,TRUE,TRUE,0,83399,FALSE,TRUE,0,0,0,,,,,1
TacoPizza,797491243,2148564,3275034,30526187,5,35,0,9719410,5437410,3,1,TRUE,TRUE,0,61063,FALSE,TRUE,0,0,0,4,,,3,1
ShootMeow,118543169,2763948,3905974,43465731,31,52,1,13689260,6711085,5,1,TRUE,TRUE,0,177818,TRUE,TRUE,0,0,0,4,4,3,3,1
Neeb,648797678,2387076,3543439,29695910,3,23,0,7786006,5945006,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,0,0,1,0
Heywood Jablowme,677183999,2936499,4313849,31157460,60,25,0,10585063,7266863,4,1,TRUE,TRUE,0,187738,FALSE,FALSE,0,0,0,4,4,1,,
Dark Penguin,894569678,1902336,2528135,27095320,28,22,0,7773567,4434567,3,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,,,3,1
JustinAlexander11,283842274,2301469,3739146,42881941,2,51,0,10842355,6084680,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,4,3,4,0
MarkKenoburger,513125742,1819924,2793991,40521027,3,57,0,11558575,4730900,5,1,TRUE,TRUE,0,26728,TRUE,TRUE,0,0,0,2,4,3,4,1
Agave,148199846,2674078,3614935,43404527,49,46,2,11360016,6313316,5,1,TRUE,TRUE,0,162586,TRUE,TRUE,0,0,0,2,0,2,4,1
Baxston Kane,473373554,2889119,3946174,34378918,4,31,0,4306739,3201739,2,1,TRUE,FALSE,0,0,FALSE,FALSE,3633554,0,0,,,,3,
Sultan2309,938542548,1888218,3071408,32114857,16,36,0,8343749,4943574,4,1,FALSE,TRUE,0,78047,FALSE,FALSE,0,16052,0,2,4,3,,
Tel Nadda,427553566,1522714,2148695,16385762,11,5,3,3676787,3676787,1,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,,
JamesBond007,188434999,2455567,3290607,22925510,3,18,0,2488778,2488778,0,0,TRUE,FALSE,0,0,FALSE,FALSE,3257396,0,0,,,,,
Elros Halfelven,592184954,2667287,3683111,42226086,20,54,0,8040469,3686769,4,1,FALSE,TRUE,0,58663,TRUE,FALSE,0,2663629,0,1,4,2,4,
Calens,499477827,2549470,3811352,23078762,7,21,1,5448181,3820681,1,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2540141,0,,,,4,
joker,976597667,2133388,3194881,27959568,4,25,3,7384675,5371725,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,3,1,,
Obi Won Sebroni,247341668,1711189,2494079,24553854,17,23,0,6389664,4237164,3,1,TRUE,TRUE,0,100778,FALSE,FALSE,0,0,0,4,,,2,
AKB,461667365,2491999,3618275,40211161,8,52,0,5302991,3675491,1,1,FALSE,TRUE,0,32308,FALSE,FALSE,0,2434783,0,,,,4,
Revanche Gilder,926679294,2691018,3497516,45428231,30,54,1,12427148,6231723,5,1,TRUE,TRUE,0,104294,TRUE,TRUE,0,0,0,1,3,3,4,1
Wil043,635417488,2177612,3413026,31906352,19,36,0,9319405,5608480,3,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,4,3,,
Argarax,545871634,2211509,3493048,38040178,1,41,0,8634675,5729675,2,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,,,,3,1
MINI Stewabob,552522334,1515910,2206996,26916091,2,37,0,5380455,2213355,2,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1509551,0,4,,4,,
Gryphix,997239157,2792917,4073494,45314332,4,58,0,12553186,4581586,5,1,FALSE,TRUE,0,27757,TRUE,TRUE,0,2284825,0,4,4,4,4,1
Wolfman314,144353549,2702793,3668612,27049799,1,20,0,11981647,6380472,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,0,3,3,1
Plucky Haydon,924737972,2521988,3673663,48519873,2,63,1,12785342,6211142,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,2,3,1
Flywire,515621617,2313747,3348695,36981678,18,50,5,11817447,5693772,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,0,3,4,1
Promethean,245711569,2379069,3354718,36721794,2,45,0,10273841,5736666,4,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,3,1,
Tommyboy85,929389526,2839783,3797585,50773945,2,63,0,14618936,6647336,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,1
wamakima5004,556569861,2663399,3592111,37491723,29,44,0,11588824,6292074,4,1,TRUE,TRUE,0,174229,FALSE,TRUE,0,0,0,3,4,,3,1
Exeel,184344456,2810285,3841359,29468220,0,29,0,8302258,6674758,1,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,4,
OttoVonGens,994659641,2906162,4337483,47494884,9,53,2,12588238,7249813,5,1,TRUE,TRUE,0,143000,TRUE,TRUE,0,0,0,3,4,3,4,0
EvilCoyote2011,997394645,2445972,3710356,18895660,0,11,0,2589130,2589130,1,1,TRUE,FALSE,0,0,FALSE,FALSE,3567198,0,0,,,,,
ilekkund2,148163689,2344041,2883404,39539725,2,47,3,13225035,5253435,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,1
M1TTH,124849497,1979741,2518551,15415531,0,5,1,6857831,4493631,2,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,,,1,,1
Maxaron Lexilon,591283737,2923068,3784792,28240588,3,18,4,5816713,3793538,3,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2914322,0,2,,3,,
