name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Larping Soccer Moms,962753997,1393012,1838762,11888053,5,16,0,4599118,2235168,5,0,true,false,0,41808,false,false,996606,0,0,1,3,,,2,
Zhil Axfow,826592934,2662017,3378157,18440445,13,8,0,4828220,3379470,4,0,true,false,0,49159,false,false,2660704,0,0,1,3,,,,
Wolfman,998737698,2074188,2401462,15416923,14,5,0,4607554,2807554,3,0,true,false,0,48249,false,true,1668096,0,0,,,,,,1
Guntha Arbos,248271439,2438866,3527983,17772231,18,0,2,5904554,5904554,2,0,true,false,0,52792,false,false,62295,0,0,,,,,,
DorkHelmet,987949222,2498340,2742836,15455125,12,6,0,3198469,2764469,1,0,true,false,0,94860,false,false,2476707,0,0,1,,,,,
ExcellentNutAlt,439645938,1021112,1441931,6709501,23,0,0,1778579,1778579,3,0,true,false,0,81426,false,false,684464,0,0,,,,,,
Philo Beddoe,753225541,2411841,3067709,20461414,10,13,0,6496138,5481388,5,0,true,true,0,59904,false,false,0,0,0,3,,,,,
Loadage,268951863,2374029,2962907,27709202,10,27,0,10762254,5361154,5,0,true,true,0,43089,false,true,0,0,0,1,4,,,4,1
Nydot,992622296,1144038,1690421,10448978,32,7,0,4290664,2841914,2,0,true,true,0,9312,false,false,0,0,0,1,3,,,,
BabyYodaHitta,629856937,1066239,1623441,8244357,21,3,0,2057993,1623993,1,0,true,false,0,70673,false,false,1065687,0,0,1,,,,,
Thegreatplant,416181267,2174824,2718804,19769118,36,10,0,7724648,4909898,2,0,true,true,0,38113,false,true,0,0,0,3,,,,,1
ilekkund2,148163689,1999396,2449685,23239745,7,22,1,8980589,4454389,6,0,true,true,0,26874,true,true,0,0,0,1,4,0,0,2,1
Spectrum,411242948,1967172,2342045,15514503,18,12,1,4529454,2342279,3,0,true,false,0,0,false,false,1966938,0,0,1,1,,,3,
Higgs,265535499,2142106,3092055,18219028,1,7,0,6249400,5234650,3,0,true,true,0,0,false,false,0,0,0,3,,,,,
