name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Doomslug the Destroyer,549766237,1355787,1945742,12423936,9,6,0,4227084,3359084,2,0,true,true,0,22574,false,false,0,0,0,1,1,,,,
Larping Soccer Moms,962753997,1391919,1828299,14581256,6,9,0,6640024,3220824,4,0,true,true,0,63102,false,true,0,0,0,2,,,,2,1
Zhil Axfow,826592934,2653705,3357426,8506686,13,3,0,4231281,3363281,4,0,true,false,0,57277,false,false,2647850,0,0,1,1,,,,
Wolfman,998737698,2054642,2359165,13769056,17,1,0,4415313,4415313,4,0,true,true,0,47406,false,false,0,0,0,,,,,,
Guntha Arbos,248271439,2432043,3478636,18646889,1,2,0,5905130,5905130,1,0,true,true,0,26593,false,false,0,0,0,,,,,,
DorkHelmet,987949222,2481181,2725559,17227614,9,5,0,6230765,5216015,4,0,true,true,0,49426,false,false,0,0,0,3,,,,,
ExcellentNutAlt,439645938,1003949,1404646,4853718,17,0,0,22397,22397,0,0,false,false,0,57682,false,false,1382249,981552,22397,,,,,,
Philo Beddoe,753225541,2373083,3018066,21695329,6,15,0,8223878,5419028,3,0,true,true,0,13105,false,false,0,0,0,3,,,,4,
MINI Loadage,268951863,2350372,2885707,26793263,26,28,0,10419983,5271308,4,0,true,true,0,136945,false,true,0,0,0,3,3,,,3,1
Nydot,992622296,1100338,1662554,10085665,12,4,0,3632981,2764981,2,0,true,true,0,4656,false,false,0,0,0,1,1,,,,
BabyYodaHitta,629856937,1029202,1551088,8662853,17,5,0,3024399,2590399,1,0,true,true,0,60915,false,false,0,0,0,1,,,,,
II Xogall the Lesser II,438887383,2722861,3655478,24139477,7,13,0,8313706,6383756,6,0,true,true,0,15804,true,true,0,0,0,3,0,0,0,2,0
Spectrum,411242948,1937460,2240701,15856744,11,9,0,5132556,4217356,4,0,true,true,0,24211,false,false,0,0,0,,,,,2,
ilekkund2,148163689,1970226,2348825,22259726,6,20,0,9361847,4322997,5,0,true,true,0,4656,false,true,0,0,0,1,3,,,4,1
FreePlayAllDay,913688669,1882224,2770875,12647696,2,1,0,4670033,4670033,1,0,true,true,0,15057,false,false,0,0,0,,,,,,
Higgs,265535499,2130416,3067041,17600419,0,6,0,6218705,5203955,3,0,true,true,0,0,false,false,0,0,0,3,,,,,
MINI xipokemastrix,242144976,1489965,2304094,14082927,16,9,0,4813130,3798380,3,0,true,true,0,56976,false,false,0,0,0,3,,,,,
TacoPizza,797491243,1990059,2861453,18431416,1,10,0,5824739,4909539,2,0,true,true,0,0,false,false,0,0,0,,,,,2,
Elyana,967665728,2246998,3179226,20368315,1,9,0,7619963,5432788,6,0,true,true,0,0,true,true,0,0,0,1,1,0,0,3,0
GANIC,357417789,1742544,2680097,17227439,7,11,0,6843506,4451756,4,0,true,true,0,38609,false,false,0,0,0,3,4,,,,
Vsarr,789134798,1935761,2600415,13620345,28,0,0,4542986,4542986,3,0,true,true,0,82095,false,false,0,0,0,,,,,,
Kypomm,631928359,2595973,3466009,18212690,4,0,0,6089103,6089103,1,0,true,true,0,25707,false,false,0,0,0,,,,,,
Dark Penguin,894569678,1684931,2182130,13800023,41,6,0,4912738,3897988,2,0,true,true,417913,217560,false,false,0,0,0,3,,,,,
Obi Won Sebroni,247341668,1051056,1765557,8997887,22,1,0,2829952,2829952,2,0,true,true,0,33037,false,false,0,0,0,,,,,,
MINICalens,499477827,2245417,3456555,25318866,4,23,5,9043338,5705388,5,0,true,true,0,11835,false,false,0,0,0,2,2,3,,2,
Masajj Vemtits,596537312,2401078,3280894,20982280,5,15,0,9876112,5684362,3,0,true,true,0,33748,false,true,0,0,0,3,4,,,,1
Tommy,225191489,1062650,1975241,9656125,20,1,0,3047167,3047167,0,0,true,true,0,26116,false,false,0,0,0,,,,,,
Wolfman314,144353549,2616952,3434999,29701232,12,28,0,11057529,6055604,6,0,true,true,0,16929,true,true,0,0,0,1,1,3,0,3,1
AKB,461667365,2277643,3248051,23239470,13,25,0,10159559,5533809,6,0,true,true,0,5040,true,true,0,0,0,1,3,4,0,0,1
SloppySaberFlavor,671337993,2327686,3246518,22908807,3,17,0,6595919,5581169,3,0,true,true,0,0,false,false,0,0,0,3,,,,,
Quinton Samulson,334914382,1539243,2233852,13586419,10,6,0,4222962,3788962,3,0,true,true,0,42157,false,false,0,0,0,1,,,,,
