name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Doomslug the Destroyer,549766237,1355787,1945742,15801613,9,6,1,3377677,3377677,1,0,true,true,0,11287,false,false,0,0,0,,,,,
Larping Soccer Moms,962753997,1391919,1828299,17908292,6,13,0,3327036,1707836,4,0,true,false,0,42003,false,false,1512382,0,0,2,,2,,
Zhil Axfow,826592934,2653705,3357426,14958855,13,4,0,6452169,6018169,4,0,true,true,0,40380,false,false,0,0,0,1,,,,
Wolfman,998737698,2054642,2359165,20935515,17,2,0,7166459,4416459,3,0,true,true,0,47406,false,true,0,0,0,,,,,1
Guntha Arbos,248271439,2432043,3478636,24555585,1,2,1,5908696,5908696,0,0,true,true,0,0,false,false,0,0,0,,,,,
DorkHelmet,987949222,2481181,2725559,17227614,9,5,0,0,0,0,0,false,false,0,49426,false,false,2725559,2481181,0,,,,,
ExcellentNutAlt,439645938,1003949,1404646,7282650,17,0,0,2428932,2428932,1,0,true,true,0,22397,false,false,0,0,0,,,,,
Philo Beddoe,753225541,2373083,3018066,28031267,6,17,0,6335938,5420738,4,1,true,true,0,13105,false,false,0,0,0,,,2,,
MINI Loadage,268951863,2350372,2885707,35103860,26,36,0,8310597,5272672,4,1,true,true,0,115404,false,false,0,0,0,2,3,3,,
Nydot,992622296,1100338,1662554,12851633,12,4,0,2765968,2765968,0,0,true,true,0,4656,false,false,0,0,0,,,,,
BabyYodaHitta,629856937,1029202,1551088,8798568,17,5,0,135715,135715,0,1,false,false,0,24483,false,false,1415373,893487,135715,,,,,
II Xogall the Lesser II,438887383,2722861,3655478,33168433,7,20,0,9028956,6383756,4,0,true,true,0,0,false,false,0,0,0,2,4,1,,
Spectrum,411242948,1937460,2240701,20778694,11,11,1,4921950,4217950,4,0,true,true,0,0,false,false,0,0,0,2,,,,
ilekkund2,148163689,1970226,2348825,31262934,6,26,1,9003208,4323258,4,1,true,true,0,0,false,true,0,0,0,3,,2,,1
FreePlayAllDay,913688669,1882224,2770875,17317729,2,1,0,4670033,4670033,2,0,true,true,0,0,false,false,0,0,0,,,,,
Higgs,265535499,2130416,3067041,23675605,0,8,1,6075186,5207186,2,0,true,true,0,0,false,false,0,0,0,1,1,,,
MINI xipokemastrix,242144976,1489965,2304094,17880112,16,9,0,3797185,3797185,1,1,true,true,0,44253,false,false,0,0,0,,,,,
TacoPizza,797491243,1990059,2861453,23338559,1,10,0,4907143,4907143,0,1,true,true,0,0,false,false,0,0,0,,,,,
Elyana,967665728,2246998,3179226,27555538,1,13,0,7187223,5434048,4,1,true,true,0,0,false,false,0,0,0,1,,3,,
GANIC,357417789,1742544,2680097,23060785,7,15,1,5833346,4456346,2,0,true,true,0,17512,false,false,0,0,0,4,,,,
Vsarr,789134798,1935761,2600415,18166367,28,0,1,4546022,4546022,0,0,true,true,0,53841,false,false,0,0,0,,,,,
Kypomm,631928359,2595973,3466009,20808663,4,0,0,2595973,2595973,0,0,false,false,0,25707,false,false,870036,0,2595973,,,,,
Dark Penguin,894569678,1684931,2182130,18132178,41,7,0,4332155,3898155,1,0,true,true,0,185708,false,false,0,0,0,1,,,,
