Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 403000_573500_840000_1155000 [1],P1 Ground 403000_573500_840000_1155000 [2],P1 Ground 403000_573500_840000_1155000 [3],P1 Ground 523900_745550_1092000_1501500 [1],P1 Fleet 523900 [1],P2 Ground 434000_704000_1014750_1377000 [1],P2 Ground 434000_704000_1014750_1377000 [2],P2 Ground 434000_704000_1014750_1377000 [3],P2 Ground 434000_704000_1014750_1377000 [4],P2 Ground 564200_915200_1319175_1790100 [1],P2 Fleet 900000 [1],P3 Ground 464000_775500_1105000_1627500 [1],P3 Ground 464000_775500_1105000_1627500 [2],P3 Ground 464000_775500_1105000_1627500 [3],P3 Ground 603200_1008150_1436500_2115750 [1],P3 Fleet 1800000 [1],P4 Ground 511500_867000_1242500_1837500 [1],P4 Ground 511500_867000_1242500_1837500 [2],P4 Ground 511500_867000_1242500_1837500 [3],P4 Ground 867000_1837500 [1],P4 Ground 664950_1127100_1615250_2388750 [1],P4 Fleet 1800000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Revanchist,852762117,48926022,11704470,13142875,10667793,13410884,5,6,4,6,58,16,17,14,11,3,4,4,4,1,3,4,4,4,1,1,3,4,4,3,0,3,4,0,1,2,1,37,2,2,27,6,0,0,0,0,0
Robbie Brady,349451219,45745696,8871479,15027490,10056946,11789781,4,6,4,5,54,12,18,11,13,4,4,0,4,0,3,3,4,4,3,1,1,3,3,4,0,2,2,4,2,3,0,11,7,4,0,0,0,0,0,0,0
Sanctify,641955312,19282493,2962038,11841064,4479391,0,2,4,3,0,26,8,9,9,0,4,4,0,0,0,1,4,0,0,4,0,2,3,0,4,0,0,0,0,0,0,0,10,6,4,0,0,0,0,0,0,0
Zhil Axfow,826592934,43458105,10923204,11514110,8685745,12335046,5,6,3,5,41,11,10,10,10,3,3,0,4,1,1,3,4,0,1,1,2,4,4,0,0,3,4,0,1,2,0,15,2,4,7,2,0,0,0,0,0
Jables,996614779,51836277,12534766,15089993,10890115,13321403,5,6,5,5,66,16,20,13,17,3,4,4,4,1,4,4,4,4,3,1,2,3,4,4,0,3,4,4,2,4,0,12,4,1,6,1,3,0,2,1,0
Promethean,245711569,51641415,11906389,13941089,12566513,13227424,5,6,4,5,64,17,19,14,14,4,4,4,4,1,2,4,4,4,4,1,2,4,4,4,0,3,3,4,1,3,0,7,6,0,0,1,0,0,0,0,0
TWill88,494485598,46433234,10673884,13981817,11575852,10201681,5,6,4,5,51,11,18,10,12,2,4,0,4,1,3,4,4,4,2,1,2,4,0,4,0,2,2,3,1,4,0,2,1,0,1,0,0,0,0,0,0
Jed1Mast3rDallas,484789943,40443647,8144903,13674879,8138577,10485288,4,6,4,5,55,14,19,10,12,3,3,4,4,0,4,4,4,4,2,1,3,3,0,4,0,1,2,4,2,3,0,5,4,0,1,0,0,0,0,0,0
Guntha Arbos,248271439,39416141,7431679,11102398,8395840,12486224,5,6,4,6,24,0,9,7,8,0,0,0,0,0,4,4,0,0,0,1,1,2,0,4,0,2,3,0,0,2,1,9,4,0,3,2,1,0,0,1,0
Tommyboy85,929389526,55126600,10884173,14132582,12394848,17714997,5,6,4,6,60,10,17,16,17,4,4,0,1,1,3,3,4,4,2,1,4,4,4,4,0,3,4,4,2,3,1,70,13,23,30,4,0,0,0,0,0
