name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Obi Won Sebroni,247341668,1590506,2355230,6165754,2,7,0,6165754,3961854,4,0,TRUE,TRUE,0,25676,FALSE,FALSE,0,0,0,,,,,
Gryphix,997239157,2784990,4002546,10194897,2,11,0,10194897,6792897,4,0,TRUE,TRUE,0,60053,FALSE,FALSE,0,0,0,4,4,,3,
Wolfman314,144353549,2689283,3634047,4544640,6,5,0,4544640,2865740,2,0,TRUE,FALSE,154974,32647,FALSE,FALSE,3457590,0,0,,,,,
Zhil Axfow,826592934,2810079,3526984,8542744,3,6,0,8542744,6347944,5,0,TRUE,TRUE,45142,32926,TRUE,TRUE,0,0,0,2,2,0,1,1
Revanche Gilder,926679294,2504599,3331155,10390784,26,14,0,10390784,5845384,5,0,TRUE,TRUE,322090,304496,TRUE,TRUE,0,0,0,3,3,3,4,1
Exeel,184344456,2731825,3730777,10294040,2,12,1,10294040,6482540,5,1,TRUE,TRUE,83062,32299,TRUE,TRUE,0,0,0,4,4,0,4,0
Agave,148199846,2577874,3431303,9492649,27,10,1,9492649,6053749,5,1,TRUE,TRUE,399280,263443,TRUE,TRUE,0,0,0,2,3,0,4,1
Loadage,268951863,2555621,3388867,10714813,11,15,0,10714813,5948913,5,0,TRUE,TRUE,205389,126061,TRUE,TRUE,0,0,0,3,4,4,3,1
ilekkund,214848174,3130261,4257666,12469099,10,16,0,12469099,7388199,5,0,TRUE,TRUE,328103,27227,TRUE,TRUE,0,0,0,4,4,4,3,1
Theflavorgreen,416984533,2020087,3263022,6386589,3,3,0,6386589,5289189,3,0,TRUE,TRUE,0,55784,FALSE,FALSE,0,0,0,,,,,
ilekkund2,148163689,2278990,2774465,8184588,13,9,0,8184588,5053788,5,0,TRUE,TRUE,196394,66049,TRUE,TRUE,0,0,0,1,3,3,1,1
MINI xipokemastrix,242144976,1811592,2510607,6419052,8,6,0,6419052,4337152,4,0,TRUE,TRUE,102361,71612,FALSE,FALSE,0,0,0,,,,,
Flywire,515621617,2271954,3281748,9507238,22,16,1,9507238,4331838,5,0,TRUE,FALSE,444280,256213,TRUE,TRUE,1221864,0,0,3,4,4,4,1
TacoPizza,797491243,2121437,3178838,7489675,1,6,0,7489675,5300275,3,0,TRUE,TRUE,72436,0,FALSE,TRUE,0,0,0,2,,,3,1
Maxaron Lexilon,591283737,2891935,3726727,7983412,6,4,0,7983412,6619512,4,0,TRUE,TRUE,204399,34584,FALSE,FALSE,0,0,0,,,,,
Neeb,648797678,2374304,3469977,7524618,1,6,0,7524618,5844618,5,0,TRUE,TRUE,0,19408,TRUE,TRUE,0,0,0,3,3,0,0,0
Sultan2309,938542548,1720368,2906121,6621490,14,7,0,6621490,4626490,5,0,TRUE,TRUE,72055,230438,TRUE,TRUE,0,0,0,3,4,0,0,0
PadawanTano,584733846,1301677,1754553,6417671,12,10,0,6417671,3059871,4,0,TRUE,TRUE,143441,126332,FALSE,TRUE,0,0,0,4,4,,1,1
Doomslug the Destroyer,549766237,1871654,2500314,6109772,6,6,0,6109772,4381272,4,0,TRUE,TRUE,27615,68094,FALSE,FALSE,0,0,0,2,4,,,
Larping Soccer Moms,962753997,1498441,1983806,5325197,3,5,0,5325197,3482247,4,0,TRUE,TRUE,88415,20949,FALSE,TRUE,0,0,0,2,,,2,1
JustinAlexander11,283842274,2237327,3571536,9155480,9,11,1,9155480,5809980,5,1,TRUE,TRUE,36541,140698,TRUE,TRUE,0,0,0,2,3,3,3,0
Elros Halfelven,592184954,2630513,3651467,11019384,25,15,0,11019384,6284934,5,0,TRUE,TRUE,277472,364931,TRUE,TRUE,0,0,0,4,4,4,2,1
Philo Beddoe,753225541,2550426,3371318,8267365,8,7,0,8267365,5925865,3,0,TRUE,TRUE,189000,49817,FALSE,FALSE,0,0,0,3,,,4,
BabyYodaHitta,629856937,1205244,1779967,2415316,9,3,0,2415316,1575316,3,0,TRUE,FALSE,123804,97019,FALSE,FALSE,1409895,0,0,3,,,,
s o l o,334171458,3238351,4708867,13438731,12,17,1,13438731,7948331,5,1,TRUE,TRUE,172825,175901,TRUE,TRUE,0,0,0,4,4,4,4,1
Higgs,265535499,2351046,3236407,7526160,2,6,0,7526160,5588760,5,0,TRUE,TRUE,0,39781,TRUE,TRUE,0,0,0,0,0,0,0,0
ShootMeow,118543169,2725695,3808540,9537395,2,8,0,9537395,6535495,5,0,TRUE,TRUE,59645,11835,TRUE,TRUE,0,0,0,1,2,0,4,1
Calens,499477827,2517665,3721046,10052166,1,12,0,10052166,6240666,5,0,TRUE,TRUE,0,13119,TRUE,TRUE,0,0,0,4,4,0,4,0
ONE,873729113,2615101,3764757,8045948,1,5,0,8045948,6380448,4,0,TRUE,TRUE,75278,0,FALSE,FALSE,0,0,0,2,,,3,
Promethean,245711569,2366935,3251935,10742979,0,16,0,10742979,5662079,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,3,1
Guntha Arbos,248271439,2592893,3731264,7824557,6,4,0,7824557,6324157,4,0,TRUE,TRUE,322893,23434,FALSE,FALSE,0,0,0,,,,,
The Wall,947443938,2057252,3142693,6702307,0,4,0,6702307,5200807,2,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,4,
AKB,461667365,2440549,3545950,10329449,2,14,0,10329449,5992949,5,0,TRUE,TRUE,0,49135,TRUE,TRUE,0,0,0,3,3,4,4,0
Baxston Kane,473373554,2779697,3880599,9490557,2,9,0,9490557,6656657,3,0,TRUE,TRUE,0,35914,FALSE,FALSE,0,0,0,,,,,
Komitadji Halfelven,231363518,2776137,3828791,9569191,3,9,0,9569191,6647291,5,0,TRUE,TRUE,0,85841,TRUE,TRUE,0,0,0,0,0,0,0,0
Argarax,545871634,2174612,3372253,9011319,2,11,0,9011319,5552769,5,0,TRUE,TRUE,0,53223,TRUE,TRUE,0,0,0,1,4,4,2,0
