name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Obi Won Sebroni,247341668,1471120,2230915,16617233,44,16,1,5228316,3779566,3,0,TRUE,TRUE,0,277394,FALSE,FALSE,0,0,0,1,3,,,,
Doomslug the Destroyer,549766237,1837038,2398288,17213036,7,14,0,5976813,4258063,3,1,TRUE,TRUE,0,25578,FALSE,FALSE,0,0,0,2,3,,,,
Zhil Axfow,826592934,2778494,3486141,18782956,9,8,0,4782396,3333646,5,0,TRUE,FALSE,0,12474,FALSE,FALSE,2930989,0,0,1,3,,,,
JustinAlexander11,283842274,2184460,3447223,28927716,8,34,1,10737196,5649271,6,1,TRUE,TRUE,0,47562,TRUE,TRUE,0,0,0,3,4,4,0,3,0
Revanche Gilder,926679294,2430392,3199746,28713361,36,32,1,10293030,5714105,5,1,TRUE,TRUE,0,215602,TRUE,FALSE,0,0,0,1,1,3,4,3,
Tommyboy85,929389526,2704755,3604240,37025544,29,52,0,13624981,6326881,5,1,TRUE,TRUE,0,53769,TRUE,FALSE,0,0,0,4,4,4,4,4,
Philo Beddoe,753225541,2546519,3284678,19074802,14,13,0,5014198,3295448,2,0,TRUE,FALSE,0,68761,FALSE,FALSE,2535749,0,0,2,3,,,,
ilekkund,214848174,3071870,4209072,37654511,42,45,0,12896227,7374302,5,1,TRUE,TRUE,0,274683,TRUE,FALSE,0,0,0,1,3,4,4,3,
ilekkund2,148163689,2127735,2669652,25871114,29,31,0,9170481,4848781,5,1,TRUE,TRUE,0,155357,FALSE,FALSE,0,0,0,3,3,4,,2,
Argarax,545871634,2029943,3183194,26719569,8,30,0,8932739,5263539,3,1,TRUE,TRUE,0,38131,FALSE,FALSE,0,0,0,4,4,,,2,
MINI Stewabob,552522334,1447034,2061001,18305720,6,19,0,6761938,3523088,3,1,TRUE,TRUE,0,40118,FALSE,FALSE,0,0,0,1,3,,,4,
MINI xipokemastrix,242144976,1737983,2457443,17890222,26,14,0,5599715,4222715,3,1,TRUE,TRUE,0,184365,FALSE,FALSE,0,0,0,4,,,,,
TacoPizza,797491243,2097554,3110593,18520842,4,15,0,5141716,3112216,2,0,TRUE,FALSE,0,5536,FALSE,FALSE,2095931,0,0,3,3,,,,
ShootMeow,118543169,2691320,3703428,28714378,32,26,0,9185213,6417288,5,1,TRUE,TRUE,0,37499,FALSE,FALSE,0,0,0,1,3,,,3,
Heywood Jablowme,677183999,2840480,4163295,33552789,30,37,0,13073598,7012648,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,2,0
PadawanTano,584733846,1177255,1678718,17370164,5,23,0,7401710,2857610,3,1,TRUE,TRUE,0,25785,FALSE,FALSE,0,0,0,4,4,,,4,
Plucky Haydon,924737972,2476151,3567003,15830038,13,21,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3567003,2476151,0,,,,,,
BabyYodaHitta,629856937,1189506,1752883,12240274,7,11,0,4333300,2956300,1,0,TRUE,TRUE,0,44091,FALSE,FALSE,0,0,0,4,,,,,
Baxston Kane,473373554,2732391,3837442,30499681,10,29,0,10729177,6594977,6,1,TRUE,TRUE,0,57312,TRUE,TRUE,0,0,0,1,2,2,4,2,0
GANIC,357417789,1917758,2904783,25987620,2,28,0,10126922,4920422,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,3,3,4,,,1
Neeb,648797678,2354526,3421213,21995925,7,21,0,6373071,3428371,5,0,TRUE,FALSE,0,53838,FALSE,FALSE,2347368,0,0,3,3,,,2,
Elros Halfelven,592184954,2600667,3611144,25934019,18,38,0,6366941,3612941,2,0,TRUE,FALSE,0,203681,FALSE,FALSE,2598870,0,0,4,4,,,,
Exeel,184344456,2672441,3656575,36294732,1,49,1,13639708,6341608,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,4,0
wamakima5004,556569861,2549908,3513675,22745460,15,26,0,6271294,3517294,2,0,TRUE,FALSE,0,83153,FALSE,FALSE,2546289,0,0,4,4,,,,
Loadage,268951863,2494648,3296537,32092020,16,41,0,12199664,5844564,5,1,TRUE,TRUE,0,87655,TRUE,FALSE,0,0,0,1,4,4,4,4,
Higgs,265535499,2282451,3204268,20599484,2,12,1,7531160,5501660,4,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,3,,,,
Ben8cv,331225772,2652277,3547232,21470240,11,16,0,6293986,3567786,3,0,TRUE,FALSE,0,0,FALSE,FALSE,2631723,0,0,1,4,,,2,
joker,976597667,2008613,3082950,17521351,8,14,0,6551208,5102458,2,1,TRUE,TRUE,0,69160,FALSE,FALSE,0,0,0,1,3,,,,
Gryphix,997239157,2743718,3964626,32395045,2,36,0,9850799,6720624,4,1,TRUE,TRUE,0,27733,FALSE,FALSE,0,0,0,1,4,,,3,
AKB,461667365,2413457,3508735,32530840,4,42,0,11984759,5923809,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,2,0
SloppySaberFlavor,671337993,2430055,3428615,27091189,1,37,0,8577649,3069649,5,1,TRUE,FALSE,0,0,FALSE,FALSE,2789021,0,0,4,4,4,4,,
ONE,873729113,2553687,3715865,24688806,3,16,0,9576757,6269807,5,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,3,4,,,2,
Theflavorgreen,416984533,1991818,3189460,21377239,3,17,0,7622206,5199456,4,0,TRUE,TRUE,0,28297,FALSE,FALSE,0,0,0,2,2,3,,,
Promethean,245711569,2250505,3125945,24007651,1,21,0,8103101,5376901,3,0,TRUE,TRUE,0,9055,FALSE,FALSE,0,0,0,1,4,,,2,
EvilCoyote2011,997394645,2338166,3592023,11818871,5,7,2,80680,80680,0,0,FALSE,FALSE,0,80680,FALSE,FALSE,3511343,2257486,80680,,,,,,
Masajj Vemtits,596537312,2487730,3420985,21824310,4,20,0,5232405,3421405,2,0,TRUE,FALSE,0,25918,FALSE,FALSE,2487310,0,0,1,4,,,,
Calens,499477827,2392969,3651561,23344505,8,33,1,3671938,364988,3,0,FALSE,FALSE,0,78282,FALSE,FALSE,3286573,2027981,364988,3,4,,,2,
Wolfman314,144353549,2673471,3590907,20723616,4,13,0,5607292,2911117,2,0,TRUE,FALSE,0,76322,FALSE,FALSE,3353261,0,0,4,,,,3,
Agave,148199846,2528528,3375567,29862769,13,28,0,13102017,5914067,6,1,TRUE,TRUE,0,25863,TRUE,TRUE,0,0,0,2,3,4,4,2,1
Flywire,515621617,2261638,3241675,25261337,13,24,1,7317855,5506855,2,1,TRUE,TRUE,0,214094,FALSE,FALSE,0,0,0,1,4,,,,
Dark Penguin,894569678,1834215,2428820,16333298,2,18,0,4534762,2143012,2,1,TRUE,FALSE,0,45043,FALSE,FALSE,2120023,0,0,3,4,,,,
Guntha Arbos,248271439,2562869,3699337,24760551,0,17,0,7709620,6277420,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,1,,,1,
OttoVonGens,994659641,2796878,4208474,35327526,11,51,0,13638313,7013213,5,1,TRUE,TRUE,0,197191,TRUE,FALSE,0,0,0,2,4,4,4,4,
Zlada14,825875376,2566424,3485733,18208806,0,15,0,5207618,3488868,2,0,TRUE,FALSE,0,0,FALSE,FALSE,2563289,0,0,2,3,,,,
Maxaron Lexilon,591283737,2796461,3646015,17198733,1,14,1,4237537,2918362,2,1,TRUE,FALSE,0,0,FALSE,FALSE,3524114,0,0,,,,,3,
The Wall,947443938,2008734,3077928,15098773,0,16,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3077928,2008734,0,,,,,,
s o l o,334171458,3214774,4616587,42888803,22,52,0,16489556,7862381,6,0,TRUE,TRUE,0,237842,TRUE,TRUE,0,0,0,4,4,4,4,3,1
Chaunce,492994246,2764120,3742819,27086347,0,29,0,6499012,3745012,2,0,TRUE,FALSE,0,0,FALSE,FALSE,2761927,0,0,4,4,,,,
M1TTH,124849497,1977156,2521908,11871578,0,6,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,2521908,1977156,0,,,,,,
Bail Writte,541295264,3248033,4920443,20890250,4,4,0,3386254,3386254,0,1,TRUE,FALSE,0,132397,FALSE,FALSE,4782222,0,0,,,,,,
