name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Obi Won Sebroni,247341668,1471120,2230915,22201267,44,21,1,5584034,3793784,3,1,TRUE,TRUE,0,136731,FALSE,FALSE,0,0,0,3,,,2,
Doomslug the Destroyer,549766237,1837038,2398288,21931633,7,15,0,4718597,4284597,1,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,,,,
Zhil Axfow,826592934,2778494,3486141,22714146,9,9,0,3931190,3497190,3,1,FALSE,TRUE,0,6237,FALSE,FALSE,0,2767445,0,1,,,,
JustinAlexander11,283842274,2184460,3447223,33496109,8,37,1,4568393,3463393,1,1,FALSE,TRUE,0,32308,FALSE,FALSE,0,2168290,0,,,,3,
Revanche Gilder,926679294,2430392,3199746,38034129,36,41,1,9320768,5719668,4,1,TRUE,TRUE,0,192532,FALSE,FALSE,0,0,0,1,4,4,,
Tommyboy85,929389526,2704755,3604240,51336186,29,69,0,14310642,6339042,5,1,TRUE,TRUE,0,53769,TRUE,TRUE,0,0,0,4,4,4,4,1
Philo Beddoe,753225541,2546519,3284678,22373244,14,13,0,3298442,3298442,0,1,FALSE,TRUE,0,26618,FALSE,FALSE,0,2532755,0,,,,,
ilekkund,214848174,3071870,4209072,51969893,42,59,0,14315382,7286782,5,1,TRUE,TRUE,0,138049,TRUE,TRUE,0,0,0,1,4,4,4,1
ilekkund2,148163689,2127735,2669652,36715708,29,43,3,10844594,4862744,4,1,TRUE,TRUE,0,85116,FALSE,TRUE,0,0,0,3,4,4,,1
Argarax,545871634,2029943,3183194,33628977,8,34,0,6909408,5281908,2,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,4,
MINI Stewabob,552522334,1447034,2061001,24409087,6,22,0,6103367,3527867,2,1,TRUE,TRUE,0,20059,FALSE,TRUE,0,0,0,,,,2,1
MINI xipokemastrix,242144976,1737983,2457443,24946590,26,18,0,7056368,4241618,3,1,TRUE,TRUE,0,129349,FALSE,TRUE,0,0,0,3,,,,1
TacoPizza,797491243,2097554,3110593,23261653,4,19,0,4740811,3113311,1,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2094836,0,,,,4,
ShootMeow,118543169,2691320,3703428,39660334,32,34,0,10945956,6419756,4,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,4,2,,1
Heywood Jablowme,677183999,2840480,4163295,46286316,30,48,0,12733527,7013827,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,0,2,4,1
PadawanTano,584733846,1177255,1678718,23011900,5,26,0,5641736,2926536,3,1,TRUE,TRUE,0,25785,FALSE,TRUE,0,0,0,,,2,,1
Plucky Haydon,924737972,2476151,3567003,25206470,13,36,0,9376432,3567082,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2476072,0,3,4,4,4,
BabyYodaHitta,629856937,1189506,1752883,15200224,7,11,0,2959950,2959950,1,1,TRUE,TRUE,0,32535,FALSE,FALSE,0,0,0,,,,,
Baxston Kane,473373554,2732391,3837442,41349455,10,36,0,10849774,6592599,4,1,TRUE,TRUE,0,28656,FALSE,TRUE,0,0,0,1,2,3,,1
GANIC,357417789,1917758,2904783,35474026,2,37,0,9486406,4932406,3,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,,,1
Neeb,648797678,2354526,3421213,30076602,7,27,0,8080677,5788477,4,1,TRUE,TRUE,0,39978,FALSE,FALSE,0,0,0,4,,2,,
Elros Halfelven,592184954,2600667,3611144,34573751,18,51,0,8639732,3612057,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2599754,0,2,4,3,4,
Exeel,184344456,2672441,3656575,44265676,1,53,1,7970944,6343444,2,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,,,,4,
wamakima5004,556569861,2549908,3513675,29344248,15,32,0,6598788,3008538,3,1,TRUE,FALSE,0,0,FALSE,TRUE,3055045,0,0,3,,,2,1
Loadage,268951863,2494648,3296537,43409493,16,52,0,11317473,5848273,4,1,TRUE,TRUE,0,75193,FALSE,TRUE,0,0,0,4,4,2,,1
Higgs,265535499,2282451,3204268,26545273,2,13,1,5945789,5511789,3,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,,,,
Ben8cv,331225772,2652277,3547232,26670796,11,20,0,5200556,3573056,1,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2626453,0,,,,4,
joker,976597667,2008613,3082950,24275476,8,18,0,6754125,5134925,3,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,2,,2,,
Gryphix,997239157,2743718,3964626,44393192,2,46,0,11998147,6726472,5,1,TRUE,TRUE,0,27733,TRUE,TRUE,0,0,0,4,0,3,2,1
AKB,461667365,2413457,3508735,45962808,4,58,0,13431968,5931293,5,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,3,4,1
SloppySaberFlavor,671337993,2430055,3428615,32155318,1,41,0,5064129,3436629,1,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2422041,0,,,,4,
ONE,873729113,2553687,3715865,28919525,3,16,0,4230719,4230719,2,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2038833,0,,,,,
Theflavorgreen,416984533,1991818,3189460,27282366,3,19,0,5905127,5201127,2,1,TRUE,TRUE,0,28297,FALSE,FALSE,0,0,0,2,,,,
Promethean,245711569,2250505,3125945,34587740,1,31,0,10580089,5379914,4,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,4,3,,1
EvilCoyote2011,997394645,2338166,3592023,19110288,5,10,2,7291417,5942217,4,1,TRUE,TRUE,0,80680,FALSE,FALSE,0,0,0,1,,2,,
Masajj Vemtits,596537312,2487730,3420985,26361638,4,23,0,4537328,3432328,1,1,FALSE,TRUE,0,25918,FALSE,FALSE,0,2476387,0,,,,3,
Calens,499477827,2392969,3651561,30963522,8,43,1,7619017,3657592,4,1,FALSE,TRUE,0,0,FALSE,FALSE,0,2386938,0,3,,3,4,
Wolfman314,144353549,2673471,3590907,27892975,4,20,0,7169359,3035434,3,1,TRUE,FALSE,0,28732,FALSE,TRUE,3228944,0,0,3,,3,,1
Agave,148199846,2528528,3375567,41389010,13,39,0,11526241,5925066,4,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,4,,3,3,1
