name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Doomslug the Destroyer,549766237,1725387,2309468,5431125,4,4,0,5431125,4067225,5,0,TRUE,TRUE,27615,45673,TRUE,TRUE,0,0,0,0,0,0,0,0
Larping Soccer Moms,962753997,1471558,1905189,5581297,7,6,0,5581297,3378497,4,0,TRUE,TRUE,0,129287,FALSE,TRUE,0,0,0,4,,,1,1
Zhil Axfow,826592934,2751350,3456292,7184420,5,3,0,7184420,6207920,5,0,TRUE,TRUE,45142,48044,TRUE,TRUE,0,0,0,1,2,0,0,0
Elros Halfelven,592184954,2600194,3590257,9793351,2,11,0,9793351,6190451,5,0,TRUE,TRUE,54397,9805,TRUE,TRUE,0,0,0,2,2,3,3,1
Plucky Haydon,924737972,2476433,3488765,9951598,14,11,0,9951598,5965198,5,0,TRUE,TRUE,0,203450,TRUE,TRUE,0,0,0,1,1,4,4,1
Philo Beddoe,753225541,2520911,3222066,7416568,1,5,0,7416568,5745668,4,0,TRUE,TRUE,50194,0,FALSE,FALSE,0,0,0,,,,,
Loadage,268951863,2433938,3119372,9521209,10,12,0,9521209,5595309,5,0,TRUE,TRUE,255881,101883,TRUE,TRUE,0,0,0,4,4,0,3,1
BabyYodaHitta,629856937,1161123,1686711,3421334,7,2,0,3421334,2847834,2,0,TRUE,TRUE,50889,71731,FALSE,FALSE,0,0,0,2,,,,
s o l o,334171458,3160168,4523157,13176059,13,17,0,13176059,7685659,5,0,TRUE,TRUE,478688,119969,TRUE,TRUE,0,0,0,4,4,4,4,1
MINI xipokemastrix,242144976,1689438,2425718,5683371,15,5,0,5683371,4125371,3,0,TRUE,TRUE,376535,120903,FALSE,FALSE,0,0,0,1,4,,,
TacoPizza,797491243,2040739,3062690,7877365,3,8,0,7877365,5106465,3,0,TRUE,TRUE,72436,27005,FALSE,TRUE,0,0,0,4,,,3,1
GANIC,357417789,1868163,2855966,7784383,8,9,0,7784383,4724883,5,0,TRUE,TRUE,95711,90744,TRUE,TRUE,0,0,0,1,4,0,4,0
Ben8cv,331225772,2637321,3501961,9147336,12,8,0,9147336,6145436,4,0,TRUE,TRUE,254106,155408,FALSE,TRUE,0,0,0,1,2,,4,1
Heywood Jablowme,677183999,2776890,4083197,12039060,30,16,0,12039060,6863660,5,0,TRUE,TRUE,583549,341379,TRUE,TRUE,0,0,0,3,4,4,4,1
Obi Won Sebroni,247341668,1329600,2126424,3909080,15,1,1,3909080,3506080,5,0,TRUE,TRUE,140350,141268,TRUE,TRUE,0,0,0,1,0,0,0,0
Masajj Vemtits,596537312,2460302,3397770,8213738,3,7,0,8213738,5872238,3,0,TRUE,TRUE,0,42223,FALSE,FALSE,0,0,0,3,,,4,
