AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
118543169,ShootMeow,Shootmeow#3818,3.64037E+17,3937175,2787085,238,30,43,62,147,1,0,0,11,13,23,3,9,3,0,302,410,141,36,8,1,3.17,3.4,6.57
124849497,M1TTH,!M1TTH#8698,2.25969E+17,2662491,2049046,176,16,28,32,82,0,2,3,3,0,14,3,5,2,0,127,167,50,26,5,0,1.81,2.62,4.43
144353549,Wolfman314,Wolfman314#6474,3.8312E+17,3684437,2704136,222,20,50,51,117,0,0,1,6,8,18,4,13,1,0,185,379,139,42,8,0,3.38,3.21,6.59
148163689,ilekkund2,ilekkund#8475,3.22359E+17,2915688,2348749,210,10,16,56,102,1,0,0,18,5,16,2,11,4,0,174,333,124,42,12,0,3.94,3.49,7.43
148199846,Agave,Agave#6806,3.93395E+17,3672188,2694810,230,13,25,64,122,1,1,3,14,3,18,5,14,4,0,213,448,182,58,10,1,4.44,3.39,7.84
184344456,Exeel,Exel#7395,2.71667E+17,3857300,2887696,231,7,27,95,138,0,0,0,22,9,32,5,19,8,0,257,426,152,51,7,4,3.53,4.69,8.22
188434999,JamesBond007,JamesBond#3273,6.6964E+17,3321440,2496204,195,24,26,65,110,1,0,1,16,12,23,3,9,1,0,149,240,75,18,4,1,1.99,3.72,5.71
193116527,BraZ,Braz#5972,5.66421E+17,3255615,2241597,172,9,18,63,113,0,0,3,16,2,19,2,18,3,0,132,136,46,20,4,1,1.33,3.79,5.12
214848174,ilekkund,ilekkund#8475,3.22359E+17,4451740,3136614,258,23,43,94,163,1,0,0,23,4,34,5,20,8,0,208,485,193,66,13,3,3.94,4.35,8.29
242144976,MINI xipokemastrix,xIPokemastrIx#2005,3.47774E+17,2618536,1848791,174,14,19,40,92,1,3,2,7,1,13,3,9,2,0,178,362,142,32,4,1,4.67,3.09,7.77
245711569,Promethean,Promethean#3008,3.24684E+17,3375391,2382007,224,23,33,55,106,0,0,0,12,7,20,4,10,2,0,217,462,164,49,16,2,4.46,3.44,7.9
247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,7.295E+17,2456946,1713498,166,12,14,29,51,1,0,0,2,0,20,0,6,1,0,112,168,50,10,2,0,1.76,2.48,4.24
248271439,Guntha Arbos,guntha arbos#0996,5.96387E+17,3812017,2612355,217,18,40,74,145,0,12,2,21,7,13,4,13,2,0,210,276,110,46,8,2,2.68,3.88,6.55
265535499,Higgs,Higgs#0298,3.5195E+17,3331829,2372360,196,16,45,53,111,0,0,7,23,13,5,3,2,0,0,105,276,96,17,1,0,2.43,3.32,5.75
268951863,Loadage,Loadage#1450,2.42793E+17,3630971,2723952,227,15,13,65,110,2,1,0,18,8,18,0,13,6,0,143,368,127,50,17,2,3.35,3.26,6.62
416984533,Theflavorgreen,theflavorgreen#9250,3.67649E+17,3498034,2147629,195,20,34,39,89,1,0,1,7,2,7,4,15,2,1,133,222,72,10,2,1,1.74,2.78,4.52
461667365,AKB,akb#7955,3.22799E+17,3680885,2495133,226,27,32,64,133,1,0,1,13,2,29,5,11,3,0,167,258,104,22,2,2,2.41,3.65,6.07
473373554,Baxston Kane,Baxston Kane#5600,5.04379E+17,3964262,2893273,241,14,45,57,141,0,6,1,14,2,8,2,22,2,0,145,309,80,23,4,1,1.79,3.14,4.93
492994246,Chaunce,Chaunce#1601,3.27048E+17,3865529,2824843,248,18,30,74,144,1,0,0,15,9,23,6,17,2,0,261,399,126,30,4,2,2.82,3.76,6.59
499477827,Calens,Calens#9082,5.66925E+17,3841776,2553040,226,21,24,64,129,0,3,3,11,14,19,3,11,0,0,181,311,105,27,3,2,2.37,3.28,5.65
