Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,23-Jan-22,22-Jan-22,21-Jan-22,20-Jan-22,19-Jan-22,18-Jan-22,17-Jan-22
MINI xipokemastrix,242144976,600,380912,596,600,600,600,600,600,600,600
Higgs,265535499,440,275814,580,372,600,600,600,600,318,600
AKB,461667365,600,255888,559,600,600,600,600,600,600,600
Baxston Kane,473373554,364,274582,592,600,600,600,600,600,600,600
ONE,873729113,600,279480,598,600,600,600,600,600,600,600
Neeb,648797678,600,263832,584,600,600,600,600,600,600,600
Dark Penguin,894569678,600,273166,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,600,273754,594,600,600,600,600,600,600,600
Promethean,245711569,600,274036,589,600,600,600,600,600,600,600
Wolfman314,144353549,600,252436,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,600,232280,587,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,243970,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,228074,597,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,225498,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,596,221726,598,600,600,600,600,600,600,600
Calens,499477827,32,219686,595,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,538,197374,565,600,600,600,600,600,600,600
Zhil Axfow,826592934,600,213570,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,492,193610,593,600,600,600,600,600,600,600
ilekkund2,148163689,440,191348,582,600,600,600,600,600,600,600
M1TTH,124849497,600,156662,574,600,600,600,600,600,600,520
Loadage,268951863,600,160800,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,148822,592,600,600,600,600,600,600,600
Theflavorgreen,416984533,600,136598,596,600,600,600,600,600,600,600
ShootMeow,118543169,600,131294,594,600,600,600,600,600,600,600
OttoVonGens,994659641,600,109670,592,600,600,600,600,600,600,600
Chaunce,492994246,600,107976,583,600,600,600,600,600,600,600
wamakima5004,556569861,600,103768,560,600,600,600,600,600,600,600
Gryphix,997239157,600,107830,585,600,600,600,600,600,600,600
ilekkund,214848174,600,106616,579,600,600,600,600,600,600,600
Agave,148199846,600,105030,571,600,600,600,600,600,600,600
Zlada14,825875376,0,99572,548,600,600,600,600,116,600,600
EvilCoyote2011,997394645,600,81904,573,600,600,600,600,600,600,600
joker,976597667,600,74466,519,156,600,600,600,0,600,600
Tommyboy85,929389526,600,70200,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,600,65032,559,600,600,600,600,600,600,336
Revanche Gilder,926679294,600,69584,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,276,60108,588,600,352,600,600,600,600,600
Flywire,515621617,600,60368,592,600,600,600,600,600,600,600
Argarax,545871634,600,60498,586,600,600,600,600,600,600,600
Sultan2309,938542548,600,48882,596,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,40696,598,600,600,600,600,600,600,600
JamesBond007,188434999,600,34554,595,600,600,600,600,600,600,600
Tel Nadda,427553566,402,33846,586,600,600,600,600,600,600,600
Wil043,635417488,600,33548,589,600,600,600,600,600,600,600
Elros Halfelven,592184954,0,28650,585,600,600,600,596,600,600,600
Stargun inoza,992275427,600,13740,597,600,600,600,600,600,600,600
MINI Zeratoark,552854579,600,7800,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,0,1490,496,290,600,600,-,-,-,-
DarthJarJar,0,600,1800,400,600,0,600,-,-,-,-
