Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,21-Feb-22,20-Feb-22,19-Feb-22,18-Feb-22,17-Feb-22,16-Feb-22,15-Feb-22
MINI xipokemastrix,242144976,600,398312,597,600,600,600,600,600,600,600
Higgs,265535499,278,292916,581,600,600,600,600,600,600,600
AKB,461667365,600,271324,556,600,600,600,600,600,600,600
Baxston Kane,473373554,600,291826,591,600,600,600,600,600,600,600
ONE,873729113,600,296880,599,600,600,600,600,600,600,600
Dark Penguin,894569678,600,290566,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,404,290286,592,600,600,258,600,600,456,600
Promethean,245711569,600,291436,590,600,600,600,600,600,600,600
Wolfman314,144353549,318,269410,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,600,248620,584,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,261370,597,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,245194,596,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,242898,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,239130,598,600,600,600,600,600,600,600
Calens,499477827,232,235670,589,600,600,600,600,544,240,600
SloppySaberFlavor,671337993,256,214492,568,600,600,600,600,600,600,600
Zhil Axfow,826592934,600,230970,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,211108,594,600,600,600,600,600,600,600
ilekkund2,148163689,600,208736,584,600,600,600,600,600,600,600
M1TTH,124849497,600,173452,575,600,600,600,600,600,600,600
Loadage,268951863,600,178200,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,165138,589,600,446,600,600,600,600,600
Theflavorgreen,416984533,600,153866,596,600,600,600,600,600,600,600
ShootMeow,118543169,600,148678,594,600,600,600,600,600,600,600
OttoVonGens,994659641,600,127070,593,600,600,600,600,600,600,600
Chaunce,492994246,600,124732,582,600,600,600,0,600,600,600
wamakima5004,556569861,600,120638,562,600,600,600,600,528,600,600
Gryphix,997239157,600,125230,587,600,600,600,600,600,600,600
ilekkund,214848174,328,123744,581,600,600,600,600,600,600,600
Agave,148199846,272,121914,574,600,600,600,482,600,600,600
Zlada14,825875376,600,117572,555,600,600,600,600,600,600,600
EvilCoyote2011,997394645,600,99200,577,600,600,600,600,600,600,600
joker,976597667,600,88578,513,496,600,600,80,600,600,600
Tommyboy85,929389526,600,87600,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,600,81250,559,600,600,0,600,600,600,600
Revanche Gilder,926679294,600,86984,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,70,77302,589,600,600,600,600,600,600,600
Flywire,515621617,444,77452,591,600,600,468,336,600,600,600
Argarax,545871634,260,77538,588,600,600,580,600,600,600,600
Sultan2309,938542548,300,65586,592,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,58096,598,600,600,600,600,600,600,600
Tel Nadda,427553566,236,50526,584,600,600,600,600,600,600,464
Wil043,635417488,600,50948,592,600,600,600,600,600,600,600
denkrob,592184954,600,46594,586,600,600,600,600,600,600,600
Stargun inoza,992275427,600,31140,598,600,600,600,600,600,600,600
MINI Zeratoark,552854579,280,24880,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,0,17114,534,600,600,600,600,600,600,600
KaStarkiller,222784581,552,16152,600,600,600,600,600,600,600,600
Nom,884121445,600,16200,600,600,600,600,600,600,600,600
TWill88,494485598,200,3800,600,600,600,600,600,600,600,-
