Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,4-Jan-22,3-Jan-22,2-Jan-22,1-Jan-22,31-Dec-21,30-Dec-21,29-Dec-21
MINI xipokemastrix,242144976,520,369432,596,600,600,600,600,600,560,600
Higgs,265535499,400,265114,581,356,600,600,600,600,546,600
AKB,461667365,600,244548,556,600,600,600,600,600,600,600
Baxston Kane,473373554,600,263424,591,600,600,600,600,600,600,600
ONE,873729113,600,268080,598,600,600,600,600,600,600,600
Neeb,648797678,468,252300,582,600,600,600,600,600,600,556
Dark Penguin,894569678,200,261370,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,492,262246,593,600,600,600,600,600,600,600
Promethean,245711569,600,262636,588,600,600,600,600,600,600,600
Wolfman314,144353549,570,241006,591,600,600,600,600,600,600,600
BabyYodaHitta,629856937,564,221226,587,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,232570,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,372,216694,598,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,214098,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,210330,598,600,600,600,600,600,600,600
Calens,499477827,600,208854,594,336,600,600,600,600,544,600
SloppySaberFlavor,671337993,574,186010,562,600,600,600,424,600,600,600
Zhil Axfow,826592934,600,202170,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,182318,593,600,600,600,600,600,600,600
ilekkund2,148163689,476,180416,583,600,600,600,600,600,600,600
M1TTH,124849497,430,146522,579,600,600,600,600,600,600,600
Loadage,268951863,600,149400,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,137422,592,600,600,600,600,600,0,524
Theflavorgreen,416984533,600,125198,596,600,600,600,600,600,600,600
ShootMeow,118543169,600,119894,593,600,600,600,600,600,600,600
OttoVonGens,994659641,600,98270,591,600,600,600,600,600,600,600
Chaunce,492994246,600,96576,581,600,600,600,600,600,600,600
wamakima5004,556569861,600,92380,556,600,600,600,600,600,600,600
Exeel,184344456,520,98996,596,600,600,600,600,600,600,600
Gryphix,997239157,336,96462,585,600,600,600,600,600,384,600
ilekkund,214848174,334,95230,578,600,600,600,600,600,600,600
Agave,148199846,600,93630,567,600,600,600,600,504,600,600
Zlada14,825875376,0,89284,549,600,600,600,600,600,600,600
EvilCoyote2011,997394645,600,70504,569,600,600,600,600,600,600,600
joker,976597667,600,65606,527,500,600,600,548,600,600,600
Tommyboy85,929389526,600,58800,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,464,54320,560,600,600,600,288,600,600,600
Revanche Gilder,926679294,600,58184,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,180,48860,588,600,600,600,600,600,600,600
Flywire,515621617,312,48876,592,600,600,600,600,600,600,600
Argarax,545871634,600,49098,585,600,600,600,600,600,600,600
Sultan2309,938542548,600,37482,594,600,600,600,600,600,600,600
MarkKenoburger,513125742,600,29296,597,600,600,600,600,600,600,600
JamesBond007,188434999,600,23194,594,600,600,600,600,600,600,600
Tel Nadda,427553566,562,22606,579,600,600,600,600,600,600,600
BraZ,193116527,524,19112,508,0,600,600,600,600,600,192
Wil043,635417488,600,22148,583,600,600,600,600,600,600,600
Elros Halfelven,592184954,0,17270,583,600,600,600,600,600,600,600
drkknight13,0,360,6520,440,456,474,534,352,458,576,284
Stargun inoza,992275427,600,2400,600,600,600,600,-,-,-,-
