Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,11-Jan-22,10-Jan-22,9-Jan-22,8-Jan-22,7-Jan-22,6-Jan-22,5-Jan-22
MINI xipokemastrix,242144976,416,373528,596,600,600,600,600,600,600,600
Higgs,265535499,486,269170,581,600,600,600,600,600,370,600
AKB,461667365,600,248688,557,540,600,600,600,600,600,600
Baxston Kane,473373554,600,267624,592,600,600,600,600,600,600,600
ONE,873729113,600,272280,598,600,600,600,600,600,600,600
Neeb,648797678,472,256504,583,600,600,600,600,600,600,600
Dark Penguin,894569678,596,265966,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,600,266554,594,600,600,600,600,600,600,600
Promethean,245711569,600,266836,589,600,600,600,600,600,600,600
Wolfman314,144353549,600,245236,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,600,225080,586,600,600,600,566,252,600,600
Obi Won Sebroni,247341668,600,236770,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,220874,597,600,600,580,600,600,600,372
Guntha Arbos,248271439,600,218298,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,214530,598,600,600,600,600,600,600,600
Calens,499477827,600,213054,594,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,600,190236,563,600,600,600,600,600,600,600
Zhil Axfow,826592934,600,206370,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,186518,593,600,600,600,600,600,600,600
ilekkund2,148163689,360,184316,582,600,600,600,600,416,600,600
M1TTH,124849497,600,150066,576,600,488,600,420,600,236,430
Loadage,268951863,600,153600,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,141622,592,600,600,600,600,600,600,600
Theflavorgreen,416984533,600,129398,596,600,600,600,600,600,600,600
ShootMeow,118543169,600,124094,593,600,600,600,600,600,600,600
OttoVonGens,994659641,600,102470,592,600,600,600,600,600,600,600
Chaunce,492994246,600,100776,582,600,600,600,600,600,600,600
wamakima5004,556569861,600,96580,557,600,600,600,600,600,600,600
Exeel,184344456,444,103120,596,600,600,600,600,600,600,600
Gryphix,997239157,600,100652,584,326,600,600,600,600,600,600
ilekkund,214848174,386,99202,577,600,600,600,600,320,600,600
Agave,148199846,600,97830,569,600,600,600,600,600,600,600
Zlada14,825875376,600,93456,548,0,600,600,572,600,600,600
EvilCoyote2011,997394645,600,74704,571,600,600,600,600,600,600,600
joker,976597667,600,69196,526,600,600,600,0,590,600,600
Tommyboy85,929389526,600,63000,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,600,58096,557,600,600,600,176,600,600,464
Revanche Gilder,926679294,600,62384,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,240,53120,588,600,600,600,600,600,600,600
Flywire,515621617,600,53168,591,600,404,600,600,600,600,600
Argarax,545871634,600,53298,586,600,600,600,600,600,600,600
Sultan2309,938542548,600,41682,595,600,600,600,600,600,600,600
MarkKenoburger,513125742,360,33256,598,600,600,600,600,600,600,600
JamesBond007,188434999,600,27354,594,600,600,600,560,600,600,600
Tel Nadda,427553566,600,26844,582,600,600,600,600,600,600,600
Wil043,635417488,600,26348,586,600,600,600,600,600,600,600
Elros Halfelven,592184954,600,22054,583,600,584,600,600,600,600,600
Stargun inoza,992275427,600,6600,600,600,600,600,600,600,600,600
Komitadji Halfelven,231363518,600,4200,600,600,600,600,600,600,600,-
MINI Zeratoark,552854579,0,0,0,-,-,-,-,-,-,-
