Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,2-Feb-22,1-Feb-22,31-Jan-22,30-Jan-22,29-Jan-22,28-Jan-22,27-Jan-22
MINI xipokemastrix,242144976,0,386312,596,600,600,600,600,600,600,600
Higgs,265535499,0,281364,581,600,600,600,600,600,600,600
AKB,461667365,0,260944,559,600,600,260,596,600,600,600
Baxston Kane,473373554,0,279982,591,600,600,600,600,600,600,600
ONE,873729113,0,284880,599,600,600,600,600,600,600,600
Neeb,648797678,0,269232,584,600,600,600,600,600,600,600
Dark Penguin,894569678,0,278566,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,0,279054,594,600,600,600,600,600,600,600
Promethean,245711569,0,279436,590,600,600,600,600,600,600,600
Wolfman314,144353549,0,257692,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,0,237680,587,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,0,249370,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,0,233474,597,600,600,600,600,600,600,600
Guntha Arbos,248271439,0,230898,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,227130,598,600,600,600,600,600,600,600
Calens,499477827,0,225054,593,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,0,202836,566,600,600,600,600,600,600,600
Zhil Axfow,826592934,0,218970,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,0,199108,593,600,600,600,600,600,600,600
ilekkund2,148163689,0,196908,583,600,600,600,600,600,600,600
M1TTH,124849497,0,161452,573,600,590,600,0,600,600,600
Loadage,268951863,0,166200,600,600,600,600,600,600,600,600
TacoPizza,797491243,0,154032,592,600,600,600,460,600,550,600
Theflavorgreen,416984533,0,141998,596,600,600,600,600,600,600,600
ShootMeow,118543169,0,136694,594,600,600,600,600,600,600,600
OttoVonGens,994659641,0,115070,593,600,600,600,600,600,600,600
Chaunce,492994246,0,113332,584,600,600,600,600,600,556,600
wamakima5004,556569861,0,109136,562,600,600,600,600,600,600,600
Gryphix,997239157,0,113230,585,600,600,600,600,600,600,600
ilekkund,214848174,0,112016,580,600,600,600,600,600,600,600
Agave,148199846,80,110510,572,600,600,600,600,600,600,600
Zlada14,825875376,0,105572,551,600,600,600,600,600,600,600
EvilCoyote2011,997394645,0,87234,575,600,600,530,600,600,600,600
joker,976597667,0,78066,512,0,600,0,600,600,600,0
Tommyboy85,929389526,110,75710,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,0,70180,561,600,600,600,600,600,600,348
Revanche Gilder,926679294,0,74984,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,0,65832,588,600,600,600,600,600,600,600
Flywire,515621617,0,65768,592,600,600,600,600,600,600,600
Argarax,545871634,0,65898,587,600,600,600,600,600,600,600
Sultan2309,938542548,0,53956,592,600,600,496,504,600,474,600
MarkKenoburger,513125742,0,46096,598,600,600,600,600,600,600,600
Tel Nadda,427553566,0,39370,587,600,600,600,600,600,600,526
Wil043,635417488,0,38948,590,600,600,600,600,600,600,600
Elros Halfelven,592184954,0,34594,585,600,600,600,544,600,600,600
Stargun inoza,992275427,0,19140,598,600,600,600,600,600,600,600
MINI Zeratoark,552854579,0,13200,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,0,6890,530,600,600,600,600,600,600,600
KaStarkiller,222784581,0,4200,600,600,600,600,600,600,600,600
Nom,884121445,0,4200,600,600,600,600,600,600,600,600
