Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,7-Feb-22,6-Feb-22,5-Feb-22,4-Feb-22,3-Feb-22,2-Feb-22,1-Feb-22
MINI xipokemastrix,242144976,0,389312,596,600,600,600,600,600,600,600
Higgs,265535499,0,284364,581,600,600,600,600,600,600,600
AKB,461667365,100,263272,557,184,244,600,600,600,600,600
Baxston Kane,473373554,32,282858,591,600,600,600,444,600,600,600
ONE,873729113,600,288480,599,600,600,600,600,600,600,600
Dark Penguin,894569678,0,281566,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,112,282166,594,600,600,600,600,600,600,600
Promethean,245711569,100,282536,590,600,600,600,600,600,600,600
Wolfman314,144353549,120,260812,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,0,240150,586,600,600,70,600,600,600,600
Obi Won Sebroni,247341668,60,252430,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,0,236474,597,600,600,600,600,600,600,600
Guntha Arbos,248271439,172,234070,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,230130,598,600,600,600,600,600,600,600
Calens,499477827,0,227454,590,600,600,600,0,600,600,600
SloppySaberFlavor,671337993,80,205916,567,600,600,600,600,600,600,600
Zhil Axfow,826592934,80,222050,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,0,202108,594,600,600,600,600,600,600,600
ilekkund2,148163689,0,199908,583,600,600,600,600,600,600,600
M1TTH,124849497,0,164452,574,600,600,600,600,600,600,590
Loadage,268951863,0,169200,600,600,600,600,600,600,600,600
TacoPizza,797491243,110,156928,591,386,600,600,600,600,600,600
Theflavorgreen,416984533,0,144998,596,600,600,600,600,600,600,600
ShootMeow,118543169,170,139864,594,600,600,600,600,600,600,600
OttoVonGens,994659641,124,118194,593,600,600,600,600,600,600,600
Chaunce,492994246,0,116332,584,600,600,600,600,600,600,600
wamakima5004,556569861,0,111990,562,600,600,600,600,454,600,600
Gryphix,997239157,218,116448,586,600,600,600,600,600,600,600
ilekkund,214848174,0,115016,580,600,600,600,600,600,600,600
Agave,148199846,0,113430,573,600,600,600,600,600,600,600
Zlada14,825875376,112,108684,552,600,600,600,600,600,600,600
EvilCoyote2011,997394645,0,90234,576,600,600,600,600,600,600,600
joker,976597667,120,81186,515,600,600,600,600,600,0,600
Tommyboy85,929389526,370,78970,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,0,73180,562,600,600,600,600,600,600,600
Revanche Gilder,926679294,180,78164,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,600,69432,589,600,600,600,600,600,600,600
Flywire,515621617,0,68740,592,600,572,600,600,600,600,600
Argarax,545871634,160,69058,587,600,600,600,600,600,600,600
Sultan2309,938542548,96,56982,591,600,600,600,600,530,600,600
MarkKenoburger,513125742,328,49424,598,600,600,600,600,600,600,600
Tel Nadda,427553566,304,42674,588,600,600,600,600,600,600,600
Wil043,635417488,86,42034,591,600,600,600,600,600,600,600
denkrob,592184954,60,37654,585,600,600,600,600,600,600,600
Stargun inoza,992275427,0,22140,598,600,600,600,600,600,600,600
MINI Zeratoark,552854579,0,16200,600,600,600,600,600,600,600,600
Bitz Maidenhell,589218854,600,9430,496,0,140,600,600,600,600,600
KaStarkiller,222784581,0,7200,600,600,600,600,600,600,600,600
Nom,884121445,204,7404,600,600,600,600,600,600,600,600
Komitadji,231363518,0,1800,600,600,600,600,-,-,-,-
