Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,12-Jul-21,11-Jul-21,10-Jul-21,9-Jul-21,8-Jul-21,7-Jul-21,6-Jul-21
MINI xipokemastrix,242144976,100,263862,593,600,600,600,600,600,600,600
Tommy,225191489,0,191482,437,600,600,528,112,600,600,276
Vsarr,789134798,0,198326,518,600,600,600,600,600,600,600
HiddenWolf,869432175,0,160330,513,600,600,600,600,600,600,600
Nydot,992622296,0,240760,600,600,600,600,600,600,600,600
Wolfman,998737698,228,220960,599,600,600,600,600,600,600,600
Kypomm,631928359,100,160394,491,600,600,600,580,600,596,600
Quinton Samulson,334914382,80,162672,431,496,600,560,600,336,436,252
Indeedus,636721338,180,178954,558,600,600,600,598,540,600,600
Higgs,265535499,70,161330,563,600,600,600,570,600,600,600
AKB,461667365,0,145838,555,600,400,600,600,600,600,600
Baxston Kane,473373554,576,159052,589,600,600,600,600,600,600,600
ONE,873729113,600,162738,600,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,0,152374,578,600,600,600,600,600,600,600
DorkHelmet,987949222,600,147388,569,600,600,600,600,600,600,600
Neeb,648797678,136,148926,575,600,600,448,600,600,600,600
Dark Penguin,894569678,0,155586,600,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,400,157870,595,600,600,600,600,600,600,600
LGuy 21,261187434,100,158002,599,600,600,600,600,600,600,600
Promethean,245711569,110,156934,560,600,600,564,600,600,600,600
Wolfman314,144353549,228,136666,595,600,600,600,600,600,600,600
BabyYodaHitta,629856937,514,117718,577,600,600,600,600,572,600,600
Obi Won Sebroni,247341668,130,126924,592,600,600,600,600,600,600,600
Seamonster34,569479871,0,133006,598,600,600,600,600,600,600,600
Argarax,545871634,0,111556,551,600,232,600,600,600,600,600
MINI Stewabob,552522334,0,111046,599,600,600,600,600,600,600,600
Guntha Arbos,248271439,126,108862,600,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,104330,596,600,600,600,600,600,600,600
MINICalens,499477827,0,103176,588,600,600,600,600,600,600,600
Corran Horn,159984528,0,70302,436,600,600,600,600,196,426,442
SloppySaberFlavor,671337993,0,86602,565,600,600,600,600,600,600,600
Zhil Axfow,826592934,496,96466,599,600,600,600,600,600,600,600
Elyana,967665728,0,82402,593,600,600,600,600,600,600,600
Masajj Vemtits,596537312,144,77206,588,600,600,600,600,600,488,600
ilekkund2,148163689,0,77074,580,600,600,600,600,600,600,600
ExcellentNutAlt,439645938,0,63316,593,600,600,600,600,600,600,600
M1TTH,124849497,0,44092,578,600,600,600,600,600,600,600
T swizzle,335186653,48,42664,526,600,468,408,600,600,600,600
Diesel87,626734493,370,39000,457,424,600,600,512,268,600,324
Loadage,268951863,60,43260,600,600,600,600,600,600,600,600
starshaker,343886585,0,28332,515,600,600,600,0,600,600,372
TacoPizza,797491243,0,32846,597,600,600,600,600,600,600,600
Spectrum,411242948,564,28804,588,576,600,600,600,600,600,600
Doomslug the Destroyer,549766237,0,22178,583,600,600,600,600,600,600,600
GANIC,357417789,456,22736,586,600,600,600,600,600,600,600
Theflavorgreen,416984533,486,19608,579,600,600,600,600,600,600,600
ShootMeow,118543169,60,14174,564,600,600,600,600,600,600,600
The Wall,947443938,86,12128,573,600,600,600,600,568,600,482
Thegreatplant,416181267,120,1438,439,580,510,228,-,-,-,-
liljj,767894625,100,1380,426,600,600,80,-,-,-,-
