Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,2-Aug-21,1-Aug-21,31-Jul-21,30-Jul-21,29-Jul-21,28-Jul-21,27-Jul-21
MINI xipokemastrix,242144976,0,276362,595,600,600,600,600,600,600,600
Kypomm,631928359,40,172836,520,600,600,600,550,600,600,600
Higgs,265535499,0,173856,573,596,600,600,600,600,600,600
AKB,461667365,170,158008,560,600,600,600,600,600,600,600
Baxston Kane,473373554,0,170724,587,600,600,600,600,600,600,600
ONE,873729113,0,174738,600,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,0,164974,584,600,600,600,600,600,600,600
Neeb,648797678,0,161270,580,600,600,600,600,600,570,600
Dark Penguin,894569678,0,168186,600,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,0,170070,596,600,600,600,600,600,600,600
LGuy 21,261187434,0,170502,599,600,600,600,600,600,600,600
Promethean,245711569,0,169424,571,600,600,600,600,600,600,600
Wolfman314,144353549,0,149038,596,600,600,600,600,600,600,600
BabyYodaHitta,629856937,0,129804,583,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,0,139394,594,600,600,600,600,600,600,600
Argarax,545871634,0,124156,564,600,600,600,600,600,600,600
MINI Stewabob,552522334,0,123646,599,600,600,600,600,600,600,600
Guntha Arbos,248271439,0,121052,596,600,600,600,316,600,600,600
Philo Beddoe,753225541,0,116834,596,600,600,600,600,600,504,600
MINICalens,499477827,0,115776,591,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,368,99008,567,562,600,600,600,600,600,600
Zhil Axfow,826592934,0,108570,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,0,89662,591,600,600,600,600,600,600,600
ilekkund2,148163689,0,89096,577,600,600,174,600,600,600,600
M1TTH,124849497,0,56092,576,600,600,600,600,600,600,600
Loadage,268951863,142,55942,600,600,600,600,600,600,600,600
TacoPizza,797491243,100,45476,597,600,600,600,600,600,600,600
Doomslug the Destroyer,549766237,0,34778,589,600,600,600,600,600,600,600
GANIC,357417789,0,34844,590,564,600,600,600,600,600,600
Theflavorgreen,416984533,0,31722,587,600,600,600,600,600,600,600
ShootMeow,118543169,0,26302,571,600,600,600,600,600,600,600
The Wall,947443938,0,24638,586,600,600,600,600,600,600,600
OttoVonGens,994659641,0,5528,552,600,600,600,600,600,600,600
Chaunce,492994246,0,5980,598,600,600,600,600,580,600,600
wamakima5004,556569861,0,5396,539,600,600,600,600,600,600,600
MINI BigFish,131768275,0,5808,580,600,600,600,600,600,600,600
Heywood Jablowme,677183999,0,5590,578,600,600,600,600,600,600,600
s o l o,334171458,0,5400,540,600,600,600,600,600,600,600
Exeel,184344456,0,5716,571,600,600,600,600,600,600,600
Flywire,515621617,0,6000,600,600,600,600,600,600,600,600
Gryphix,997239157,0,5400,584,600,600,600,600,600,600,600
ilekkund,214848174,0,4734,526,600,0,538,600,596,600,600
Agave,148199846,0,4788,532,600,600,580,320,288,600,600
Elros Halfelven,592184954,0,5400,600,600,600,600,600,600,600,600
Hirano,193884837,0,4816,535,600,274,600,342,600,600,600
Elladan Halfelven,231363518,0,5400,600,600,600,600,600,600,600,600
Zlada14,825875376,0,5308,589,600,508,600,600,600,600,600
MINI UK PedroMontenegro,273676688,0,1200,600,600,600,-,-,-,-,-
