Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,3-Oct-21,2-Oct-21,1-Oct-21,30-Sep-21,29-Sep-21,28-Sep-21,27-Sep-21
MINI xipokemastrix,242144976,240,313580,595,600,600,600,600,600,556,504
Higgs,265535499,192,210124,577,600,600,600,448,600,598,600
AKB,461667365,80,194462,573,600,600,600,600,600,600,600
Baxston Kane,473373554,600,208338,591,600,600,600,600,600,600,600
ONE,873729113,600,212518,599,600,600,600,600,600,600,600
Neeb,648797678,276,198344,586,600,600,600,600,600,600,600
Dark Penguin,894569678,600,205986,600,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,600,207010,592,600,600,600,600,600,600,600
Promethean,245711569,600,207224,584,600,600,600,600,600,600,600
Wolfman314,144353549,240,185718,592,594,322,600,600,600,578,600
BabyYodaHitta,629856937,374,165564,582,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,600,176998,595,600,600,600,600,600,600,600
Argarax,545871634,600,161956,580,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,161446,599,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,158348,594,600,600,600,600,600,600,600
Philo Beddoe,753225541,280,154314,598,600,600,600,600,600,600,600
Calens,499477827,600,153544,594,600,600,600,584,600,600,600
SloppySaberFlavor,671337993,310,134404,569,600,486,600,600,600,600,600
Zhil Axfow,826592934,600,146370,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,136,126858,594,600,600,600,600,600,600,600
ilekkund2,148163689,410,125302,577,600,600,372,600,600,600,600
M1TTH,124849497,600,92692,578,600,600,600,600,600,600,600
Loadage,268951863,600,93600,600,600,600,600,600,600,600,600
TacoPizza,797491243,394,82592,595,600,600,600,600,600,600,600
Doomslug the Destroyer,549766237,526,72474,594,600,600,600,600,600,600,600
GANIC,357417789,376,72378,595,600,600,600,600,600,600,600
Theflavorgreen,416984533,600,69428,593,600,600,600,600,600,600,600
ShootMeow,118543169,600,64098,587,600,600,600,600,600,600,600
The Wall,947443938,288,61652,589,600,600,600,600,600,224,600
OttoVonGens,994659641,600,42728,584,600,600,600,600,600,600,600
Chaunce,492994246,600,41706,570,488,600,600,600,600,592,600
wamakima5004,556569861,600,38536,526,600,600,320,600,268,516,600
Heywood Jablowme,677183999,600,40798,564,600,600,600,600,600,600,600
s o l o,334171458,600,43200,591,600,600,600,600,600,600,600
Exeel,184344456,432,43240,594,600,600,600,600,600,600,600
Flywire,515621617,600,43190,591,600,600,600,600,600,150,596
Gryphix,997239157,596,41264,570,600,600,600,600,600,240,600
ilekkund,214848174,324,40352,563,600,600,100,600,600,600,600
Agave,148199846,532,38022,529,600,600,600,600,600,600,600
Elros Halfelven,592184954,252,42852,600,600,600,600,600,600,600,600
Zlada14,825875376,600,38432,537,600,600,600,600,600,600,600
Ben8cv,331225772,500,32448,559,180,600,600,600,600,600,600
Plucky Haydon,924737972,600,28408,566,600,600,600,600,0,600,600
PadawanTano,584733846,600,27470,597,600,600,600,600,600,600,600
EvilCoyote2011,997394645,254,16702,554,600,466,600,600,600,600,470
joker,976597667,560,17176,552,600,0,600,600,600,516,600
Tommyboy85,0,600,3000,600,600,600,600,600,-,-,-
JustinAlexander11,0,600,2202,534,600,600,402,-,-,-,-
Revanche Gilder,0,600,2400,600,600,600,600,-,-,-,-
