Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,18-Oct-21,17-Oct-21,16-Oct-21,15-Oct-21,14-Oct-21,13-Oct-21,12-Oct-21
MINI xipokemastrix,242144976,0,322340,596,600,600,600,600,600,600,600
Higgs,265535499,0,218932,579,600,600,600,600,600,600,600
AKB,461667365,0,202282,568,600,264,600,600,600,600,600
Baxston Kane,473373554,368,217106,592,600,600,600,600,600,600,600
ONE,873729113,600,221518,599,600,600,600,600,600,600,600
Neeb,648797678,0,206768,585,600,600,600,600,600,600,600
Dark Penguin,894569678,0,214386,600,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,0,215374,592,600,600,600,600,600,600,600
Promethean,245711569,0,215624,585,600,600,600,600,600,600,600
Wolfman314,144353549,0,194288,592,600,600,600,600,600,600,600
BabyYodaHitta,629856937,0,174190,583,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,102,185500,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,0,169846,599,600,600,600,600,600,600,600
Guntha Arbos,248271439,0,166748,594,600,600,600,600,600,600,600
Philo Beddoe,753225541,0,163034,598,600,600,600,600,600,600,600
Calens,499477827,0,161884,595,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,0,142198,566,600,600,600,600,600,280,600
Zhil Axfow,826592934,0,154770,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,100,135454,592,600,600,600,600,600,600,600
ilekkund2,148163689,0,133528,577,600,600,600,448,600,600,600
M1TTH,124849497,0,101092,580,600,600,600,600,600,600,600
Loadage,268951863,0,102000,600,600,600,600,600,600,600,600
TacoPizza,797491243,110,91308,596,600,600,600,600,600,600,600
Doomslug the Destroyer,549766237,380,81328,595,600,600,600,600,600,600,600
GANIC,357417789,80,81082,595,600,600,600,600,600,600,600
Theflavorgreen,416984533,0,77828,594,600,600,600,600,600,600,600
ShootMeow,118543169,0,72498,589,600,600,600,600,600,600,600
The Wall,947443938,0,69190,581,144,600,600,600,520,600,598
OttoVonGens,994659641,0,51128,587,600,600,600,600,600,600,600
Chaunce,492994246,0,50106,575,600,600,600,600,600,600,600
wamakima5004,556569861,0,45632,524,600,600,600,356,600,600,140
Heywood Jablowme,677183999,0,48404,562,406,0,600,600,600,600,600
s o l o,334171458,70,51670,593,600,600,600,600,600,600,600
Exeel,184344456,0,51748,594,600,600,540,600,600,600,600
Gryphix,997239157,0,49668,575,600,600,600,600,600,600,600
ilekkund,214848174,0,48464,563,600,600,600,344,600,600,600
Agave,148199846,0,46450,541,600,600,560,600,600,600,600
Elros Halfelven,592184954,0,51600,600,600,600,600,600,600,600,600
Zlada14,825875376,0,46764,547,600,600,600,600,600,600,600
Ben8cv,331225772,0,40848,566,600,600,600,600,600,600,600
Plucky Haydon,924737972,0,34408,536,0,0,600,600,0,600,600
PadawanTano,584733846,80,35950,597,600,600,600,600,600,600,600
EvilCoyote2011,997394645,0,25102,562,600,600,600,600,600,600,600
joker,976597667,0,25576,567,600,600,600,600,600,600,600
Tommyboy85,929389526,474,11874,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,0,10040,557,600,600,600,354,600,480,600
Revanche Gilder,926679294,170,10970,600,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,0,3000,590,600,600,600,600,600,-,-
Flywire,515621617,0,2196,590,506,600,574,516,600,600,600
Argarax,545871634,0,2400,582,600,600,600,600,600,600,600
