Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,5-Dec-21,4-Dec-21,3-Dec-21,2-Dec-21,1-Dec-21,30-Nov-21,29-Nov-21
MINI xipokemastrix,242144976,600,351652,596,600,600,600,600,600,600,600
Higgs,265535499,426,247552,581,600,526,600,600,600,600,600
AKB,461667365,130,227460,557,600,600,600,600,600,600,600
Baxston Kane,473373554,600,245502,591,600,600,600,600,600,600,600
ONE,873729113,600,250084,598,600,600,600,600,600,600,600
Neeb,648797678,456,234622,582,600,564,436,600,600,600,388
Dark Penguin,894569678,600,243770,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,486,244550,593,600,584,600,600,600,532,600
Promethean,245711569,558,244968,589,600,600,600,600,600,600,600
Wolfman314,144353549,254,222900,591,600,600,600,600,600,600,600
BabyYodaHitta,629856937,376,203180,586,600,600,600,600,600,600,600
Obi Won Sebroni,247341668,502,214472,595,600,600,600,600,600,600,482
MINI Stewabob,552522334,600,198922,598,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,196098,595,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,192350,598,600,600,600,600,600,600,600
Calens,499477827,296,190870,595,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,600,168852,560,600,600,600,464,600,600,600
Zhil Axfow,826592934,600,184170,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,164340,592,600,600,600,600,600,600,600
ilekkund2,148163689,422,162362,580,600,600,600,600,600,600,600
M1TTH,124849497,600,129592,580,600,600,600,600,600,600,600
Loadage,268951863,600,131400,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,120098,594,600,600,600,600,600,600,600
Theflavorgreen,416984533,600,107198,595,600,600,600,600,600,600,600
ShootMeow,118543169,600,101894,592,600,600,600,600,600,600,600
OttoVonGens,994659641,600,80456,591,600,600,600,600,600,600,600
Chaunce,492994246,600,78688,578,596,600,600,600,600,600,600
wamakima5004,556569861,600,74700,548,600,600,600,600,600,600,600
Heywood Jablowme,677183999,600,75310,558,600,110,600,600,600,600,600
Exeel,184344456,536,81084,596,600,600,600,600,600,600,600
Gryphix,997239157,584,78926,583,600,600,540,600,600,600,600
ilekkund,214848174,450,77346,573,600,600,600,600,600,600,600
Agave,148199846,600,75726,561,600,600,600,600,600,600,600
Zlada14,825875376,152,72994,545,600,600,222,600,600,600,600
Plucky Haydon,924737972,600,58928,520,600,600,600,600,0,600,208
EvilCoyote2011,997394645,596,52584,561,600,596,600,600,600,322,600
joker,976597667,260,49458,528,600,356,600,384,600,600,600
Tommyboy85,929389526,600,40800,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,600,37838,564,600,600,600,600,600,600,600
Revanche Gilder,926679294,600,40200,600,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,180,30860,586,600,600,600,600,600,600,600
Flywire,515621617,600,31204,591,600,600,600,600,600,600,600
Argarax,545871634,160,30988,584,600,600,600,600,228,600,600
Sultan2309,938542548,586,19474,590,600,600,600,600,600,600,600
MarkKenoburger,513125742,440,11136,594,600,600,600,600,600,600,600
JamesBond007,188434999,192,4804,576,600,600,600,600,600,600,600
Tel Nadda,427553566,418,4538,515,600,600,600,520,600,600,600
BraZ,193116527,510,4326,545,402,460,554,600,600,600,600
Wil043,635417488,600,4200,514,600,600,600,600,600,600,0
xIPokemastrIx,182573417,600,1800,600,600,600,-,-,-,-,-
