Name,AllyCode,currentTickets,lifetimeTickets,averageTickets,19-Dec-21,18-Dec-21,17-Dec-21,16-Dec-21,15-Dec-21,14-Dec-21,13-Dec-21
MINI xipokemastrix,242144976,460,359912,596,600,600,600,600,600,600,600
Higgs,265535499,600,256056,582,600,600,600,530,600,600,600
AKB,461667365,600,234948,553,0,600,600,600,600,600,288
Baxston Kane,473373554,600,253824,591,600,600,600,600,600,600,522
ONE,873729113,600,258484,598,600,600,600,600,600,600,600
Neeb,648797678,560,242934,582,600,600,452,600,600,600,600
Dark Penguin,894569678,600,252170,599,600,600,600,600,600,600,600
Maxaron Lexilon,591283737,600,252786,593,600,600,600,600,600,600,600
Promethean,245711569,448,253036,588,600,600,600,600,600,600,568
Wolfman314,144353549,600,231586,591,600,600,600,600,600,600,600
BabyYodaHitta,629856937,600,211662,587,600,600,600,600,600,488,600
Obi Won Sebroni,247341668,600,222970,596,600,600,600,600,600,600,600
MINI Stewabob,552522334,600,207322,598,600,600,600,600,600,600,600
Guntha Arbos,248271439,600,204498,596,600,600,600,600,600,600,600
Philo Beddoe,753225541,600,200730,598,600,600,600,600,600,600,600
Calens,499477827,600,199574,595,600,600,600,600,600,600,600
SloppySaberFlavor,671337993,600,177016,561,600,600,600,600,600,600,600
Zhil Axfow,826592934,600,192570,599,600,600,600,600,600,600,600
Masajj Vemtits,596537312,600,172718,592,600,578,600,600,600,600,600
ilekkund2,148163689,600,170940,582,600,600,600,600,600,600,600
M1TTH,124849497,460,137092,578,600,600,512,600,600,600,600
Loadage,268951863,600,139800,600,600,600,600,600,600,600,600
TacoPizza,797491243,600,128498,594,600,600,600,600,600,600,600
Theflavorgreen,416984533,600,115598,595,600,600,600,600,600,600,600
ShootMeow,118543169,600,110294,592,600,600,600,600,600,600,600
OttoVonGens,994659641,600,88856,592,600,600,600,600,600,600,600
Chaunce,492994246,600,86988,579,600,600,600,600,500,600,600
wamakima5004,556569861,600,82800,551,600,600,600,600,600,600,600
Exeel,184344456,600,89516,596,568,600,600,600,600,600,600
Gryphix,997239157,600,87342,584,600,600,600,600,600,600,600
ilekkund,214848174,600,85896,576,600,600,600,600,600,600,600
Agave,148199846,600,84126,565,600,600,600,600,600,600,600
Zlada14,825875376,476,80314,545,600,600,460,600,600,600,600
EvilCoyote2011,997394645,600,60904,565,600,600,600,600,600,600,564
joker,976597667,600,57358,529,600,600,600,600,240,600,600
Tommyboy85,929389526,600,49200,600,600,600,600,600,600,600,600
JustinAlexander11,283842274,600,45798,564,600,570,600,506,600,600,424
Revanche Gilder,926679294,600,48584,599,600,600,600,600,600,600,600
Larping Soccer Moms,962753997,600,39680,587,600,600,600,600,600,600,600
Flywire,515621617,512,39476,591,600,600,600,600,600,600,600
Argarax,545871634,600,39622,585,600,600,600,600,600,600,600
Sultan2309,938542548,600,27882,592,600,600,594,600,600,600,600
MarkKenoburger,513125742,600,19696,596,600,600,600,600,600,600,600
JamesBond007,188434999,600,13594,590,600,600,600,600,600,600,600
Tel Nadda,427553566,600,13044,564,600,600,600,600,600,534,600
BraZ,193116527,360,11368,536,140,600,600,586,600,600,600
Wil043,635417488,600,12548,570,600,600,600,600,600,600,600
Elros Halfelven,592184954,600,8400,582,600,600,600,600,600,600,600
