CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66326E+12,vs. HeIIskitchen,stars,852762117,Revanchist,Revanchist#9559,630
1.66326E+12,vs. HeIIskitchen,stars,349451219,Robbie Brady,Robbie Brady#7103,318
1.66326E+12,vs. HeIIskitchen,stars,283842274,JustinAlexander11,JustinAlexander11#1023,551
1.66326E+12,vs. HeIIskitchen,stars,245711569,Promethean,Promethean#3008,457
1.66326E+12,vs. HeIIskitchen,stars,996614779,Jables,Jables#9173,428
1.66326E+12,vs. HeIIskitchen,stars,569523671,Seeya,Seeya#2985,311
1.66326E+12,vs. HeIIskitchen,stars,615713739,Ky Zeth,Ky Zeth#6539,625
1.66326E+12,vs. HeIIskitchen,stars,436483225,Dr N00b,ThÉ‘É³É‘thÑ³s#6579,649
1.66326E+12,vs. HeIIskitchen,stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,431
1.66326E+12,vs. HeIIskitchen,stars,946916445,ExcellentNut,ExcellentNut#0656,506
1.66326E+12,vs. HeIIskitchen,stars,114649229,Ã¬N Paca,â¦Pacaâ©#8479,686
1.66326E+12,vs. HeIIskitchen,stars,929389526,Tommyboy85,tommyboy#3739,614
1.66326E+12,vs. HeIIskitchen,stars,556569861,wamakima5004,wamakima5004#0097,164
1.66326E+12,vs. HeIIskitchen,stars,753225541,Philo Beddoe,Handleman20#4805,378
1.66326E+12,vs. HeIIskitchen,stars,268951863,Loadage,Loadage#1450,578
1.66326E+12,vs. HeIIskitchen,stars,214848174,ilekkund,ilekkund#8475,433
1.66326E+12,vs. HeIIskitchen,stars,148163689,ilekkund2,ilekkund#8475,348
1.66326E+12,vs. HeIIskitchen,stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,353
1.66326E+12,vs. HeIIskitchen,stars,619572297,Raion Ren,raion_ren#6463,612
1.66326E+12,vs. HeIIskitchen,stars,515621617,Flywire,Flywire#0662,318
1.66326E+12,vs. HeIIskitchen,stars,435886464,Z Xm,Z_Xm#5894,387
1.66326E+12,vs. HeIIskitchen,stars,732694944,Savage1bat,â¦savage1batâ©#7887,816
1.66326E+12,vs. HeIIskitchen,stars,354754647,BladeBR,Edem#5643,653
1.66326E+12,vs. HeIIskitchen,stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,507
1.66326E+12,vs. HeIIskitchen,stars,843553429,Shotwell,Shotwell#0501,522
1.66326E+12,vs. HeIIskitchen,stars,997239157,Gryphix,Gryphix#1116,356
1.66326E+12,vs. HeIIskitchen,stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,363
1.66326E+12,vs. HeIIskitchen,stars,634487631,JacenCaedus,Sala#2238,382
1.66326E+12,vs. HeIIskitchen,stars,691769393,Hulkster,Hulkster#4141,428
1.66326E+12,vs. HeIIskitchen,stars,825875376,Zlada14,zlada14#0537,271
1.66326E+12,vs. HeIIskitchen,stars,932489599,MINI Azryl,Azryl#1591,471
1.66326E+12,vs. HeIIskitchen,stars,513125742,MarkKenoburger,kenoburger#9903,446
1.66326E+12,vs. HeIIskitchen,stars,884121445,Nom,Nom Polustra#4120,425
1.66326E+12,vs. HeIIskitchen,stars,716417922,TinyBubbles,TinyBubbles31#0228,296
1.66326E+12,vs. HeIIskitchen,stars,994659641,OttoVonGens,OttoVonGens#2822,447
1.66326E+12,vs. HeIIskitchen,stars,933247321,Epsil0n Actual,RandyCliptic#9400,555
