CurrentRoundEndTime,Instance,MapStatId,AllyCode,Name,DiscordTag,Score
1.66811E+12,vs. |ΗΑ| MandaIore,stars,852762117,Revanchist,Revanchist#9559,338
1.66811E+12,vs. |ΗΑ| MandaIore,stars,349451219,Robbie Brady,Robbie Brady#7103,327
1.66811E+12,vs. |ΗΑ| MandaIore,stars,283842274,JustinAlexander11,JustinAlexander11#1023,357
1.66811E+12,vs. |ΗΑ| MandaIore,stars,245711569,Promethean,Promethean#3008,268
1.66811E+12,vs. |ΗΑ| MandaIore,stars,996614779,Jables,Jables#9173,279
1.66811E+12,vs. |ΗΑ| MandaIore,stars,499615124,Anubis,⁦Bellhharar⁩#0560,63
1.66811E+12,vs. |ΗΑ| MandaIore,stars,615713739,Ky Zeth,Ky Zeth#6539,386
1.66811E+12,vs. |ΗΑ| MandaIore,stars,436483225,Dr N00b,Thɑɳɑthѳs#6579,393
1.66811E+12,vs. |ΗΑ| MandaIore,stars,484789943,Jed1Mast3rDallas,jedimasterdallas#3331,19
1.66811E+12,vs. |ΗΑ| MandaIore,stars,946916445,ExcellentNut,⁦ExcellentNut⁩#0656,267
1.66811E+12,vs. |ΗΑ| MandaIore,stars,114649229,ìN Paca,Paca#8479,110
1.66811E+12,vs. |ΗΑ| MandaIore,stars,296684579,ṪѦ DerHesse1505,DerHesse1505 (TB Offi)#9876,27
1.66811E+12,vs. |ΗΑ| MandaIore,stars,929389526,Tommyboy85,tommyboy#3739,336
1.66811E+12,vs. |ΗΑ| MandaIore,stars,268951863,Loadage,Loadage#1450,329
1.66811E+12,vs. |ΗΑ| MandaIore,stars,214848174,ilekkund,ilekkund#8475,265
1.66811E+12,vs. |ΗΑ| MandaIore,stars,148163689,ilekkund2,ilekkund#8475,255
1.66811E+12,vs. |ΗΑ| MandaIore,stars,242144976,MINI xipokemastrix,xIPokemastrIx#2005,252
1.66811E+12,vs. |ΗΑ| MandaIore,stars,572892187,WookieeWarrior,teepeepdx#7802,328
1.66811E+12,vs. |ΗΑ| MandaIore,stars,435886464,Z Xm,Z_Xm#5894,343
1.66811E+12,vs. |ΗΑ| MandaIore,stars,732694944,Savage1bat,⁦savage1bat⁩#7887,443
1.66811E+12,vs. |ΗΑ| MandaIore,stars,247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,312
1.66811E+12,vs. |ΗΑ| MandaIore,stars,354754647,BladeBR,Edem#5643,384
1.66811E+12,vs. |ΗΑ| MandaIore,stars,843553429,Shotwell,Shotwell#0501,372
1.66811E+12,vs. |ΗΑ| MandaIore,stars,997239157,Gryphix,Gryphix#1116,314
1.66811E+12,vs. |ΗΑ| MandaIore,stars,165968689,RC1262,vaalok#4807,267
1.66811E+12,vs. |ΗΑ| MandaIore,stars,634487631,JacenCaedus,Sala#2238,388
1.66811E+12,vs. |ΗΑ| MandaIore,stars,798445437,Kaytee Glopio,Kaytee Glopio#6445,258
1.66811E+12,vs. |ΗΑ| MandaIore,stars,691769393,Hulkster,Hulkster#4141,81
1.66811E+12,vs. |ΗΑ| MandaIore,stars,825875376,Zlada14,zlada14#0537,124
1.66811E+12,vs. |ΗΑ| MandaIore,stars,932489599,MINI Azryl,Azryl#1591,375
1.66811E+12,vs. |ΗΑ| MandaIore,stars,513125742,MarkKenoburger,kenoburger#9903,247
1.66811E+12,vs. |ΗΑ| MandaIore,stars,716417922,TinyBubbles,TinyBubbles31#0228,214
1.66811E+12,vs. |ΗΑ| MandaIore,stars,994659641,OttoVonGens,OttoVonGens#2822,313
1.66811E+12,vs. |ΗΑ| MandaIore,stars,975827772,Tornado,tornado#478,297
1.66811E+12,vs. |ΗΑ| MandaIore,stars,545871634,Argarax,Kazrud#2235,99
1.66811E+12,vs. |ΗΑ| MandaIore,stars,137256197,Japolock,Japolock#2870,328
1.66811E+12,vs. |ΗΑ| MandaIore,stars,745483876,Foreigner,Foreigner#2714,315
1.66811E+12,vs. |ΗΑ| MandaIore,stars,815682328,SotDO,SotDo#3618,91
1.66811E+12,vs. |ΗΑ| MandaIore,stars,442735849,PDXwing,PDXwing#6655,282
1.66811E+12,vs. |ΗΑ| MandaIore,stars,473373554,Baxston Kane,Baxston Kane#5600,296
1.66811E+12,vs. |ΗΑ| MandaIore,stars,736639474,Deadly F A R T,⁦Deadly F A R T⁩#1186,383
1.66811E+12,vs. |ΗΑ| MandaIore,stars,492994246,Chaunce,Chaunce#1601,78
1.66811E+12,vs. |ΗΑ| MandaIore,stars,667756347,SilentVader,SilentVader#5511,77
1.66811E+12,vs. |ΗΑ| MandaIore,stars,617569541,MINI Zan Lucian,Zan Lucian#8522,354
1.66811E+12,vs. |ΗΑ| MandaIore,stars,569934839,Dalu,Dalu42192#5639,232
1.66811E+12,vs. |ΗΑ| MandaIore,stars,259921674,BlackMamba,Jeremy#5183,122
1.66811E+12,vs. |ΗΑ| MandaIore,stars,938542548,Sultan2309,Sultan2309#7453,276
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,852762117,Revanchist,Revanchist#9559,278
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,349451219,Robbie Brady,Robbie Brady#7103,308
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,283842274,JustinAlexander11,JustinAlexander11#1023,338
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,245711569,Promethean,Promethean#3008,248
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,996614779,Jables,Jables#9173,248
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,615713739,Ky Zeth,Ky Zeth#6539,368
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,436483225,Dr N00b,Thɑɳɑthѳs#6579,338
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,946916445,ExcellentNut,⁦ExcellentNut⁩#0656,154
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,929389526,Tommyboy85,tommyboy#3739,278
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,268951863,Loadage,Loadage#1450,248
1.66811E+12,vs. |ΗΑ| MandaIore,set_defense_stars,214848174,ilekkund,ilekkund#8475,218
