AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount,ModScore,GearScore,TotalScore
884121445,Nom,Nom Polustra#4120,3.08608E+17,4161756,2971515,239,25,39,94,134,1,0,4,33,11,24,2,20,0,0,176,532,192,54,6,1,4.04,4.37,8.41
118543169,ShootMeow,Shootmeow#3818,3.64037E+17,4168999,2968278,243,29,44,74,157,3,0,0,12,11,30,4,12,5,0,333,448,155,44,9,2,3.31,3.76,7.08
124849497,M1TTH,!M1TTH#8698,2.25969E+17,3143811,2185321,192,17,29,37,105,1,2,3,4,0,15,3,6,2,0,145,209,60,30,5,1,1.81,2.58,4.4
144353549,Wolfman314,Wolfman314#6474,3.8312E+17,3901702,2840084,232,16,50,62,124,2,0,4,8,11,21,2,14,2,0,198,435,155,53,12,0,3.63,3.5,7.13
148163689,ilekkund2,ilekkund#8475,3.22359E+17,3176752,2388050,214,12,17,66,121,3,0,0,17,3,23,5,13,5,0,184,372,137,48,15,1,4.04,3.91,7.95
148199846,Agave,Agave#6806,3.93395E+17,3898594,2782734,240,20,28,69,130,4,3,3,16,3,20,4,16,4,0,231,491,199,63,10,2,4.56,3.51,8.07
214848174,ilekkund,ilekkund#8475,3.22359E+17,4706365,3173291,261,22,47,104,179,3,1,0,23,2,40,4,22,12,0,223,554,209,77,14,4,4.06,4.67,8.73
222784581,KaStarkiller,domobray(KAStarkiller)#9478,3.48849E+17,2546081,1952665,166,12,12,43,71,2,3,0,6,0,21,1,9,3,0,121,186,64,26,7,1,2.38,3.17,5.55
242144976,MINI xipokemastrix,xIPokemastrIx#2005,3.47774E+17,2795618,1960372,186,11,19,50,101,1,3,1,16,1,15,3,9,2,0,201,394,163,41,6,2,5.09,3.47,8.56
245711569,Promethean,Promethean#3008,3.24684E+17,3528343,2608669,228,23,34,61,109,1,0,0,11,7,24,4,11,4,0,238,500,186,52,17,2,4.8,3.58,8.38
247341668,Obi Won Sebroni,Obiwon Sebroni The Fallen#6237,7.295E+17,2740878,1849510,181,12,17,37,61,1,0,0,3,0,22,0,8,4,0,128,194,65,14,4,1,2.09,2.9,4.99
248271439,Guntha Arbos,guntha arbos#0996,5.96387E+17,4092248,2732630,222,26,40,82,165,1,14,5,20,7,15,5,13,3,0,211,304,111,53,11,3,2.59,3.97,6.56
265535499,Higgs,Higgs#0298,3.5195E+17,3470084,2435645,199,18,41,62,111,0,0,8,28,11,10,3,2,0,0,128,297,113,18,4,0,2.78,3.56,6.34
268951863,Loadage,Loadage#1450,2.42793E+17,3894671,2809964,235,15,13,75,123,2,1,0,17,8,24,2,16,6,0,152,405,139,57,20,2,3.46,3.57,7.03
416984533,Theflavorgreen,theflavorgreen#9250,3.67649E+17,3702554,2286400,203,22,31,48,98,3,0,2,4,8,8,6,14,4,2,151,256,83,20,3,1,1.95,3.06,5.01
