AllyCode,Name,DiscordTag,DiscordId,CharacterGP,ShipGP,LeagueId,SkillRating,TotalScore,ModScore,GearScore,Star7Count,G11Count,G12Count,G13Count,ZetaCount,OmiCount,Relic1Count,Relic2Count,Relic3Count,Relic4Count,Relic5Count,Relic6Count,Relic7Count,Relic8Count,Relic9Count,Mod6Dot,Speed10,Speed15,Speed20,Speed25,UltimateGLCount
242144976,"MINI xipokemastrix","xIPokemastrIx#2005",347773837267435521,3299552,2361309,"AURODIUM",2994,10.51,6.27,4.24,209,8,18,74,129,5,2,1,20,0,27,6,14,4,0,274,490,233,73,10,3
473373554,"Baxston Kane","Baxston Kane#5600",504378520454299658,4608367,3248886,"AURODIUM",2795,6.82,2.95,3.87,255,11,43,89,178,8,18,1,15,2,19,4,23,7,0,174,520,145,55,15,3
591283737,"Maxaron Lexilon","MaxaronLexilon#3633",604506255125381140,4367568,3264105,"AURODIUM",2884,8.3,4.16,4.13,242,6,68,81,176,2,0,0,18,0,37,2,20,4,0,186,566,199,62,17,1
245711569,"Promethean","Promethean#3008",324684473943982082,3871096,2852119,"AURODIUM",2889,9.2,5.01,4.19,234,19,29,83,138,3,0,0,18,8,27,6,20,4,0,291,539,203,80,26,3
144353549,"Wolfman314","Wolfman314#6474",383120386390491136,4293092,3236127,"KYBER",2989,7.91,4.05,3.86,241,12,58,77,158,5,0,7,11,10,25,2,16,5,1,257,521,193,58,13,1
247341668,"Obi Won Sebroni","Obiwon Sebroni The Fallen#6237",729499514347454495,3550280,2628673,"AURODIUM",2996,6.3,2.53,3.77,221,11,14,70,92,8,0,0,11,0,34,2,15,7,1,193,292,102,26,5,2
552522334,"MINI Stewabob","FupaHave#2185",711320160434389084,3135414,2090224,"KYBER",2842,6.99,3.04,3.95,186,8,8,65,101,7,1,1,13,4,24,4,12,5,1,201,241,102,35,11,1
248271439,"Guntha Arbos","guntha arbos#0996",596386520982880284,4594538,3206886,"KYBER",2947,7.51,3.21,4.3,247,15,48,102,196,8,20,5,20,7,23,7,14,5,0,285,363,146,93,20,3
753225541,"Philo Beddoe","Handleman20#4805",557191212428427286,4304056,3267235,"AURODIUM",2974,5.66,1.73,3.93,258,15,16,94,156,6,1,4,22,8,29,5,19,6,0,246,320,83,19,7,4
671337993,"SloppySaberFlavor","Sloppysaberflavor#9142",344333069366591501,4283069,3114110,"KYBER",3010,5.06,1.59,3.47,242,27,35,72,175,5,2,0,11,6,24,2,22,5,0,237,209,75,25,5,2
596537312,"Masajj Vemtits","Masajj Vemtits#4575",291733325582827520,4018078,2880090,"AURODIUM",2904,8.26,3.75,4.51,240,9,36,95,162,5,7,8,20,9,22,9,18,2,0,224,408,167,61,8,2
148163689,"ilekkund2","ilekkund#8475",322358812176809984,3634296,2792413,"KYBER",3208,8.33,4.19,4.14,243,11,16,83,143,8,0,0,25,3,30,5,14,6,0,228,425,161,61,19,2
797491243,"TacoPizza","TacoPizza#2451",685331379285786679,3866597,2650522,"KYBER",2926,6.6,2.62,3.98,214,32,12,79,153,5,0,0,13,6,23,8,20,9,0,223,276,112,32,9,3
994659641,"OttoVonGens","OttoVonGens#2822",492348658873008128,5055934,3496180,"KYBER",3454,9.75,5.08,4.67,263,13,35,119,213,7,2,1,22,5,46,3,32,8,0,410,693,291,93,9,5
492994246,"Chaunce","Chaunce#1601",327048391215546368,4475066,3369130,"KYBER",3217,7.81,3.54,4.27,264,12,24,103,175,6,1,1,22,9,37,6,23,4,0,335,501,182,43,7,4
556569861,"wamakima5004","wamakima5004#0097",131407992737366016,4057550,3047451,"AURODIUM",2764,7.79,3.54,4.25,253,9,43,85,170,4,0,0,16,16,22,6,19,6,0,199,446,168,40,2,3
997239157,"Gryphix","Gryphix#1116",261459552527056896,4723104,3307540,"KYBER",3330,9.03,4.3,4.72,245,17,27,118,189,10,4,4,25,4,43,6,22,7,1,336,571,220,88,16,4
929389526,"Tommyboy85","tommyboy#3739",365470940139880449,4554969,3271175,"KYBER",3476,9.04,4.48,4.56,276,11,33,105,176,12,0,0,18,6,44,3,26,8,0,321,515,225,85,12,4
545871634,"Argarax","Kazrud#2235",506545120879837214,4459893,2848512,"KYBER",3399,9.1,3.43,5.66,225,6,7,131,130,12,1,1,18,11,49,4,28,14,3,297,487,159,78,17,6
513125742,"MarkKenoburger","kenoburger#9903",674841735314276362,3576839,2345970,"KYBER",3137,8.51,3.73,4.78,193,7,25,87,142,6,6,0,24,4,24,6,18,5,0,268,337,149,47,8,3
992275427,"Stargun inoza","stargun#1897",395048449478885376,4203632,3090599,"KYBER",3046,7.4,2.69,4.72,240,10,26,107,154,9,3,7,20,4,37,6,23,5,0,282,341,125,47,6,3
552854579,"MINI Zeratoark","Zeratoark#9535",266724389339267074,4431194,3186740,"KYBER",3044,9.82,5.16,4.65,248,7,41,102,160,6,1,1,15,7,37,6,23,10,0,228,629,246,94,22,4
589218854,"Bitz Maidenhell","Bitz Maidenhell#2587",224774869403959307,4094946,2700954,"AURODIUM",2816,5.76,1.85,3.91,244,23,38,77,147,3,1,1,16,6,24,7,16,2,0,171,254,86,20,5,3
884121445,"Nom","Nom Polustra#4120",308607829789638659,4839069,3485808,"KYBER",3123,9.05,4.46,4.59,269,21,37,116,168,8,1,3,31,7,42,3,25,4,0,235,707,236,66,23,4
268951863,"Loadage","Loadage#1450",242793336262361088,4595418,3271781,"KYBER",3511,8.26,4.13,4.13,259,16,12,102,152,10,0,0,23,7,35,5,24,7,1,212,542,186,100,35,4
515621617,"Flywire","Flywire#0662",131625457861787649,3854357,2763851,"AURODIUM",2893,7.19,3.25,3.94,228,26,20,80,144,4,0,5,20,1,27,2,21,4,0,210,374,138,42,11,3
214848174,"ilekkund","ilekkund#8475",322358812176809984,5109195,3545595,"KYBER",3344,9.24,4.39,4.84,279,19,46,121,204,7,1,2,19,5,52,6,23,13,0,263,640,245,88,18,4
825875376,"Zlada14","zlada14#0537",392856152146182144,4097295,3016046,"AURODIUM",2565,7.74,3.74,4,262,4,33,84,170,5,5,1,18,5,29,4,15,7,0,213,451,165,50,19,3
931355241,"BigMacDbag","Hismeds#9705",487515658008133632,3742363,2628243,"AURODIUM",2857,6.1,2.37,3.74,217,25,22,71,129,2,0,2,16,1,28,4,15,5,0,146,281,103,25,2,3
148199846,"Agave","Agave#6806",393394507586076672,4264338,3093513,"AURODIUM",2879,8.8,4.98,3.82,250,19,28,84,158,8,3,2,17,3,25,3,20,8,0,281,527,236,82,12,3
826592934,"Zhil Axfow","Zhil Axfow#5696",374916575846989825,4193126,3287845,"AURODIUM",2695,6.54,2.72,3.82,251,8,60,77,172,6,5,3,8,7,31,9,10,2,0,175,415,132,30,4,1
634487631,"JacenCaedus","Sala#2238",468878383959506966,4710553,3376953,"KYBER",3255,11.69,6.38,5.31,253,11,11,137,174,6,4,0,30,7,48,5,28,15,0,290,741,326,109,30,6
852762117,"Revanchist","Revanchist#9559",330498109169991681,3944211,2842454,"KYBER",3068,9.4,4.75,4.64,225,15,23,100,139,3,10,1,23,6,33,4,20,3,0,228,532,211,60,11,3
619572297,"Raion Ren","raion_ren#6463",212234169353240576,5259660,3531797,"KYBER",3116,7.97,2.95,5.03,263,22,29,135,208,7,1,1,36,1,49,3,32,10,2,348,483,173,47,12,5
484789943,"Jed1Mast3rDallas","jedimasterdallas#3331",497271343356837889,3947450,2571931,"KYBER",3249,9.68,4.7,4.98,202,13,25,99,128,8,0,0,24,8,34,6,22,5,0,234,479,204,64,16,2
975827772,"Tornado","tornado#478",492448317716955156,3633766,3069523,"KYBER",3189,10.54,5.64,4.9,194,16,16,102,126,6,1,3,17,0,39,8,24,7,1,311,602,228,58,18,2
349451219,"Robbie Brady","Robbie Brady#7103",375447146490494996,4947827,3381661,"KYBER",3137,8.57,3.74,4.83,265,13,38,119,186,4,1,0,18,19,39,5,28,9,0,294,530,198,85,16,6
996614779,"Jables","Jables#9173",349269925258461184,4364196,3222641,"AURODIUM",2962,8.09,3.77,4.32,260,19,26,98,179,3,0,0,12,4,49,7,22,4,0,241,455,184,59,9,5
617569541,"MINI Zan Lucian","Zan Lucian#8522",361903176074526720,4909728,3352617,"KYBER",3417,9.81,4.73,5.08,258,14,40,124,186,8,0,1,22,11,45,11,26,7,1,285,641,247,82,30,4
124849497,"M1TTH","!M1TTH#8698",225968934757597185,3517990,2561686,"AURODIUM",2593,5.05,2.18,2.87,214,16,33,48,120,4,2,3,9,0,18,3,7,4,0,169,251,80,39,8,1
