Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Tel Nadda,427553566,29308552,5477598,8328761,4606465,10895728,4,5,3,6,58,15,20,12,11,3,4,4,4,4,4,4,4,4,0,0,4,4,4,0,0,0,1,2,3,4,0,1,0,0,0,0,0,0,0,0,0,0
FinnTheMenaceOfEldia USM,281246885,49670266,7273522,14531438,10830840,17034466,4,7,6,6,72,16,22,17,17,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,0,3,3,4,4,2,1,73,20,29,16,8,4,0,1,1,2
Zhil Axfow,826592934,37347684,7068313,5031851,13031692,12215828,4,4,6,6,58,16,15,18,9,4,4,4,4,3,4,4,0,4,0,0,4,4,4,4,1,1,2,2,2,2,0,1,12,2,5,4,1,0,0,0,0,0
JustinAlexander11,283842274,37235845,7457632,10018799,10548423,9210991,4,5,5,4,63,16,20,17,10,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,0,2,3,4,0,0,1,1,0,0,0,1,1,0,0,0,1
Promethean,245711569,34864847,6023029,9434301,8740971,10666546,3,5,4,4,60,12,20,16,12,4,4,4,0,4,4,4,4,4,0,0,4,4,4,4,0,0,2,3,3,4,0,0,5,0,2,0,3,0,0,0,0,0
EvilCoyote2011,997394645,32949559,3536630,14398967,8534649,6479313,4,7,4,2,55,15,22,14,4,3,4,4,4,4,4,4,4,4,1,1,3,3,4,4,0,0,3,0,0,0,0,1,2,0,2,0,0,2,0,1,1,0
KaStarkiller,222784581,38271001,5599961,7986153,13633497,11051390,4,5,6,5,61,15,18,17,11,3,4,4,4,3,3,4,4,4,0,0,3,4,4,4,1,1,1,2,3,4,0,1,43,0,12,1,30,0,0,0,0,0
Tommyboy85,929389526,53910004,7362978,14881410,16501039,15164577,4,7,6,6,71,16,22,18,15,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,4,4,4,0,1,63,20,13,13,17,1,0,0,1,0
Philo Beddoe,753225541,37252308,6805223,7570322,9415432,13461331,4,3,4,6,55,15,12,16,12,3,4,4,4,4,4,0,0,4,0,0,4,4,4,4,0,0,1,3,3,4,0,1,23,8,1,7,7,1,0,0,1,0
Loadage,268951863,45804283,3772907,14721466,12618764,14691146,4,7,6,6,66,16,22,17,11,4,4,4,4,4,4,4,4,4,1,1,3,4,4,4,1,1,1,3,4,0,2,1,15,0,3,8,4,1,0,0,0,1
s o l o,334171458,55118949,3950845,16584282,18523353,16060469,4,7,6,6,72,16,22,18,16,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,1,0,82,0,30,30,22,2,0,0,1,1
ilekkund,214848174,50050133,7986012,15853332,9685936,16524853,4,7,4,5,72,16,22,16,18,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,4,4,4,4,2,0,72,20,20,16,16,0,0,0,0,0
ilekkund2,148163689,23789364,230073,2722179,8685213,12151899,0,0,4,5,30,0,0,16,14,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,0,0,2,3,4,4,1,0,13,4,0,1,8,0,0,0,0,0
Higgs,265535499,43860739,6735518,13349445,12349138,11426638,4,7,6,6,60,16,21,14,9,4,4,4,4,3,4,4,4,4,1,1,3,3,3,4,0,1,1,2,2,3,0,1,23,0,19,1,3,1,0,0,1,0
MINI xipokemastrix,242144976,27982724,1965255,5914448,14286566,5816455,2,5,6,5,53,8,19,18,8,4,4,0,0,4,4,4,4,3,0,0,4,4,4,4,1,1,1,2,2,3,0,0,40,2,0,25,13,0,0,0,0,0
TacoPizza,797491243,28990573,3050173,9334035,2481591,14124774,3,5,1,5,49,12,20,4,13,4,4,4,0,4,4,4,4,4,0,0,4,0,0,0,0,0,3,4,4,0,1,1,38,3,0,30,5,0,0,0,0,0
ShootMeow,118543169,53895407,7205468,15101740,16722714,14865485,4,7,6,5,69,15,22,18,14,3,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,0,1,1,0,0,1,0,6,0,1,5,0
Dark Penguin,894569678,32671219,5986632,8542632,6095135,12046820,4,5,4,6,66,16,20,16,14,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,3,3,4,0,1,4,0,0,0,4,0,0,0,0,0
Obi Won Sebroni,247341668,38130132,5892510,10542632,11839783,9855207,4,5,6,5,54,15,17,15,7,3,4,4,4,4,4,4,4,0,0,1,3,3,4,4,0,1,1,1,2,2,0,1,46,17,7,22,0,2,0,0,1,1
JacenCaedus,634487631,54675349,7611585,13423889,17022506,16617369,4,5,6,6,69,16,20,18,15,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,1,2,3,3,4,2,1,65,13,30,13,9,1,0,0,0,1
Zlada14,825875376,40071270,6495456,9635456,9319456,14620902,4,5,4,6,63,14,20,16,13,3,3,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,1,3,3,4,1,1,0,0,0,0,0,1,0,0,1,0
MarkKenoburger,513125742,36246926,3799044,10484547,12992078,8971257,4,6,5,5,67,16,21,17,13,4,4,4,4,4,4,4,4,4,0,1,4,4,4,4,0,1,2,3,3,4,1,0,2,0,1,0,1,1,0,0,1,0
Agave,148199846,50064315,7185737,14570365,13108239,15199974,4,7,6,6,69,16,22,18,13,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,1,2,3,4,2,1,66,2,11,27,26,7,0,5,0,2
ONE,873729113,37284906,6748917,9145325,8250270,13140394,4,5,4,6,53,14,18,13,8,3,3,4,4,3,3,4,4,4,0,0,3,3,3,4,0,0,1,1,2,2,1,1,3,0,0,0,3,1,0,0,1,0
Stargun inoza,992275427,41198839,7142889,9279500,12718739,12057711,4,5,6,6,62,16,19,18,9,4,4,4,4,3,4,4,4,4,0,0,4,4,4,4,1,1,1,2,2,3,0,1,7,7,0,0,0,0,0,0,0,0
OttoVonGens,994659641,48317201,7909427,6705240,17336831,16365703,4,3,6,6,56,16,6,18,16,4,4,4,4,0,0,0,0,4,1,1,4,4,4,4,1,1,3,4,4,4,0,1,3,0,0,3,0,1,0,0,0,1
Argarax,545871634,45880637,7302589,14300164,9562679,14715205,4,7,4,6,69,16,22,16,15,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,2,4,4,4,0,1,20,13,0,0,7,2,0,0,1,1
MINI Stewabob,552522334,31767348,5938953,6017779,8188146,11622470,4,3,4,5,57,16,12,16,13,4,4,4,4,4,4,4,0,0,0,0,4,4,4,4,0,0,2,3,3,4,0,1,9,9,0,0,0,1,0,0,1,0
Baxston Kane,473373554,36545882,511494,10078447,9763983,16191958,0,5,4,6,51,0,20,16,15,0,0,0,0,4,4,4,4,4,0,0,4,4,4,4,0,0,2,3,4,4,1,1,22,20,0,0,2,2,0,0,1,1
Chaunce,492994246,50256677,7348837,14992555,14945760,12969525,4,7,5,4,62,16,22,17,7,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,1,2,3,0,0,1,1,5,0,0,2,3,0,0,0,0,0
PluntsNBussy,837163221,57186500,7547967,15330006,16950791,17357736,4,7,6,6,73,16,22,18,17,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,1,1,34,20,5,4,5,16,0,6,7,3
Sultan2309,938542548,38661054,6653491,12140389,4138842,15728332,4,6,1,6,56,16,21,1,18,4,4,4,4,4,4,4,4,4,1,0,0,0,0,0,1,0,4,4,4,4,1,1,61,0,28,30,3,0,0,0,0,0
Gryphix,997239157,54494228,7596463,15164485,16786013,14947267,4,7,6,6,72,16,22,18,16,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,4,4,4,2,0,19,0,3,1,15,0,0,0,0,0
Guntha Arbos,248271439,32926416,120764,11880830,12795598,8129224,0,7,6,5,50,0,21,18,11,0,0,0,0,4,4,4,4,4,1,0,4,4,4,4,1,1,2,3,3,3,0,0,13,0,9,2,2,1,0,0,0,1
Calens,499477827,26438383,2875119,3864603,9037343,10661318,3,3,4,5,50,12,12,15,11,4,4,4,0,4,4,0,0,4,0,0,3,4,4,4,0,0,2,3,3,3,0,0,12,0,0,0,12,0,0,0,0,0
AKB,461667365,27283934,2929704,10244392,6069641,8040197,3,5,4,5,59,12,20,16,11,4,4,4,0,4,4,4,4,4,0,0,4,4,4,4,0,0,2,2,3,4,0,0,35,0,30,0,5,1,0,0,0,1
Nom,884121445,43620372,7629172,10194726,9879788,15916686,4,5,4,6,66,16,20,16,14,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,2,3,3,4,1,1,30,0,0,0,30,2,0,0,1,1
Maxaron Lexilon,591283737,24570138,7236753,5026558,5440327,6866500,4,2,4,5,40,16,2,14,8,4,4,4,4,0,0,0,0,0,1,1,3,3,4,4,0,0,1,2,2,3,0,0,5,0,0,5,0,0,0,0,0,0
BabyYodaHitta,629856937,14848407,119192,6756733,119881,7852601,0,3,0,5,17,0,11,0,6,0,0,0,0,3,4,0,0,4,0,0,0,0,0,0,0,0,1,2,2,0,0,1,3,0,3,0,0,0,0,0,0,0
