name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Doomslug the Destroyer,549766237,1649642,2204934,11736819,22,22,1,7725620,3887120,5,0,TRUE,TRUE,385420,102598,FALSE,FALSE,0,0,0,1,3,3,4,,,1
Zhil Axfow,826592934,2684377,3441485,14448406,20,28,0,10777774,6141274,4,1,TRUE,TRUE,71232,151964,FALSE,FALSE,0,0,0,4,4,,,4,,1
Guntha Arbos,248271439,2532483,3629539,15285836,11,34,1,11889716,6165716,5,0,TRUE,TRUE,291133,71222,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Philo Beddoe,753225541,2509098,3199523,17818223,22,36,0,11446210,5722210,6,0,TRUE,TRUE,0,61539,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Loadage,268951863,2421185,3073571,16628513,5,36,0,10384616,4660616,6,1,FALSE,TRUE,0,57475,TRUE,FALSE,0,834140,0,4,4,4,4,4,,
BabyYodaHitta,629856937,1092092,1674074,9120327,1,21,0,5653776,2779776,6,1,TRUE,TRUE,0,26593,TRUE,FALSE,0,0,0,1,1,3,4,2,,
ilekkund,214848174,2964202,4160752,20182495,10,36,0,12852833,7128833,6,1,TRUE,TRUE,0,149992,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Higgs,265535499,2240688,3130640,15283782,6,35,1,8985052,3633052,6,1,FALSE,TRUE,0,36594,TRUE,FALSE,0,1738276,0,3,4,4,4,4,,
ilekkund2,148163689,2042765,2575172,17171655,3,37,0,11424421,4627921,6,1,TRUE,TRUE,90254,14233,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
MINI xipokemastrix,242144976,1673978,2385053,15372262,32,36,0,9802537,4078537,6,0,TRUE,TRUE,371512,244182,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Flywire,515621617,2247372,3192103,7358464,28,13,0,7145412,2832912,4,0,TRUE,FALSE,333544,196222,FALSE,FALSE,2606563,0,0,,,,,,,
GANIC,357417789,1849333,2831039,16829111,8,35,2,11113730,4689230,6,1,TRUE,TRUE,0,22432,TRUE,FALSE,0,0,0,3,4,4,4,4,,1
Ben8cv,331225772,2634049,3483942,16456028,1,36,0,12915601,6119101,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
ShootMeow,118543169,2612595,3567299,17642321,10,37,0,10906910,4110410,6,1,FALSE,TRUE,59645,86110,TRUE,FALSE,0,2069484,0,4,4,4,4,4,,1
Heywood Jablowme,677183999,2774507,4076304,9095192,22,19,0,2142888,738888,2,1,FALSE,FALSE,0,56748,FALSE,FALSE,3337416,2035619,738888,,,,,4,,
Dark Penguin,894569678,1778239,2364204,14418256,19,35,0,9171963,2747463,6,1,FALSE,TRUE,0,58869,TRUE,FALSE,0,1394980,0,3,4,4,4,4,,1
