name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Doomslug the Destroyer,549766237,1649642,2204934,18801686,25,32,1,7064867,3892867,4,0,TRUE,TRUE,44016,29062,FALSE,FALSE,0,0,0,3,3,4,,,
Zhil Axfow,826592934,2684377,3441485,22861532,26,43,0,8413126,3447126,4,1,FALSE,TRUE,0,71835,TRUE,FALSE,0,2678736,0,3,4,4,4,,
Guntha Arbos,248271439,2532483,3629539,26866924,17,50,1,11581088,6173088,4,0,TRUE,TRUE,0,123276,TRUE,FALSE,0,0,0,4,4,4,4,,
Philo Beddoe,753225541,2509098,3199523,29761894,28,49,0,11943671,5723171,4,1,TRUE,TRUE,61478,114717,FALSE,FALSE,0,0,0,4,4,4,,,1
Loadage,268951863,2421185,3073571,31367877,16,54,0,14739364,5501864,6,1,TRUE,TRUE,207659,114173,TRUE,TRUE,0,0,0,4,4,4,4,1,1
BabyYodaHitta,629856937,1092092,1674074,15599721,5,29,0,6479394,2052894,4,1,FALSE,TRUE,58419,24417,FALSE,FALSE,0,713272,0,3,4,,,,1
ilekkund,214848174,2964202,4160752,36548181,17,54,0,16365686,7128186,6,1,TRUE,TRUE,189401,77583,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Higgs,265535499,2240688,3130640,28134045,7,49,1,12850263,5380763,6,1,TRUE,TRUE,0,14547,TRUE,TRUE,0,0,0,3,3,3,3,1,1
ilekkund2,148163689,2042765,2575172,28656981,7,54,0,11485326,2689826,6,1,FALSE,TRUE,55119,42323,TRUE,TRUE,0,1928111,0,3,4,4,4,1,1
MINI xipokemastrix,242144976,1673978,2385053,26083434,41,52,0,10711172,4080172,6,1,TRUE,TRUE,208426,100339,TRUE,TRUE,0,0,0,3,4,4,4,1,0
Flywire,515621617,2247372,3192103,18078112,29,25,0,10719648,5440648,5,1,TRUE,TRUE,0,29799,FALSE,FALSE,0,0,0,3,4,4,,1,
GANIC,357417789,1849333,2831039,27783120,31,50,2,10954009,4693009,5,1,TRUE,TRUE,233236,271312,TRUE,FALSE,0,0,0,2,4,4,4,1,
Ben8cv,331225772,2634049,3483942,23256391,27,44,0,6800363,4096363,2,1,FALSE,TRUE,611311,285511,FALSE,FALSE,0,2021628,0,4,4,,,,
ShootMeow,118543169,2612595,3567299,33103940,19,55,0,15461619,6224119,6,1,TRUE,TRUE,241385,69992,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Heywood Jablowme,677183999,2774507,4076304,9095192,22,19,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,4076304,2774507,0,,,,,,
Dark Penguin,894569678,1778239,2364204,20530613,26,46,0,6112357,2498357,3,1,FALSE,TRUE,125105,74061,FALSE,FALSE,0,1644086,0,3,4,4,,,
Obi Won Sebroni,247341668,1269379,2057759,18417186,6,33,3,7979826,3383326,4,1,TRUE,TRUE,0,10765,FALSE,FALSE,0,0,0,2,2,4,,,1
Masajj Vemtits,596537312,2453363,3389480,15650160,12,40,0,8840449,3432449,4,1,FALSE,TRUE,42058,0,TRUE,FALSE,0,2410394,0,4,4,4,4,,
Wolfman314,144353549,2640419,3536088,22481785,9,45,0,8757832,3791832,4,1,FALSE,TRUE,246674,65376,TRUE,FALSE,0,2384675,0,3,4,4,4,,
AKB,461667365,2372150,3370632,28238964,29,51,0,12887282,5756782,6,1,TRUE,TRUE,0,109583,TRUE,TRUE,0,0,0,3,4,4,4,0,1
ONE,873729113,2514783,3640571,25609350,9,43,0,11298195,6161695,6,1,TRUE,TRUE,55970,33820,TRUE,TRUE,0,0,0,2,2,2,4,0,1
LGuy 21,261187434,2559713,3612642,16118583,15,40,0,9026917,3618917,4,1,FALSE,TRUE,0,208873,TRUE,FALSE,0,2553438,0,4,4,4,4,,
OttoVonGens,994659641,2793556,4114892,37140755,17,55,1,16149647,6912147,6,1,TRUE,TRUE,118376,203213,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Theflavorgreen,416984533,1971409,3105863,16972245,7,17,3,5641664,5101664,5,1,TRUE,TRUE,0,53223,FALSE,FALSE,0,0,0,2,,,,,
Argarax,545871634,1733934,2839935,22211477,10,51,0,8273273,2865273,4,1,FALSE,TRUE,0,79739,TRUE,FALSE,0,1708596,0,4,4,4,4,,
Baxston Kane,473373554,2681296,3746756,30860174,24,55,1,15679986,6442486,6,1,TRUE,TRUE,54687,0,TRUE,TRUE,0,0,0,4,4,4,4,1,1
Maxaron Lexilon,591283737,2776961,3592532,23392278,3,38,0,6704283,2874783,2,1,TRUE,FALSE,0,0,FALSE,TRUE,3494710,0,0,,,,,1,1
Chaunce,492994246,2731507,3600006,23221188,28,36,0,15138799,6343299,6,1,TRUE,TRUE,551464,199153,TRUE,TRUE,0,0,0,3,4,4,4,1,1
Neeb,648797678,2342481,3387618,27795324,8,43,0,11607292,5730792,6,1,TRUE,TRUE,101494,0,TRUE,TRUE,0,0,0,2,3,3,4,0,1
PadawanTano,584733846,1131456,1564321,18157003,29,38,0,7481765,2719265,5,1,TRUE,TRUE,215649,105928,FALSE,FALSE,0,0,0,1,3,4,,,1
Larping Soccer Moms,962753997,1462080,1895210,22890032,3,47,0,9686463,3367963,5,1,TRUE,TRUE,99387,0,TRUE,FALSE,0,0,0,2,3,4,4,,1
Exeel,184344456,2635910,3558382,27418139,0,52,1,11611181,6203181,4,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,,
TacoPizza,797491243,2040136,3040029,26607342,2,53,0,8522221,3114221,4,1,FALSE,TRUE,72436,12763,TRUE,FALSE,0,1965944,0,4,4,4,4,,
MINI Stewabob,552522334,1318988,1932442,19138767,4,36,0,9043945,3265445,4,1,TRUE,TRUE,0,26602,FALSE,FALSE,0,0,0,3,4,4,,,1
Promethean,245711569,2250463,3126148,24334294,17,47,0,10342611,5376611,4,1,TRUE,TRUE,325568,67406,TRUE,FALSE,0,0,0,3,4,4,4,,
Kypomm,631928359,2667531,3666382,21842586,12,49,0,8412388,3888388,4,1,FALSE,TRUE,218014,42974,TRUE,FALSE,0,2445525,0,3,3,4,4,,
Gryphix,997239157,2713540,3877012,27139399,3,45,0,11312087,4778587,4,1,FALSE,TRUE,0,28642,FALSE,TRUE,0,1811965,0,4,4,,,1,1
The Wall,947443938,1938421,2971401,20423768,1,37,0,5749512,3045512,2,1,FALSE,TRUE,61734,0,FALSE,FALSE,0,1864310,0,4,4,,,,
MINICalens,499477827,2361856,3573439,21283119,7,40,0,7687177,3631177,4,0,FALSE,TRUE,50967,61174,FALSE,FALSE,0,2304118,0,4,4,4,,,
Zlada14,825875376,2519156,3429285,32453089,0,50,0,15247961,6010461,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,1,1
s o l o,334171458,3140940,4481235,37242777,31,55,2,16875010,7637510,6,1,TRUE,TRUE,228343,119236,TRUE,TRUE,0,0,0,4,4,4,4,1,1
wamakima5004,556569861,2538418,3487625,21709202,5,50,0,8458200,3492200,4,1,FALSE,TRUE,0,67702,TRUE,FALSE,0,2533843,0,3,4,4,4,,
KingPete,251751519,1891150,3137979,10573973,0,23,1,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3137979,1891150,0,,,,,,
Elros Halfelven,592184954,2588885,3545738,18145345,20,38,0,8959654,3551654,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2582969,0,4,4,4,4,,
Plucky Haydon,924737972,2476203,3478674,31241388,15,54,0,15194396,5956896,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,1,1
SloppySaberFlavor,671337993,2340326,3368681,10581865,2,18,0,5326490,2622490,3,0,TRUE,FALSE,0,35188,FALSE,FALSE,3086517,0,0,4,4,,,,
M1TTH,124849497,1973705,2524945,15632991,0,28,1,5228945,2524945,2,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1973705,0,4,4,,,,
Agave,148199846,2463514,3304258,9169183,15,20,1,93802,93802,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3210456,2369712,93802,,,,,,
Elladan Halfelven,231363518,2715129,3707929,19667261,32,31,0,7884833,3828833,3,1,FALSE,TRUE,119917,0,FALSE,FALSE,0,2594225,0,4,4,4,,,
Hirano,193884837,3062213,4313026,7260527,2,8,0,7017059,4313059,2,1,FALSE,TRUE,0,57609,FALSE,FALSE,0,3062180,0,4,4,,,,
