Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Obi Won Sebroni,247341668,47230494,6727382,12395894,15417491,12689727,4,6,6,5,64,16,18,18,12,4,4,4,4,4,4,4,4,0,1,1,4,4,4,4,1,1,2,2,3,4,0,1,103,20,29,30,24,0,0,0,0,0
Philo Beddoe,753225541,54464292,7473910,15204348,16820667,14965367,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,4,4,0,1,42,16,10,12,4,0,0,0,0,0
Argarax,545871634,54025732,7335893,13142255,16587267,16960317,4,7,6,6,72,15,22,18,17,3,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,1,1,27,16,11,0,0,1,0,0,0,1
Raion Ren,619572297,30119254,567231,8831947,9407665,11312411,0,3,3,4,37,0,12,12,13,0,0,0,0,4,4,0,0,4,0,0,4,4,4,0,0,0,4,4,4,0,0,1,25,16,0,7,2,0,0,0,0,0
TacoPizza,797491243,41509183,396490,13316598,15792932,12003163,0,6,6,3,45,0,21,18,6,0,0,0,0,4,4,4,4,4,0,1,4,4,4,4,1,1,4,0,0,0,1,1,31,19,0,11,1,0,0,0,0,0
MINI Zan Lucian,617569541,25516655,8077728,15888647,99229,1451051,4,7,0,2,41,16,22,0,3,4,4,4,4,4,4,4,4,4,1,1,0,0,0,0,0,0,3,0,0,0,0,0,22,20,0,0,2,0,0,0,0,0
Revanchist,852762117,47430559,6823749,10178634,16048021,14380155,4,5,6,6,65,15,20,18,12,3,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,1,1,2,3,4,1,1,41,2,17,12,10,0,0,0,0,0
Gryphix,997239157,49078004,7892231,15655031,10130562,15400180,4,7,4,6,68,16,22,16,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,2,3,4,4,0,1,26,13,3,0,10,0,0,0,0,0
JacenCaedus,634487631,52074489,7898924,10457185,17347504,16370876,4,5,6,6,70,16,20,18,16,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,1,1,3,4,4,4,0,1,13,2,1,7,3,0,0,0,0,0
MarkKenoburger,513125742,46260738,3795335,13544493,15160913,13759997,4,7,6,6,69,16,22,18,13,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,3,4,1,1,1,0,0,1,0,0,0,0,0,0
