name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Obi Won Sebroni,247341668,1738934,2477149,5377228,12,15,0,5377228,2501228,4,0,FALSE,TRUE,0,133397,TRUE,TRUE,-24079,0,0,3,4,4,4
Larping Soccer Moms,962753997,1522691,2054488,5223541,12,16,0,5223541,2055541,4,1,FALSE,TRUE,0,161449,TRUE,TRUE,-1053,0,0,4,4,4,4
Loadage,268951863,2725284,3640161,6802476,11,16,0,6802476,3634476,4,1,FALSE,TRUE,0,209520,TRUE,TRUE,5685,0,0,4,4,4,4
Wolfman314,144353549,2711113,3704368,3408029,13,14,0,3408029,824029,4,1,FALSE,FALSE,0,211466,TRUE,TRUE,2880339,0,0,3,3,4,4
OttoVonGens,994659641,2938672,4396656,7566295,20,16,0,7566295,4398295,4,1,FALSE,TRUE,0,350402,TRUE,TRUE,-1639,0,0,4,4,4,4
Zhil Axfow,826592934,2866662,3633912,6029409,11,12,0,6029409,3653409,3,1,FALSE,TRUE,0,117972,FALSE,TRUE,-19497,0,0,4,4,4,
Higgs,265535499,2407780,3354488,6230510,16,15,0,6230510,3354510,4,1,FALSE,TRUE,0,263794,TRUE,TRUE,-22,0,0,3,4,4,4
Agave,148199846,2695560,3695751,6752500,20,15,0,6752500,3876500,4,1,FALSE,TRUE,0,284747,TRUE,TRUE,-180749,0,0,3,4,4,4
Dark Penguin,894569678,1916904,2576705,4079298,17,16,0,4079298,911298,4,1,FALSE,FALSE,0,247056,TRUE,TRUE,1665407,0,0,4,4,4,4
BraZ,193116527,2244038,3260462,1026841,0,5,0,1026841,229341,2,0,FALSE,FALSE,0,0,FALSE,TRUE,3031121,0,0,2,3,,
Baxston Kane,473373554,2902802,3977028,7278166,9,16,0,7278166,4110166,4,1,FALSE,TRUE,0,216158,TRUE,TRUE,-133138,0,0,4,4,4,4
Tommyboy85,929389526,2839959,3831717,6793313,12,15,0,6793313,3917313,4,1,FALSE,TRUE,0,291518,TRUE,TRUE,-85596,0,0,3,4,4,4
Promethean,245711569,2382007,3375391,5459391,4,11,0,5459391,3375391,3,1,FALSE,TRUE,0,98919,FALSE,TRUE,0,0,0,3,4,4,
Guntha Arbos,248271439,2616564,3862912,6749446,1,15,0,6749446,3873446,4,1,FALSE,TRUE,0,24540,TRUE,TRUE,-10534,0,0,3,4,4,4
Philo Beddoe,753225541,2591721,3493476,3005441,5,12,0,3005441,629441,3,1,FALSE,FALSE,0,102652,FALSE,TRUE,2864035,0,0,4,4,4,
Flywire,515621617,2319576,3407705,5199705,3,10,0,5199705,3407705,3,1,FALSE,TRUE,0,69697,FALSE,TRUE,0,0,0,3,3,4,
Gryphix,997239157,2853700,4094217,744593,1,3,0,744593,244593,1,1,FALSE,FALSE,0,25510,FALSE,TRUE,3849624,0,0,3,,,
AKB,461667365,2495374,3694290,6862500,6,16,0,6862500,3694500,4,1,FALSE,TRUE,0,138189,TRUE,TRUE,-210,0,0,4,4,4,4
SloppySaberFlavor,671337993,2513944,3604897,1373215,2,6,0,1373215,373215,2,1,FALSE,FALSE,0,34998,FALSE,TRUE,3231682,0,0,3,3,,
Revanche Gilder,926679294,2785388,3561250,6729250,4,16,0,6729250,3561250,4,1,FALSE,TRUE,0,79326,TRUE,TRUE,0,0,0,4,4,4,4
ONE,873729113,2665759,3890616,5777640,1,11,0,5777640,3890640,4,1,FALSE,TRUE,0,21219,TRUE,TRUE,-24,0,0,2,2,3,4
Argarax,545871634,2217883,3576122,6747047,0,16,0,6747047,3579047,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-2925,0,0,4,4,4,4
MINI Stewabob,552522334,1517303,2279767,5157741,0,15,0,5157741,2281741,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-1974,0,0,3,4,4,4
Chaunce,492994246,2826107,3869211,1632626,0,7,0,1632626,340626,2,1,FALSE,FALSE,0,0,FALSE,TRUE,3528585,0,0,3,4,,
Neeb,648797678,2387296,3569035,6153051,0,14,0,6153051,3569051,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-16,0,0,3,3,4,4
Tel Nadda,427553566,1535363,2194112,4778157,0,14,0,4778157,2194157,4,0,FALSE,TRUE,0,0,TRUE,TRUE,-45,0,0,3,3,4,4
Wil043,635417488,2183699,3460543,4753161,0,7,0,4753161,3461161,2,1,FALSE,TRUE,0,0,FALSE,TRUE,-618,0,0,3,4,,
JustinAlexander11,283842274,2338634,3807397,6683397,0,15,0,6683397,3807397,4,1,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4
ilekkund,214848174,3143203,4471808,7639808,0,16,0,7639808,4471808,4,1,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4
ilekkund2,148163689,2355326,2968936,6136936,0,16,0,6136936,2968936,4,1,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4
drkknight13,235623811,2085473,3273909,941916,0,4,0,941916,149916,1,0,FALSE,FALSE,0,0,FALSE,TRUE,3123993,0,0,4,,,
TacoPizza,797491243,2152339,3302380,6178311,0,15,0,6178311,3302311,4,1,FALSE,TRUE,0,0,TRUE,TRUE,69,0,0,3,4,4,4
ShootMeow,118543169,2816348,3962653,7142229,0,16,0,7142229,3974229,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-11576,0,0,4,4,4,4
Calens,499477827,2558848,3854023,2858283,0,12,0,2858283,482283,3,1,FALSE,FALSE,0,0,FALSE,TRUE,3371740,0,0,4,4,4,
Yellow 13,798246414,2296152,3356556,4446266,0,6,0,4446266,3356766,2,0,FALSE,TRUE,0,0,FALSE,TRUE,-210,0,0,2,4,,
Theflavorgreen,416984533,2152973,3522321,6195821,0,14,0,6195821,3522321,4,0,FALSE,TRUE,0,0,TRUE,TRUE,0,0,0,2,4,4,4
Sultan2309,938542548,1893484,3105505,5481505,0,12,0,5481505,3105505,3,1,FALSE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,4,
EvilCoyote2011,997394645,2447567,3741985,3520367,0,15,0,3520367,644367,4,1,FALSE,FALSE,0,0,TRUE,TRUE,3097618,0,0,3,4,4,4
BabyYodaHitta,629856937,1269664,1861184,1026211,0,4,0,1026211,234211,1,1,FALSE,FALSE,0,0,FALSE,TRUE,1626973,0,0,4,,,
Masajj Vemtits,596537312,2554202,3633081,6803501,0,16,0,6803501,3635501,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-2420,0,0,4,4,4,4
joker,976597667,2139755,3259976,4843976,0,8,0,4843976,3259976,2,1,FALSE,TRUE,0,0,FALSE,TRUE,0,0,0,4,4,,
MarkKenoburger,513125742,1896594,2853126,114614,0,0,0,114614,114614,0,1,FALSE,FALSE,0,0,FALSE,FALSE,2738512,0,0,,,,
Maxaron Lexilon,591283737,2936921,3811164,6395374,0,14,0,6395374,3811374,4,1,FALSE,TRUE,0,0,TRUE,TRUE,-210,0,0,3,3,4,4
JamesBond007,188434999,2520414,3341294,120534,0,0,0,120534,120534,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3220760,0,0,,,,
wamakima5004,556569861,2676380,3653326,113533,0,0,0,113533,113533,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3539793,0,0,,,,
MINI xipokemastrix,242144976,1851882,2626402,107754,0,0,0,107754,107754,0,1,FALSE,FALSE,0,0,FALSE,FALSE,2518648,0,0,,,,
Exeel,184344456,2892047,3867356,121331,0,0,0,121331,121331,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3746025,0,0,,,,
Elros Halfelven,592184954,2676804,3695605,116900,0,0,0,116900,116900,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3578705,0,0,,,,
Zlada14,825875376,2611698,3609569,113254,0,0,0,113254,113254,0,1,FALSE,FALSE,0,0,FALSE,FALSE,3496315,0,0,,,,
