name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Obi Won Sebroni,247341668,1738934,2477149,14642936,23,31,0,9265708,4245208,5,0,TRUE,TRUE,258595,80400,FALSE,FALSE,0,0,0,,,,,,,
Larping Soccer Moms,962753997,1522691,2054488,8266433,15,20,0,3042892,1638892,1,0,TRUE,FALSE,0,65373,FALSE,FALSE,1938287,0,0,,,,,4,,
Loadage,268951863,2725284,3640161,20791239,15,38,0,13988763,6367263,7,1,TRUE,TRUE,74026,81298,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Wolfman314,144353549,2711113,3704368,17444242,13,36,0,14036213,6414713,7,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
OttoVonGens,994659641,2938672,4396656,22535322,50,38,0,14969027,7347527,7,1,TRUE,TRUE,580185,412932,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Zhil Axfow,826592934,2866662,3633912,15879225,39,32,0,9849816,4125816,5,1,FALSE,TRUE,490956,253988,TRUE,FALSE,0,2374758,0,4,4,4,4,4,,
Higgs,265535499,2407780,3354488,18870997,16,35,0,12640487,5762987,7,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,3,4,4,4,1,1
Agave,148199846,2695560,3695751,20777514,50,37,3,14025014,6403514,7,1,TRUE,TRUE,409851,332032,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Dark Penguin,894569678,1916904,2576705,15837934,17,37,0,11758636,4509136,7,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,4,4,4,4,1,1
BraZ,193116527,2244038,3260462,7635985,6,17,0,6609144,3369144,3,0,FALSE,TRUE,100075,50644,FALSE,FALSE,0,2135356,0,,,,,,,
Baxston Kane,473373554,2902802,3977028,18576288,12,38,0,11298122,3676622,7,1,TRUE,FALSE,0,76001,TRUE,TRUE,3203208,0,0,4,4,4,4,4,1,1
Tommyboy85,929389526,2839959,3831717,21093530,17,37,0,14300217,6678717,7,1,TRUE,TRUE,0,134800,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Promethean,245711569,2382007,3375391,16986359,5,31,0,11526968,5802968,5,0,TRUE,TRUE,0,32998,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Guntha Arbos,248271439,2616564,3862912,18974545,2,35,0,12225099,6501099,7,0,TRUE,TRUE,0,32148,TRUE,TRUE,0,0,0,4,4,4,4,4,0,0
Philo Beddoe,753225541,2591721,3493476,15887138,5,33,0,12881697,6085197,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
Flywire,515621617,2319576,3407705,16174265,4,29,0,10974560,5734160,5,0,TRUE,TRUE,0,32377,TRUE,FALSE,0,0,0,4,4,4,4,3,,
Gryphix,997239157,2853700,4094217,5477734,1,18,0,4733141,461141,4,0,FALSE,FALSE,0,0,FALSE,FALSE,3633076,2392559,461141,3,4,4,,4,,
AKB,461667365,2495374,3694290,20696821,7,38,0,13834321,6212821,7,1,TRUE,TRUE,0,28617,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
SloppySaberFlavor,671337993,2513944,3604897,3691132,25,10,0,2317917,913917,1,1,FALSE,FALSE,558070,212744,FALSE,FALSE,2690980,1600027,913917,,,,,4,,
Revanche Gilder,926679294,2785388,3561250,20720643,12,38,0,13991393,6369893,7,0,TRUE,TRUE,239047,89910,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
ONE,873729113,2665759,3890616,17767916,1,29,0,11990276,6557276,7,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,3,3,3,4,4,1,0
Argarax,545871634,2217883,3576122,16091599,3,36,0,9344552,3620552,5,1,FALSE,TRUE,0,84455,TRUE,FALSE,0,2173453,0,4,4,4,4,4,,
MINI Stewabob,552522334,1517303,2279767,8761921,0,27,0,3604180,364180,3,0,FALSE,FALSE,0,0,FALSE,FALSE,1915587,1153123,364180,,,,,,,
