name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
ShootMeow,118543169,2817544,3989151,41128181,2,57,0,5347544,2817544,1,0,TRUE,FALSE,0,0,FALSE,TRUE,3989151,0,0,,,,,,1
M1TTH,124849497,2067868,2663729,12501499,18,23,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,2663729,2067868,0,,,,,,
Wolfman314,144353549,2711364,3711558,34800401,16,54,0,5247716,2717716,1,0,TRUE,FALSE,0,0,FALSE,TRUE,3705206,0,0,,,,,,1
ilekkund2,148163689,2362160,2995530,38230512,17,56,0,4978248,2448248,1,0,TRUE,FALSE,176331,86088,FALSE,TRUE,2909442,0,0,,,,,,1
Agave,148199846,2697794,3707769,32914369,80,53,3,3023135,3023135,0,0,TRUE,FALSE,622871,325341,FALSE,FALSE,3382428,0,0,,,,,,
Exeel,184344456,2899465,3869253,9694298,1,8,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3869253,2899465,0,,,,,,
JamesBond007,188434999,2522115,3343694,15613512,0,24,0,2522115,2522115,0,0,TRUE,FALSE,0,0,FALSE,FALSE,3343694,0,0,,,,,,
BraZ,193116527,2246258,3271781,13790565,14,25,0,180524,180524,0,0,FALSE,FALSE,106422,74102,FALSE,FALSE,3091257,2065734,180524,,,,,,
ilekkund,214848174,3153923,4495416,42975524,21,56,0,3214639,3214639,0,0,TRUE,FALSE,411282,60716,FALSE,FALSE,4434700,0,0,,,,,,
drkknight13,235623811,2085473,3274715,3027389,2,4,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3274715,2085473,0,,,,,,
