name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Larping Soccer Moms,962753997,1436954,1861904,14090483,4,34,0,9352579,3300079,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,3,3,4,4,4,,1
Guntha Arbos,248271439,2410539,3543072,15196644,7,32,0,9277362,3553362,5,0,FALSE,TRUE,0,77080,TRUE,FALSE,0,2400249,0,4,4,4,4,4,,
wamakima5004,556569861,2486278,3471597,6498513,4,15,0,150916,150916,0,1,FALSE,FALSE,53430,0,FALSE,FALSE,3320681,2335362,150916,,,,,,,
Loadage,268951863,2391264,3013804,19214055,8,38,0,13030836,5409336,7,1,TRUE,TRUE,67101,38385,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
s o l o,334171458,2967734,4394670,18193865,50,36,0,10621676,4897676,5,1,FALSE,TRUE,488256,317613,TRUE,FALSE,0,2464728,0,4,4,4,4,4,,
BabyYodaHitta,629856937,1079413,1640041,7967263,4,21,0,4053481,1644481,5,1,FALSE,TRUE,0,13977,FALSE,FALSE,0,1074973,0,1,3,4,,1,,
ilekkund,214848174,2886257,4112812,18467162,9,38,0,14622645,7001145,7,1,TRUE,TRUE,169611,33276,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Higgs,265535499,2143603,3102801,13836303,12,31,0,11300783,5248283,7,1,TRUE,TRUE,53385,85315,TRUE,TRUE,0,0,0,3,3,4,4,4,0,1
MINI xipokemastrix,242144976,1605009,2341038,14729971,21,35,0,9220887,3980487,6,1,TRUE,TRUE,342945,158420,TRUE,FALSE,0,0,0,4,4,4,4,3,,
Tomer Nola,251223811,2458670,3524408,17461783,13,38,0,13609643,5988143,7,1,TRUE,TRUE,122248,56188,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
TacoPizza,797491243,2028184,2977758,17658249,6,36,0,11804491,5007991,6,0,TRUE,TRUE,61577,76238,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
The Wall,947443938,1886439,2852811,11910531,5,29,0,9240482,4744082,7,0,TRUE,TRUE,0,15198,TRUE,TRUE,0,0,0,3,3,4,4,3,0,0
GANIC,357417789,1823020,2773472,16754951,4,35,0,11395408,4598908,6,0,TRUE,TRUE,0,22432,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
Kypomm,631928359,2614412,3559171,11237041,4,31,0,7460494,3188494,5,1,TRUE,FALSE,115932,27670,FALSE,FALSE,2985089,0,0,3,4,4,,4,,
Heywood Jablowme,677183999,2748940,3996247,20170532,12,36,0,13298285,6749285,7,0,TRUE,TRUE,0,22233,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
Dark Penguin,894569678,1753777,2323511,15097082,6,34,0,9893401,4088401,7,1,TRUE,TRUE,0,76824,TRUE,TRUE,0,0,0,3,3,4,4,4,1,0
Obi Won Sebroni,247341668,1150862,1920076,8675689,17,23,2,5927866,3077866,6,0,TRUE,TRUE,10782,82489,FALSE,FALSE,0,0,0,1,2,4,4,,,
MINICalens,499477827,2325412,3542977,15101895,9,33,0,8974784,3622784,5,0,FALSE,TRUE,73967,42295,TRUE,FALSE,0,2245605,0,3,4,4,4,4,,
Gryphix,997239157,2701498,3861002,16016912,10,34,0,9216504,3864504,5,1,FALSE,TRUE,0,25510,TRUE,FALSE,0,2697996,0,3,4,4,4,4,,
Wolfman314,144353549,2625697,3475526,20079074,4,37,0,13727341,6105841,7,1,TRUE,TRUE,0,22107,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
SloppySaberFlavor,671337993,2336253,3297594,1263809,8,3,0,1089198,168798,1,1,FALSE,FALSE,0,29038,FALSE,FALSE,3128796,2167455,168798,,,,,3,,
Zlada14,825875376,2503879,3383423,12877301,20,32,0,9991655,3195155,7,1,TRUE,FALSE,0,0,TRUE,TRUE,2692147,0,0,4,4,4,4,4,0,1
Theflavorgreen,416984533,1904900,3048971,12054740,7,17,0,7908633,4959633,5,0,TRUE,TRUE,0,67871,FALSE,FALSE,0,0,0,3,3,3,,,1,
Argarax,545871634,1637943,2723094,14380010,13,36,0,8488184,2764184,5,1,FALSE,TRUE,0,91334,TRUE,FALSE,0,1596853,0,4,4,4,4,4,,
MINI Stewabob,552522334,1308691,1865606,4578721,7,8,0,4413682,1553182,3,0,TRUE,FALSE,0,22447,FALSE,FALSE,1621115,0,0,3,4,,,,,1
Baxston Kane,473373554,2628200,3709533,12680011,4,20,0,12529099,6352099,7,1,TRUE,TRUE,0,22734,TRUE,TRUE,0,0,0,3,4,4,4,4,1,0
Neeb,648797678,2321115,3302446,10536214,6,28,0,8098749,3406749,5,1,FALSE,TRUE,103300,20253,TRUE,FALSE,0,2216812,0,2,3,4,4,4,,
Doomslug the Destroyer,549766237,1483460,2107794,11154444,0,21,0,7454273,3615773,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,3,3,4,,,1
Zhil Axfow,826592934,2663180,3381844,11687094,8,17,0,11515921,6046921,6,1,TRUE,TRUE,0,86587,FALSE,FALSE,0,0,0,4,4,4,,4,1,
Exeel,184344456,2617134,3468217,11886188,2,20,0,7625971,3305971,5,1,TRUE,FALSE,62801,28932,FALSE,FALSE,2779380,0,0,,,,,,,
Philo Beddoe,753225541,2432412,3107705,11699791,2,29,0,9730988,3181988,7,1,FALSE,TRUE,40128,16432,TRUE,TRUE,0,2358129,0,4,4,4,4,4,1,0
MINI xIPokemastrIx,182573417,3139087,4725675,15717420,15,38,0,11687282,4065782,7,1,TRUE,FALSE,104686,191810,TRUE,TRUE,3798980,0,0,4,4,4,4,4,1,1
ilekkund2,148163689,2004264,2488101,13136446,5,26,0,12122514,4501014,7,1,TRUE,TRUE,92384,21874,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Flywire,515621617,2245981,3130830,15713364,22,31,0,9706534,5386534,6,1,TRUE,TRUE,0,97402,FALSE,FALSE,0,0,0,,,,,,,
Hirano,193884837,3027190,4244738,7133077,0,15,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,4244738,3027190,0,,,,,,,
MagnusV,743982338,2555594,3665929,16904094,1,37,0,10070165,3273665,7,1,TRUE,FALSE,0,32074,TRUE,TRUE,2947858,0,0,4,4,4,4,4,0,1
LGuy 21,261187434,2437024,3539070,8968268,39,17,0,8703676,3234676,6,0,TRUE,FALSE,502038,362907,FALSE,FALSE,2741418,0,0,4,4,4,,4,1,
Maxaron Lexilon,591283737,2742416,3531709,11191181,4,29,0,7889239,3617239,4,1,FALSE,TRUE,83689,13404,FALSE,FALSE,0,2656886,0,3,4,4,,4,,
Elladan Halfelven,231363518,2704088,3679824,16175673,5,35,0,9616049,3892049,5,1,FALSE,TRUE,208227,28617,TRUE,FALSE,0,2491863,0,4,4,4,4,4,,
Promethean,245711569,2230367,3076543,13857217,6,31,0,7904674,3260674,4,0,FALSE,TRUE,178157,27805,FALSE,FALSE,0,2046236,0,4,4,4,,4,,
Elros Halfelven,592184954,2583017,3527839,13845951,2,28,0,7149692,3585692,3,0,FALSE,TRUE,54397,12787,FALSE,FALSE,0,2525164,0,4,4,,,4,,
ShootMeow,118543169,2556589,3440512,15234013,5,34,0,8916991,3564991,5,1,FALSE,TRUE,75485,42910,TRUE,FALSE,0,2432110,0,3,4,4,4,4,,
Masajj Vemtits,596537312,2423947,3348343,19621101,2,37,0,13396758,5775258,7,1,TRUE,TRUE,122243,0,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
MINI BigFish,131768275,2757594,4084824,2999309,21,7,0,2219326,815326,1,1,FALSE,FALSE,507866,159557,FALSE,FALSE,3269498,1942268,815326,,,,,4,,
Agave,148199846,2437666,3267398,14346806,27,28,1,11171592,5710092,5,1,TRUE,TRUE,272293,316528,FALSE,TRUE,0,0,0,4,4,,,4,1,1
ONE,873729113,2505008,3605706,16535694,4,30,0,10345869,6109869,7,1,TRUE,TRUE,36294,56228,TRUE,TRUE,0,0,0,3,3,3,3,4,0,0
OttoVonGens,994659641,2762179,4051616,16871579,0,36,0,9643822,3466822,7,1,TRUE,FALSE,0,0,TRUE,TRUE,3346973,0,0,3,4,4,4,4,1,0
Chaunce,492994246,2664414,3544667,12865690,3,21,0,12758764,6209764,7,1,TRUE,TRUE,108085,22137,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
AKB,461667365,2348404,3297331,14940939,0,35,0,8767398,3043398,7,1,TRUE,FALSE,0,0,TRUE,TRUE,2602337,0,0,4,4,4,4,4,0,0
M1TTH,124849497,1970538,2525739,10083478,3,22,1,5765739,2525739,3,0,FALSE,TRUE,0,35440,FALSE,FALSE,0,1970538,0,,,,,,,
