Name,Ally Code,Territory Points Total,Territory Points Phase 1,Territory Points Phase 2,Territory Points Phase 3,Territory Points Phase 4,Mission Attempts Phase 1,Mission Attempts Phase 2,Mission Attempts Phase 3,Mission Attempts Phase 4,Mission Waves Total,Mission Waves Phase 1,Mission Waves Phase 2,Mission Waves Phase 3,Mission Waves Phase 4,P1 Ground 187500_297500_500000_792000 [1],P1 Ground 187500_297500_500000_792000 [2],P1 Ground 187500_297500_500000_792000 [3],P1 Ground 187500_297500_500000_792000 [4],P2 Ground 270000_420000_708000_1080000 [1],P2 Ground 270000_420000_708000_1080000 [2],P2 Ground 270000_420000_708000_1080000 [3],P2 Ground 270000_420000_708000_1080000 [4],P2 Ground 351000_546000_920400_1404000 [1],P2 Fleet 825000 [1],P2 Fleet 1072500 [1],P3 Ground 336000_540000_910000_1352000 [1],P3 Ground 336000_540000_910000_1352000 [2],P3 Ground 336000_540000_910000_1352000 [3],P3 Ground 336000_540000_910000_1352000 [4],P3 Fleet 1665000 [1],P3 Fleet 2164500 [1],P4 Ground 405000_675000_1038500_1564000 [1],P4 Ground 405000_675000_1038500_1564000 [2],P4 Ground 405000_675000_1038500_1564000 [3],P4 Ground 405000_675000_1038500_1564000 [4],P4 Ground 1350050_2033200 [1],P4 Fleet 2530000 [1],Platoons Assigned Total,Platoons Assigned Phase 1,Platoons Assigned Phase 2,Platoons Assigned Phase 3,Platoons Assigned Phase 4,Rogue Actions Total,Rogue Actions Phase 1,Rogue Actions Phase 2,Rogue Actions Phase 3,Rogue Actions Phase 4
Revanchist,852762117,51194027,6986538,14242582,15862686,14102221,4,7,6,6,68,16,22,18,12,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,2,2,4,1,1,41,12,11,8,10,0,0,0,0,0
BigMacDbag,931355241,37455182,6610986,13843483,9144502,7856211,4,7,4,5,64,15,22,16,11,3,4,4,4,4,4,4,4,4,1,1,4,4,4,4,0,0,1,3,3,4,0,0,27,20,0,4,3,0,0,0,0,0
B417,667457171,49027957,6490138,13413026,15053658,14071135,4,7,6,6,69,16,22,18,13,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,1,2,3,4,2,1,71,10,29,12,20,0,0,0,0,0
Zhil Axfow,826592934,46890742,6968716,10108993,14430260,15382773,4,5,6,6,64,15,20,16,13,3,4,4,4,4,4,4,4,4,0,0,3,4,4,4,0,1,1,3,3,3,2,1,34,8,15,6,5,0,0,0,0,0
JacenCaedus,634487631,51745368,7788593,10937022,15489815,17529938,4,5,5,6,70,16,20,17,17,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,1,3,4,4,4,1,1,62,12,28,10,12,1,0,0,0,1
SloppySaberFlavor,671337993,22963319,472304,59097,9124706,13307212,0,0,4,6,26,0,0,15,11,0,0,0,0,0,0,0,0,0,0,0,3,4,4,4,0,0,2,2,2,4,0,1,30,20,2,0,8,0,0,0,0,0
Tommyboy85,929389526,56935417,7585381,15193454,16809709,17346873,4,7,6,6,73,16,22,18,17,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,3,4,4,2,1,73,20,11,30,12,0,0,0,0,0
Stargun inoza,992275427,48462410,7222746,13911143,14245143,13083378,4,7,6,6,64,16,21,16,11,4,4,4,4,4,4,4,4,4,0,1,3,4,4,4,0,1,2,2,3,3,0,1,59,20,18,5,16,0,0,0,0,0
Philo Beddoe,753225541,44785243,7288831,12724057,9309538,15462817,4,5,4,6,59,16,14,15,14,4,4,4,4,4,4,0,0,4,1,1,3,4,4,4,0,0,2,3,3,4,1,1,49,8,15,23,3,0,0,0,0,0
Loadage,268951863,57355649,7549066,15166648,16780903,17859032,4,7,6,6,74,16,22,18,18,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,3,4,4,4,2,1,31,11,7,8,5,1,0,0,0,1
ilekkund,214848174,44109275,8156220,14162512,10398271,11392272,4,5,4,5,68,16,20,16,16,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,0,0,3,4,4,4,1,0,31,6,15,0,10,0,0,0,0,0
Flywire,515621617,24925953,257304,5468302,7497796,11702551,0,2,3,5,27,0,8,11,8,0,0,0,0,4,0,0,0,4,0,0,3,4,4,0,0,0,1,2,4,0,0,1,19,6,4,5,4,0,0,0,0,0
Baxston Kane,473373554,35606970,7693322,99710,13112464,14701474,4,0,4,6,45,16,0,16,13,4,4,4,4,0,0,0,0,0,0,0,4,4,4,4,0,0,2,2,4,4,0,1,40,20,0,19,1,1,0,0,0,1
MINI Zan Lucian,617569541,20959546,207731,15715724,211457,4824634,0,7,0,4,33,0,22,0,11,0,0,0,0,4,4,4,4,4,1,1,0,0,0,0,0,0,3,4,4,0,0,0,7,3,0,3,1,0,0,0,0,0
Robbie Brady,349451219,57344498,7975522,15690921,17359584,16318471,4,7,6,6,70,16,22,18,14,4,4,4,4,4,4,4,4,4,1,1,4,4,4,4,1,1,2,3,3,4,1,1,22,2,6,2,12,0,0,0,0,0
