name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Larping Soccer Moms,962753997,1624509,2252715,10994198,12,32,0,7976715,2252715,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,1624509,0,4,4,4,4,4,,
Zhil Axfow,826592934,3066907,3839544,21256130,13,37,0,14538343,6916843,7,1,TRUE,TRUE,73722,110216,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
JustinAlexander11,283842274,2641866,4182964,20699612,1,36,0,13640250,6843750,6,1,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
KaStarkiller,222784581,2044933,2602622,13891118,20,34,0,8412496,3060496,5,1,FALSE,TRUE,457784,132974,TRUE,FALSE,0,1587059,0,3,4,4,4,4,,
Tommyboy85,929389526,2952537,4120308,21988968,14,38,0,14700660,7079160,7,1,TRUE,TRUE,0,228756,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Philo Beddoe,753225541,2820574,3855391,19045570,24,32,0,12022113,6677613,6,1,TRUE,TRUE,138410,52270,FALSE,FALSE,0,0,0,3,4,4,,4,,1
Loadage,268951863,2894063,3987252,4239689,9,0,0,252437,252437,0,1,FALSE,FALSE,0,151711,FALSE,FALSE,3734815,2641626,252437,,,,,,,
BabyYodaHitta,629856937,1389057,2118913,11702168,30,25,0,7498748,3514748,4,1,TRUE,TRUE,363654,147345,FALSE,FALSE,0,0,0,2,4,4,,4,,
ilekkund,214848174,3326100,4763919,13992478,6,20,0,13833811,8109811,5,1,TRUE,TRUE,0,138258,TRUE,FALSE,0,0,0,4,4,4,4,4,,
ilekkund2,148163689,2416353,3244249,17802889,13,36,0,11389590,5665590,5,1,TRUE,TRUE,0,61992,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Higgs,265535499,2520273,3517716,18317791,20,34,0,12216051,6039051,7,1,TRUE,TRUE,232019,226593,TRUE,TRUE,0,0,0,3,4,4,4,4,1,0
MINI xipokemastrix,242144976,2059813,2891788,18637669,12,38,0,12577073,4955573,7,1,TRUE,TRUE,0,28971,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Flywire,515621617,2532036,3644782,11630362,7,19,0,11536047,6184047,5,0,TRUE,TRUE,0,87343,TRUE,FALSE,0,0,0,3,4,4,4,4,,
TacoPizza,797491243,2447601,3552681,19572913,8,37,0,12798496,6001996,6,0,TRUE,TRUE,0,0,TRUE,FALSE,0,0,0,4,4,4,4,4,,1
ShootMeow,118543169,3044991,4250481,13664803,9,21,0,6519598,3218098,3,1,TRUE,FALSE,0,0,FALSE,TRUE,4077374,0,0,,,,,4,1,1
