name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
Obi Won Sebroni,247341668,1040684,1711607,3692750,7,11,0,3692750,1713250,4,0,FALSE,TRUE,0,65719,TRUE,TRUE,-1643,0,0,1,3,3,4
Promethean,245711569,2221289,2992071,5868071,8,15,0,5868071,2992071,4,1,FALSE,TRUE,0,78468,TRUE,TRUE,0,0,0,3,4,4,4
SloppySaberFlavor,671337993,2271301,3241204,2761199,3,13,0,2761199,469199,4,0,FALSE,FALSE,0,29038,TRUE,TRUE,2772005,0,0,3,3,3,4
Seamonster34,569479871,1282711,1972880,4064346,10,12,0,4064346,1974846,4,0,FALSE,TRUE,0,96061,TRUE,TRUE,-1966,0,0,2,3,3,4
DorkHelmet,987949222,2442359,2699313,147104,3,0,0,147104,147104,0,1,FALSE,FALSE,0,36357,FALSE,FALSE,2552209,0,0,,,,
Philo Beddoe,753225541,2361195,3000127,5877755,7,15,0,5877755,3001755,4,0,FALSE,TRUE,0,84717,TRUE,TRUE,-1628,0,0,3,4,4,4
Loadage,268951863,2316985,2835386,6004887,19,16,0,6004887,2836887,4,1,FALSE,TRUE,0,282125,TRUE,TRUE,-1501,0,0,4,4,4,4
Nydot,992622296,1090024,1653076,4034576,5,13,0,4034576,1653076,4,0,FALSE,TRUE,0,35529,TRUE,TRUE,0,0,0,2,3,4,4
BabyYodaHitta,629856937,955910,1499097,3589659,2,12,0,3589659,1500159,4,0,FALSE,TRUE,0,18329,TRUE,TRUE,-1062,0,0,2,3,3,4
LGuy 21,261187434,2392009,3443710,5036659,1,8,0,5036659,3452659,2,1,FALSE,TRUE,0,9046,FALSE,TRUE,-8949,0,0,4,4,,
ilekkund2,148163689,1739007,2312767,3779752,2,16,0,3779752,611752,4,1,FALSE,FALSE,0,12265,TRUE,TRUE,1701015,0,0,4,4,4,4
