name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
Obi Won Sebroni,247341668,1040684,1711607,9590672,15,23,0,5897922,2759922,5,0,TRUE,TRUE,0,80663,FALSE,FALSE,0,0,0,1,3,4,4,,,
Promethean,245711569,2221289,2992071,16805431,20,35,0,10937360,5213360,5,0,TRUE,TRUE,325578,34940,TRUE,FALSE,0,0,0,4,4,4,4,4,,
SloppySaberFlavor,671337993,2271301,3241204,7744673,7,29,0,4983474,663474,5,1,FALSE,FALSE,39682,29038,FALSE,FALSE,2577730,1607827,663474,,,,,,,
Seamonster34,569479871,1282711,1972880,11562114,14,28,0,7497768,3261768,7,0,TRUE,TRUE,0,45318,TRUE,TRUE,0,0,0,3,3,3,3,4,0,0
DorkHelmet,987949222,2442359,2699313,6195185,10,9,0,6048081,2739081,3,1,TRUE,FALSE,168957,29016,FALSE,FALSE,2402591,0,0,,,,,,,
Philo Beddoe,753225541,2361195,3000127,15885694,13,31,0,10007939,5363939,5,0,TRUE,TRUE,146480,25509,FALSE,FALSE,0,0,0,4,4,4,,4,,
Loadage,268951863,2316985,2835386,17710574,30,37,0,11705687,5156687,7,1,TRUE,TRUE,206185,93666,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
Nydot,992622296,1090024,1653076,13655849,8,33,0,9621273,2743773,7,0,TRUE,TRUE,43290,20781,TRUE,TRUE,0,0,0,3,3,4,4,4,1,1
BabyYodaHitta,629856937,955910,1499097,7136654,3,20,0,3546995,1500995,3,1,FALSE,TRUE,0,27081,FALSE,FALSE,0,954012,0,2,4,,,2,,
LGuy 21,261187434,2392009,3443710,18149699,4,29,0,13113040,5863540,7,1,TRUE,TRUE,133098,0,TRUE,TRUE,0,0,0,3,4,4,4,4,1,1
ilekkund2,148163689,1739007,2312767,13184548,7,35,0,9404796,4052796,5,1,TRUE,TRUE,2130,34139,TRUE,FALSE,0,0,0,3,4,4,4,4,,
T swizzle,335186653,1206795,1835022,13722831,16,32,0,9489409,3064909,6,0,TRUE,TRUE,94914,102491,TRUE,FALSE,0,0,0,3,4,4,4,4,,1
xipokemastrix,242144976,1459958,2242656,14436330,15,31,0,9022770,3711270,7,1,TRUE,TRUE,112949,69667,TRUE,TRUE,0,0,0,3,4,4,0,2,1,1
TacoPizza,797491243,1971691,2819515,15752223,4,29,0,10553721,4837221,5,0,TRUE,TRUE,0,65162,FALSE,FALSE,0,0,0,4,4,4,,4,,1
Baxston Kane,473373554,2531197,3604991,15679133,6,34,0,8891571,3211071,7,1,TRUE,FALSE,0,51094,TRUE,TRUE,2925117,0,0,3,3,3,4,4,0,1
Vsarr,789134798,1919593,2591400,10128989,10,21,0,5742830,2662430,3,0,FALSE,TRUE,68129,59380,FALSE,FALSE,0,1848563,0,4,4,,,3,,
starshaker,343886585,2222381,2775837,17753832,31,37,0,11805291,5008791,7,1,TRUE,TRUE,423413,159090,TRUE,TRUE,0,0,0,4,4,4,4,4,0,1
Neeb,648797678,2277057,3215802,14834607,5,27,0,9528278,5496278,7,1,TRUE,TRUE,0,37632,TRUE,TRUE,0,0,0,2,2,3,4,4,0,0
Zhil Axfow,826592934,2644149,3343499,17017824,14,27,0,11087214,5997714,5,1,TRUE,TRUE,37326,60512,FALSE,TRUE,0,0,0,3,4,,,4,1,1
Wolfman,998737698,2041792,2342496,12058259,5,22,0,12008914,4387414,7,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Elyana,967665728,2232466,3167651,17995598,6,36,0,11950679,5401679,7,1,TRUE,TRUE,0,15677,TRUE,TRUE,0,0,0,4,4,4,4,4,1,0
Masajj Vemtits,596537312,2388856,3263880,13415469,11,22,0,13276841,5655341,7,1,TRUE,TRUE,227704,28631,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Calens,499477827,2244796,3443272,14935612,8,33,0,8615218,3551218,5,0,FALSE,TRUE,103746,55164,TRUE,FALSE,0,2136850,0,2,4,4,4,4,,
Wolfman314,144353549,2599032,3423650,13856564,10,16,0,9600649,6036649,3,1,TRUE,TRUE,0,36441,FALSE,FALSE,0,0,0,4,4,,,4,,
R2,821581635,2699044,3767272,750023,3,3,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3767272,2699044,0,,,,,,,
R2,821581635,2699044,3767272,750023,3,3,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3767272,2699044,0,,,,,,,
ONE,873729113,2431574,3521628,15597229,9,27,0,10278077,5958077,7,1,TRUE,TRUE,135145,55039,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0
ExcellentNutAlt,439645938,949188,1323413,4774144,6,10,0,4756163,2278163,5,0,TRUE,TRUE,0,34169,FALSE,FALSE,0,0,0,1,2,3,4,,,
Elrohir Halfelven,466659739,840700,1500260,6168510,1,15,0,2582255,1502255,1,0,FALSE,TRUE,0,0,FALSE,FALSE,0,838705,0,,,,,,,
Elrohir Halfelven,466659739,840700,1500260,6168510,1,15,0,2582255,1502255,1,0,FALSE,TRUE,0,0,FALSE,FALSE,0,838705,0,,,,,,,
Greeve,988959612,2439817,3620389,20475944,3,38,1,13686022,6064522,7,1,TRUE,TRUE,0,55659,TRUE,TRUE,0,0,0,4,4,4,4,4,1,1
Larping Soccer Moms,962753997,1385436,1808712,12547595,0,31,0,7862685,3218685,5,1,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,4,4,4,,4,,
Snake,423813339,951450,1459216,2543872,1,4,0,2539216,1459216,1,0,FALSE,TRUE,0,0,FALSE,FALSE,0,951450,0,,,,,,,
HiddenWolf,869432175,2402906,3222054,15154264,7,27,0,9950304,5630304,5,1,TRUE,TRUE,0,51283,FALSE,FALSE,0,0,0,,,,,,,
Elros Halfelven,592184954,2542205,3456881,14144345,5,27,0,7805256,4241256,5,1,FALSE,TRUE,166297,12787,FALSE,FALSE,0,1757830,0,4,4,,,4,,
Guntha Arbos,248271439,2420449,3437902,17586633,8,33,0,11584490,5860490,5,0,TRUE,TRUE,109157,82419,TRUE,FALSE,0,0,0,4,4,4,4,4,,
Spectrum,411242948,1928593,2228811,14410524,17,32,0,9304534,4159534,6,1,TRUE,TRUE,75557,90759,FALSE,FALSE,0,0,0,,,,,,,
Higgs,265535499,2127111,3052138,16948455,13,33,0,11604294,5179794,6,1,TRUE,TRUE,0,94031,TRUE,FALSE,0,0,0,3,4,4,4,4,,1
