name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
Greeve,988959612,2439817,3620389,48328507,9,68,1,12549572,6067072,5,0,TRUE,TRUE,0,53361,FALSE,TRUE,0,0,0,2,2,3,4,,1
Loadage,268951863,2316985,2835386,43474533,61,66,0,11370699,5158199,5,0,TRUE,TRUE,229331,127235,FALSE,TRUE,0,0,0,1,2,3,4,,1
LGuy 21,261187434,2392009,3443710,43447356,10,53,3,10636006,5867006,3,0,TRUE,TRUE,50254,27715,FALSE,TRUE,0,0,0,2,4,,,,1
Elyana,967665728,2232466,3167651,41723756,9,62,0,10741915,5418415,5,0,TRUE,TRUE,59765,0,FALSE,TRUE,0,0,0,1,2,2,3,,1
Zhil Axfow,826592934,2644149,3343499,40957089,41,51,0,11131578,5999078,3,0,TRUE,TRUE,198006,101539,FALSE,TRUE,0,0,0,3,4,,,,1
Baxston Kane,473373554,2531197,3604991,40397661,13,59,0,11860607,6173607,5,0,TRUE,TRUE,53283,39018,FALSE,TRUE,0,0,0,1,2,3,3,,1
AKB,461667365,2265625,3235659,40216142,18,62,0,10346065,5504565,5,0,TRUE,TRUE,53829,35508,FALSE,FALSE,0,0,0,2,3,4,4,,
Guntha Arbos,248271439,2420449,3437902,39078237,16,61,0,10207960,5891960,5,0,TRUE,TRUE,65589,94913,FALSE,FALSE,0,0,0,2,3,3,4,,
Maxaron Lexilon,591283737,2620726,3427399,38430057,5,51,0,11116530,6063030,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,2,3,,1
Kypomm,631928359,2590343,3454433,37746304,5,52,0,9931646,6051646,3,0,TRUE,TRUE,0,28999,FALSE,TRUE,0,0,0,2,2,,,,1
ilekkund2,148163689,1739007,2312767,37067752,15,65,0,10966852,4120852,5,0,TRUE,TRUE,121635,69282,FALSE,TRUE,0,0,0,2,3,3,4,,1
Promethean,245711569,2221289,2992071,36368651,48,56,0,6777360,5213360,1,0,TRUE,TRUE,281933,85508,FALSE,FALSE,0,0,0,4,,,,,
Neeb,648797678,2277057,3215802,36188941,20,46,0,10555556,5502056,5,0,TRUE,TRUE,100929,84727,FALSE,TRUE,0,0,0,1,1,2,3,,1
Higgs,265535499,2127111,3052138,35817360,19,52,0,9604923,5184923,5,0,TRUE,TRUE,0,41050,FALSE,TRUE,0,0,0,1,1,1,2,,1
Zaphod,523832521,1856507,3023911,35430921,4,54,0,10209339,4900339,5,0,TRUE,TRUE,0,28962,FALSE,TRUE,0,0,0,1,1,1,4,,1
ONE,873729113,2431574,3521628,35152592,19,45,0,8086221,5967721,5,0,TRUE,TRUE,92264,97925,FALSE,FALSE,0,0,0,1,2,3,,,
Dark Penguin,894569678,1668601,2178583,34655423,5,52,0,9178467,3854967,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,2,3,,1
Philo Beddoe,753225541,2361195,3000127,34396403,27,49,0,6453235,5373235,3,0,TRUE,TRUE,95702,105380,FALSE,FALSE,0,0,0,1,2,,,,
Elros Halfelven,592184954,2542205,3456881,33993431,12,50,0,12149996,6030996,5,0,TRUE,TRUE,107472,27625,FALSE,TRUE,0,0,0,2,2,2,4,,1
Spectrum,411242948,1928593,2228811,33784652,21,54,0,8948178,4164678,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,1,1,3,,1
Diesel87,626734493,1572995,2565545,32685221,53,54,1,8793763,4145263,4,0,TRUE,TRUE,177837,289144,FALSE,TRUE,0,0,0,1,2,3,,,1
TacoPizza,797491243,1971691,2819515,32404137,5,49,1,6403655,4839655,1,0,TRUE,TRUE,0,26557,FALSE,FALSE,0,0,0,4,,,,,
HiddenWolf,869432175,2402906,3222054,32309681,20,44,0,7128252,5643252,4,0,TRUE,TRUE,73656,19323,FALSE,FALSE,0,0,0,1,1,2,,,
Masajj Vemtits,596537312,2388856,3263880,31226909,29,41,0,11782595,5663595,5,0,TRUE,TRUE,138057,101382,FALSE,TRUE,0,0,0,2,2,2,4,,1
xipokemastrix,242144976,1459958,2242656,30924350,36,52,0,6549239,3755739,5,0,TRUE,TRUE,60377,168302,FALSE,FALSE,0,0,0,1,2,2,3,,
Calens,499477827,2244796,3443272,29533066,16,49,1,8446153,5694153,3,0,TRUE,TRUE,103746,88767,FALSE,FALSE,0,0,0,2,3,3,,,
starshaker,343886585,2222381,2775837,29342328,42,49,0,11588496,5012496,5,0,TRUE,TRUE,573868,28642,FALSE,TRUE,0,0,0,1,3,3,4,,1
M1TTH,124849497,1881475,2488310,28490306,8,35,0,7629848,4424848,2,0,TRUE,TRUE,116518,0,FALSE,TRUE,0,0,0,2,,,,,1
Wolfman,998737698,2041792,2342496,27971440,14,41,0,8581990,2531490,5,0,TRUE,FALSE,110021,48959,FALSE,TRUE,1852798,0,0,1,3,3,3,,1
Wolfman314,144353549,2599032,3423650,27245829,38,36,1,8654279,3330779,5,1,TRUE,FALSE,208926,152335,FALSE,TRUE,2691903,0,0,1,2,2,3,,1
Nydot,992622296,1090024,1653076,26387379,12,49,0,4639269,2749269,5,0,TRUE,TRUE,0,12877,FALSE,FALSE,0,0,0,1,1,1,2,,
Argarax,545871634,1572219,2585739,25985188,27,50,3,7852276,4169776,5,0,TRUE,TRUE,54033,138957,FALSE,FALSE,0,0,0,1,2,3,4,,
SloppySaberFlavor,671337993,2271301,3241204,25941625,18,41,0,6592726,5512726,3,0,TRUE,TRUE,0,90401,FALSE,FALSE,0,0,0,1,2,,,,
T swizzle,335186653,1206795,1835022,25633556,33,49,0,5228830,3068830,4,0,TRUE,TRUE,51936,83847,FALSE,FALSE,0,0,0,1,1,2,2,,
DorkHelmet,987949222,2442359,2699313,24840152,15,24,0,7410655,5171655,2,0,TRUE,TRUE,81104,0,FALSE,FALSE,0,0,0,2,4,,,,
Indeedus,636721338,1774817,2783290,22994454,6,33,0,6329426,4574426,4,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,2,2,,,
Corran Horn,159984528,1772148,2605137,22809843,46,29,2,4839528,1904528,2,0,TRUE,FALSE,0,24621,FALSE,TRUE,2472757,0,0,1,,,,,1
Tommy,225191489,1062650,1974101,20496645,16,39,0,4037042,1513542,4,0,TRUE,FALSE,10477,33264,FALSE,FALSE,1523209,0,0,1,1,2,3,,
Larping Soccer Moms,962753997,1385436,1808712,20378810,0,38,0,5094062,1525562,2,0,TRUE,FALSE,0,0,FALSE,TRUE,1668586,0,0,3,,,,,1
Seamonster34,569479871,1282711,1972880,19674803,53,33,0,4308338,3269838,2,0,TRUE,TRUE,355360,113090,FALSE,FALSE,0,0,0,3,,,,,
Vsarr,789134798,1919593,2591400,19639585,32,28,1,2122695,2122695,0,0,TRUE,FALSE,0,200318,FALSE,FALSE,2388298,0,0,,,,,,
Stewabob,552522334,1276557,1766502,19225586,11,30,0,4500396,3056896,4,0,TRUE,TRUE,0,13911,FALSE,FALSE,0,0,0,1,3,,,,
Quinton Samulson,334914382,1521682,2188451,18122914,6,27,0,6011481,1767981,3,0,TRUE,FALSE,27575,13939,FALSE,TRUE,1942152,0,0,2,3,,,,1
Obi Won Sebroni,247341668,1040684,1711607,17912347,31,31,0,3857946,2777946,3,0,TRUE,TRUE,239217,28327,FALSE,FALSE,0,0,0,1,2,,,,
BabyYodaHitta,629856937,955910,1499097,14825559,8,28,0,3541509,2461509,4,0,TRUE,TRUE,0,22234,FALSE,FALSE,0,0,0,1,2,,,,
akb2,991413647,884059,1336813,14284917,15,30,0,3031804,2221804,5,0,TRUE,TRUE,0,79617,FALSE,FALSE,0,0,0,1,1,,,,
akb2,991413647,884059,1336813,14284917,15,30,0,3031804,2221804,5,0,TRUE,TRUE,0,79617,FALSE,FALSE,0,0,0,1,1,,,,
ExcellentNutAlt,439645938,949188,1323413,12827552,17,21,0,2696546,2291546,2,0,TRUE,TRUE,373564,25830,FALSE,FALSE,0,0,0,1,,,,,
Elrohir Halfelven,466659739,840700,1500260,10489088,2,19,0,1907789,1502789,1,0,TRUE,FALSE,0,14011,FALSE,FALSE,838171,0,0,1,,,,,
Elrohir Halfelven,466659739,840700,1500260,10489088,2,19,0,1907789,1502789,1,0,TRUE,FALSE,0,14011,FALSE,FALSE,838171,0,0,1,,,,,
Snake,423813339,951450,1459216,6925930,1,9,0,1472842,1472842,1,0,TRUE,FALSE,0,0,FALSE,FALSE,937824,0,0,,,,,,
R2,821581635,2699044,3767272,750023,3,3,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3767272,2699044,0,,,,,,
R2,821581635,2699044,3767272,750023,3,3,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3767272,2699044,0,,,,,,
