name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4
OttoVonGens,994659641,2803579,4228011,3777101,17,15,0,3777101,901101,4,1,false,false,0,274883,true,true,3326910,0,0,3,4,4,4
TacoPizza,797491243,2118354,3157019,6325250,10,16,0,6325250,3157250,4,1,false,true,0,111956,true,true,-231,0,0,4,4,4,4
Zlada14,825875376,2573563,3496573,6373483,20,15,0,6373483,3497483,4,1,false,true,0,226657,true,true,-910,0,0,3,4,4,4
GANIC,357417789,2029960,2924290,5216266,16,13,0,5216266,2924266,4,1,false,true,0,197094,true,true,24,0,0,3,3,3,4
Heywood Jablowme,677183999,2844992,4182544,7058544,20,15,0,7058544,4182544,4,1,false,true,0,346320,true,true,0,0,0,3,4,4,4
Obi Won Sebroni,247341668,1543870,2307144,2962812,14,13,0,2962812,581312,4,0,false,false,0,162074,true,true,1725832,0,0,2,3,4,4
Calens,499477827,2457317,3670973,6545465,4,15,0,6545465,3669465,4,1,false,true,0,60469,true,true,1508,0,0,3,4,4,4
Promethean,245711569,2251322,3127583,6295583,10,16,0,6295583,3127583,4,1,false,true,0,136755,true,true,0,0,0,4,4,4,4
Revanche Gilder,926679294,2484391,3252877,3644563,13,15,0,3644563,768563,4,1,false,false,0,191768,true,true,2484314,0,0,3,4,4,4
Guntha Arbos,248271439,2565651,3715399,6388965,14,14,0,6388965,3715465,4,1,false,true,0,347421,true,true,-66,0,0,2,4,4,4
Loadage,268951863,2528018,3348518,6226108,2,15,0,6226108,3350108,4,1,false,true,0,55882,true,true,-1590,0,0,3,4,4,4
Argarax,545871634,2172419,3262863,6151982,10,15,0,6151982,3275982,4,1,false,true,0,196860,true,true,-13119,0,0,3,4,4,4
Baxston Kane,473373554,2773130,3863865,7041053,8,16,0,7041053,3873053,4,1,false,true,0,184167,true,true,-9188,0,0,4,4,4,4
SloppySaberFlavor,671337993,2462985,3459230,131942,1,0,0,131942,131942,0,1,false,false,0,8749,false,false,3327288,0,0,,,,
ONE,873729113,2591407,3743125,5537838,3,10,0,5537838,3745838,3,1,false,true,0,47995,false,true,-2713,0,0,3,3,4,
Tommyboy85,929389526,2809698,3644559,6812559,3,16,0,6812559,3644559,4,1,false,true,0,72704,true,true,0,0,0,4,4,4,4
s o l o,334171458,3237401,4651714,7819714,6,16,0,7819714,4651714,4,1,false,true,0,162747,true,true,0,0,0,4,4,4,4
Maxaron Lexilon,591283737,2871391,3715469,5799854,2,11,0,5799854,3715854,3,1,false,true,0,42628,false,true,-385,0,0,3,4,4,
Chaunce,492994246,2769756,3755463,3883222,4,16,0,3883222,715222,4,1,false,false,0,92185,true,true,3040241,0,0,4,4,4,4
Neeb,648797678,2368129,3458999,5048544,1,9,0,5048544,3459044,4,1,false,true,0,17275,true,true,-45,0,0,2,3,4,0
Zhil Axfow,826592934,2798113,3502582,1979043,1,8,0,1979043,395043,2,1,false,false,0,21837,false,true,3107539,0,0,4,4,,
Plucky Haydon,924737972,2476151,3576023,123500,0,0,0,123500,123500,0,1,false,false,0,0,false,false,3452523,0,0,,,,
Philo Beddoe,753225541,2546575,3305802,3571950,1,15,0,3571950,695950,4,1,false,false,0,23758,true,true,2609852,0,0,3,4,4,4
Higgs,265535499,2343695,3215763,2765020,0,13,0,2765020,473020,4,0,false,false,0,0,true,true,2742743,0,0,3,3,3,4
The Wall,947443938,2048016,3113597,5405785,0,13,0,5405785,3113785,4,1,false,true,0,0,true,true,-188,0,0,3,3,3,4
Wolfman314,144353549,2682622,3613282,3748312,0,16,0,3748312,580312,4,1,false,false,0,0,true,true,3032970,0,0,4,4,4,4
AKB,461667365,2433167,3531118,6700180,0,16,1,6700180,3532180,4,1,false,true,0,0,true,true,-1062,0,0,4,4,4,4
JustinAlexander11,283842274,2214727,3499483,6667693,0,16,0,6667693,3499693,4,1,false,true,0,0,true,true,-210,0,0,4,4,4,4
EvilCoyote2011,997394645,2378187,3609748,6486324,0,15,0,6486324,3610324,4,1,false,true,0,0,true,true,-576,0,0,3,4,4,4
Theflavorgreen,416984533,2006225,3229258,4821098,0,9,0,4821098,3231598,3,0,false,true,0,0,false,true,-2340,0,0,2,3,4,
Veristas,744324542,1995866,2732550,5764297,0,15,0,5764297,2888297,4,0,false,true,0,0,true,true,-155747,0,0,3,4,4,4
PadawanTano,584733846,1251360,1690909,2604284,0,12,0,2604284,514784,4,1,false,false,0,0,true,true,1176125,0,0,2,3,3,4
Doomslug the Destroyer,549766237,1851592,2444914,924534,0,4,0,924534,132534,1,0,false,false,0,0,false,true,2312380,0,0,4,,,
Larping Soccer Moms,962753997,1490533,1949677,3442338,0,15,0,3442338,566338,4,1,false,false,0,0,true,true,1383339,0,0,3,4,4,4
Flywire,515621617,2271459,3264602,2857881,0,12,0,2857881,481881,3,1,false,false,0,0,false,true,2782721,0,0,4,4,4,
MINI xipokemastrix,242144976,1797810,2497518,5374061,0,15,0,5374061,2498061,4,1,false,true,0,0,true,true,-543,0,0,3,4,4,4
ShootMeow,118543169,2698989,3771791,6954618,0,16,0,6954618,3786618,4,1,false,true,0,0,true,true,-14827,0,0,4,4,4,4
wamakima5004,556569861,2574647,3520702,3806088,0,16,0,3806088,638088,4,1,false,false,0,0,true,true,2882614,0,0,4,4,4,4
Gryphix,997239157,2766947,3979296,7149270,0,16,0,7149270,3981270,4,1,false,true,0,0,true,true,-1974,0,0,4,4,4,4
Agave,148199846,2559242,3399275,5984638,0,14,0,5984638,3400638,4,1,false,true,0,0,true,true,-1363,0,0,3,3,4,4
MINI Stewabob,552522334,1472231,2082144,1012795,0,4,0,1012795,220795,1,1,false,false,0,0,false,true,1861349,0,0,4,,,
Elros Halfelven,592184954,2617876,3629629,1961003,0,8,0,1961003,377003,2,1,false,false,0,0,false,true,3252626,0,0,4,4,,
ilekkund,214848174,3130373,4257735,7425735,0,16,0,7425735,4257735,4,1,false,true,0,0,true,true,0,0,0,4,4,4,4
ilekkund2,148163689,2261298,2727481,5895481,0,16,0,5895481,2727481,4,1,false,true,0,0,true,true,0,0,0,4,4,4,4
Exeel,184344456,2681093,3668809,121331,0,0,0,121331,121331,0,1,false,false,0,0,false,false,3547478,0,0,,,,
BabyYodaHitta,629856937,1202918,1766895,3058895,0,7,0,3058895,1766895,2,1,false,true,0,0,false,true,0,0,0,3,4,,
joker,976597667,2074216,3111994,119665,0,0,0,119665,119665,0,1,false,false,0,0,false,false,2992329,0,0,,,,
Masajj Vemtits,596537312,2523206,3485177,123678,0,0,0,123678,123678,0,1,false,false,0,0,false,false,3361499,0,0,,,,
