name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1,Fl 2
OttoVonGens,994659641,2803579,4228011,17623730,47,36,1,13846629,7050129,6,1,true,true,569899,304360,true,false,0,0,0,4,4,4,4,4,,1
TacoPizza,797491243,2118354,3157019,18401614,18,37,0,12076364,5279864,6,0,true,true,89275,117849,true,false,0,0,0,4,4,4,4,4,,1
Zlada14,825875376,2573563,3496573,16180778,20,36,0,9807295,3258295,7,1,true,false,0,0,true,true,2811841,0,0,4,4,4,4,4,1,0
GANIC,357417789,2029960,2924290,13004978,16,31,0,7788712,2922712,5,0,false,true,0,0,true,false,0,2031538,0,4,4,4,4,2,,
Heywood Jablowme,677183999,2844992,4182544,19438863,20,34,0,12380319,7028319,6,1,true,true,0,0,true,false,0,0,0,3,4,4,4,4,,
Obi Won Sebroni,247341668,1543870,2307144,10110108,27,26,0,7147296,3859296,6,0,true,true,271136,78853,false,false,0,0,0,2,3,4,4,,,
Calens,499477827,2457317,3670973,15969958,4,35,0,9424493,3700493,5,0,false,true,0,0,true,false,0,2427797,0,4,4,4,4,4,,
Promethean,245711569,2251322,3127583,18329743,11,37,0,12034160,5485160,7,0,true,true,58760,0,true,true,0,0,0,4,4,4,4,4,1,0
Revanche Gilder,926679294,2484391,3252877,11801408,18,31,0,8156845,3512845,4,1,false,true,258353,0,false,false,0,2224423,0,4,4,4,,4,,
Guntha Arbos,248271439,2565651,3715399,18396488,21,34,1,12007523,6283523,5,0,true,true,337272,32842,true,false,0,0,0,4,4,4,4,4,,
Loadage,268951863,2528018,3348518,16063212,4,36,0,9837104,3288104,7,1,true,false,0,63285,true,true,2588432,0,0,4,4,4,4,4,1,0
Argarax,545871634,2172419,3262863,18398996,13,36,0,12247014,5450514,6,1,true,true,0,92749,true,false,0,0,0,4,4,4,4,4,,1
Baxston Kane,473373554,2773130,3863865,20489554,10,37,0,13448501,6652001,6,1,true,true,54749,22732,true,false,0,0,0,4,4,4,4,4,,1
SloppySaberFlavor,671337993,2462985,3459230,8580798,21,18,0,8448856,3468856,5,0,false,true,0,280852,true,false,0,2453359,0,3,3,4,4,4,,
ONE,873729113,2591407,3743125,17556591,4,28,1,12018753,6338253,6,1,true,true,0,15813,true,false,0,0,0,3,3,3,4,4,,1
Tommyboy85,929389526,2809698,3644559,20064747,12,37,0,13252188,6455688,7,1,true,true,205100,167687,true,true,0,0,0,4,4,4,4,4,0,1
s o l o,334171458,3237401,4651714,23349222,27,38,0,15529508,7908008,7,1,true,true,81595,494062,true,true,0,0,0,4,4,4,4,4,1,1
Maxaron Lexilon,591283737,2871391,3715469,11840008,2,30,0,6040154,688154,5,1,false,false,0,0,true,false,3027315,2183237,688154,3,4,4,4,4,,
