name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
OttoVonGens,994659641,2803579,4228011,33915982,56,54,1,16292252,7054752,6,1,true,true,218705,142868,true,true,0,0,0,4,4,4,4,1,1
TacoPizza,797491243,2118354,3157019,30312347,18,53,0,11910733,5279733,5,1,true,true,0,0,true,false,0,0,0,3,4,4,4,1,
Zlada14,825875376,2573563,3496573,25086261,20,52,0,8905483,3497483,4,1,false,true,0,0,true,false,0,2572653,0,4,4,4,4,,
GANIC,357417789,2029960,2924290,25547248,17,48,0,12542270,4969770,6,1,true,true,0,20224,true,true,0,0,0,4,4,4,4,0,1
Heywood Jablowme,677183999,2844992,4182544,28696725,44,48,0,9257862,4733862,4,1,false,true,546379,285885,true,false,0,2293674,0,3,3,4,4,,
Obi Won Sebroni,247341668,1543870,2307144,19495141,56,38,0,9385033,3878533,5,1,true,true,379197,219371,true,false,0,0,0,2,2,3,4,,1
Calens,499477827,2457317,3670973,25552631,25,51,0,9582673,4174673,4,0,false,true,466918,189555,true,false,0,1953617,0,4,4,4,4,,
Promethean,245711569,2251322,3127583,33146665,11,55,0,14816922,5579422,6,1,true,true,0,0,true,true,0,0,0,4,4,4,4,1,1
Revanche Gilder,926679294,2484391,3252877,23830697,43,45,0,12029289,5782789,6,1,true,true,510514,260986,true,true,0,0,0,3,3,3,4,0,1
Guntha Arbos,248271439,2565651,3715399,31755728,22,51,1,13359240,6286240,6,0,true,true,0,33642,true,true,0,0,0,4,4,4,4,1,0
Loadage,268951863,2528018,3348518,30756128,6,53,0,14692916,5897416,6,1,true,true,0,59943,true,true,0,0,0,3,4,4,4,1,1
Argarax,545871634,2172419,3262863,27127724,15,52,0,8728728,3320728,4,1,false,true,0,64797,true,false,0,2114554,0,4,4,4,4,,
Baxston Kane,473373554,2773130,3863865,36380548,14,55,0,15890994,6653494,6,1,true,true,181272,15718,true,true,0,0,0,4,4,4,4,1,1
SloppySaberFlavor,671337993,2462985,3459230,8580798,21,18,0,0,0,0,0,false,false,0,0,false,false,3459230,2462985,0,,,,,,
ONE,873729113,2591407,3743125,31921301,10,43,3,14364710,6381210,6,1,true,true,88715,56368,true,true,0,0,0,2,3,4,4,1,1
Tommyboy85,929389526,2809698,3644559,35776250,27,55,0,15711503,6474003,6,1,true,true,356049,153152,true,true,0,0,0,4,4,4,4,1,1
s o l o,334171458,3237401,4651714,40512270,32,56,0,17163048,7925548,6,1,true,true,81521,124515,true,true,0,0,0,4,4,4,4,1,1
Maxaron Lexilon,591283737,2871391,3715469,18260649,2,38,0,6420641,3716641,2,1,false,true,0,0,false,false,0,2870219,0,4,4,,,,
Chaunce,492994246,2769756,3755463,16730037,9,43,0,8851274,3885274,4,1,false,true,124533,75412,true,false,0,2639945,0,3,4,4,4,,
Neeb,648797678,2368129,3458999,24526237,12,39,0,10851338,5844338,6,1,true,true,101494,122401,true,true,0,0,0,2,2,3,4,1,0
Zhil Axfow,826592934,2798113,3502582,23574130,17,38,0,13902372,6329872,6,1,true,true,152427,111547,true,true,0,0,0,4,4,4,4,0,1
Plucky Haydon,924737972,2476151,3576023,14514007,14,25,0,5625583,757083,3,1,false,false,0,0,false,false,2818940,1719068,757083,4,4,,,,1
Philo Beddoe,753225541,2546575,3305802,27252132,7,48,0,12101744,5881244,5,1,true,true,0,60536,false,false,0,0,0,4,4,4,,,1
Higgs,265535499,2343695,3215763,25385580,17,45,0,11751084,5562084,6,1,true,true,52858,14547,true,true,0,0,0,3,3,4,4,1,0
