name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1,Fl 2
Obi Won Sebroni,247341668,1431551,2178103,20672835,34,36,1,8013826,3621326,4,1,TRUE,TRUE,213403,47618,FALSE,FALSE,0,0,0,1,2,4,,,1
Masajj Vemtits,596537312,2484896,3417391,15696621,8,32,0,8980546,3572546,4,1,FALSE,TRUE,152821,28732,TRUE,FALSE,0,2329741,0,4,4,4,4,,
Doomslug the Destroyer,549766237,1791647,2355671,21978028,4,38,1,9445105,4166105,5,0,TRUE,TRUE,0,39019,FALSE,FALSE,0,0,0,3,4,4,,1,
Larping Soccer Moms,962753997,1479326,1920272,18295483,21,43,0,6577763,2627763,5,1,FALSE,TRUE,293589,62933,TRUE,FALSE,0,771835,0,1,3,4,4,,
Elros Halfelven,592184954,2600667,3600124,24204747,51,49,0,9133783,4167783,4,1,FALSE,TRUE,566764,99516,TRUE,FALSE,0,2033008,0,3,4,4,4,,
AKB,461667365,2393415,3441111,30898766,15,52,0,13095395,4299895,6,1,FALSE,TRUE,138806,126525,TRUE,TRUE,0,1534631,0,3,4,4,4,1,1
SloppySaberFlavor,671337993,2353046,3410358,12173577,8,33,0,1576345,224345,1,1,FALSE,FALSE,0,0,FALSE,FALSE,3186013,2128701,224345,4,,,,,
Agave,148199846,2492262,3333519,26292476,41,52,2,13086541,4291041,6,1,FALSE,TRUE,127993,59178,TRUE,TRUE,0,1534740,0,3,4,4,4,1,1
ONE,873729113,2542233,3672889,25140949,9,40,4,10248133,6223133,6,1,TRUE,TRUE,0,19101,TRUE,TRUE,0,0,0,0,0,0,0,0,0
Philo Beddoe,753225541,2540697,3242938,28680985,12,48,0,10398799,3710299,5,0,FALSE,TRUE,61478,91548,TRUE,FALSE,0,2073336,0,3,3,4,4,,1
Loadage,268951863,2454401,3242001,34293355,9,55,0,14514009,5718509,6,1,TRUE,TRUE,139692,78843,TRUE,TRUE,0,0,0,3,4,4,4,1,1
BOHICA,827612656,2992919,4025224,33588501,36,54,0,14753356,5515856,6,1,FALSE,TRUE,594035,76428,TRUE,TRUE,0,1502287,0,4,4,4,4,1,1
ilekkund,214848174,3059917,4190698,38352050,11,55,0,16059618,7264118,6,1,TRUE,TRUE,187480,78024,TRUE,TRUE,0,0,0,3,4,4,4,1,1
ilekkund2,148163689,2082266,2610872,29728574,10,51,0,12633357,4747857,5,1,TRUE,TRUE,91727,68235,FALSE,TRUE,0,0,0,4,4,4,,1,1
Argarax,545871634,1952986,3087631,29965171,27,53,0,11725159,5094159,6,1,TRUE,TRUE,0,115783,TRUE,TRUE,0,0,0,3,4,4,4,1,0
MINI xipokemastrix,242144976,1745492,2459462,17618736,30,43,0,4833553,2571553,2,1,FALSE,TRUE,108226,160566,FALSE,FALSE,0,1633401,0,3,4,,,,
The Wall,947443938,1976191,3052648,21327203,17,44,0,7715175,3561175,5,1,FALSE,TRUE,78949,0,TRUE,FALSE,0,1467664,0,2,3,4,4,,
TacoPizza,797491243,2092393,3092008,26533495,23,52,0,8576100,3168100,4,1,FALSE,TRUE,72436,28455,TRUE,FALSE,0,2016301,0,4,4,4,4,,
Baxston Kane,473373554,2710190,3810203,33437602,22,54,0,15329939,6534439,6,1,TRUE,TRUE,235248,139216,TRUE,TRUE,0,0,0,3,4,4,4,1,1
GANIC,357417789,1881075,2894317,24220935,23,48,0,8614674,3648674,6,1,FALSE,TRUE,31187,262357,TRUE,TRUE,0,1126718,0,3,4,4,4,0,0
Heywood Jablowme,677183999,2786603,4109580,28244490,20,49,0,8637402,4113402,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2782781,0,3,3,4,4,,
Dark Penguin,894569678,1824203,2415882,27800434,18,52,0,12118324,3322824,6,1,FALSE,TRUE,0,24999,TRUE,TRUE,0,917261,0,3,4,4,4,1,1
PadawanTano,584733846,1152400,1635137,17352224,12,43,0,5650634,1938634,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,848903,0,2,3,3,4,,
Guntha Arbos,248271439,2549018,3672136,23383198,19,45,10,11633495,6225495,4,0,TRUE,TRUE,65231,110806,TRUE,FALSE,0,0,0,4,4,4,4,,
s o l o,334171458,3175926,4581124,40165544,57,56,2,17021084,7783584,6,1,TRUE,TRUE,361594,428764,TRUE,TRUE,0,0,0,4,4,4,4,1,1
BabyYodaHitta,629856937,1175147,1712684,16313167,21,30,0,6847869,2085369,4,1,FALSE,TRUE,58419,12991,FALSE,FALSE,0,802462,0,1,3,4,,,1
Flywire,515621617,2259164,3220391,19187895,16,23,0,14728184,5490684,6,1,TRUE,TRUE,55599,215682,TRUE,TRUE,0,0,0,4,4,4,4,1,1
OttoVonGens,994659641,2796636,4146196,19323216,4,37,0,13961044,5165544,6,1,FALSE,TRUE,67467,90044,TRUE,TRUE,0,1777288,0,3,4,4,4,1,1
MINI Stewabob,552522334,1425645,2046298,21149569,1,40,0,8233312,2454812,4,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1017131,0,3,4,4,,,1
Exeel,184344456,2654711,3632442,18451410,2,29,0,187713,187713,0,1,FALSE,FALSE,62801,24663,FALSE,FALSE,3444729,2466998,187713,,,,,,
Calens,499477827,2389983,3635159,26806412,12,45,2,11732248,6011248,4,0,FALSE,TRUE,50967,53250,FALSE,FALSE,0,13894,0,4,4,4,,1,
Zhil Axfow,826592934,2762692,3467229,33278487,14,54,0,13162899,4367399,6,1,FALSE,TRUE,0,59702,TRUE,TRUE,0,1862522,0,3,4,4,4,1,1
Eddie87,437838588,1948504,2987335,2921336,0,13,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,2987335,1948504,0,,,,,,
Neeb,648797678,2350752,3405210,29175916,11,47,1,12447498,5758998,6,1,TRUE,TRUE,101494,109175,TRUE,TRUE,0,0,0,3,3,4,4,0,1
Promethean,245711569,2250505,3125945,20160292,4,50,0,5579201,613201,4,1,FALSE,FALSE,0,0,TRUE,FALSE,2512744,1637304,613201,3,4,4,4,,
EvilCoyote2011,997394645,2334023,3570923,28913545,1,53,3,13479297,5906797,6,1,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,4,4,4,4,0,1
Higgs,265535499,2273617,3176416,26758098,29,46,0,9787058,4040058,6,1,FALSE,TRUE,45375,14547,TRUE,TRUE,0,1409975,0,3,3,3,4,1,0
Ben8cv,331225772,2651476,3518601,13477089,5,36,0,730167,394167,1,1,FALSE,FALSE,56442,111287,FALSE,FALSE,3124434,2257309,394167,1,,,,,
ShootMeow,118543169,2659120,3667821,27680762,4,51,1,11738131,4607631,6,1,FALSE,TRUE,0,55489,TRUE,TRUE,0,1719310,0,3,4,4,4,0,1
joker,976597667,1999171,3014919,21316255,2,35,0,9863630,3602630,5,1,FALSE,TRUE,0,0,TRUE,FALSE,0,1411460,0,2,4,4,4,1,
Gryphix,997239157,2722970,3895036,30508403,0,53,0,14097414,4859914,6,1,FALSE,TRUE,0,0,TRUE,TRUE,0,1758092,0,4,4,4,4,1,1
LGuy 21,261187434,2617050,3652802,7600522,2,23,0,5632898,666898,4,1,FALSE,FALSE,50254,11374,TRUE,FALSE,2985904,1950152,666898,3,4,4,4,,
Plucky Haydon,924737972,2476433,3544979,3553149,0,15,0,0,0,0,0,FALSE,FALSE,0,0,FALSE,FALSE,3544979,2476433,0,,,,,,
Zlada14,825875376,2564534,3474883,27324211,0,49,0,8883897,3475897,4,1,FALSE,TRUE,0,0,TRUE,FALSE,0,2563520,0,4,4,4,4,,
Theflavorgreen,416984533,1980916,3164574,20462569,5,30,2,9911723,5149223,5,1,TRUE,TRUE,0,39873,FALSE,FALSE,0,0,0,1,3,4,,,1
Chaunce,492994246,2761846,3674361,22387779,23,24,2,14378382,5140882,6,1,FALSE,TRUE,494376,143535,TRUE,TRUE,0,1295325,0,4,4,4,4,1,1
wamakima5004,556569861,2549908,3507278,7094604,7,18,0,5167707,643707,4,1,FALSE,FALSE,0,0,TRUE,FALSE,2863571,1906201,643707,3,3,4,4,,
Wolfman314,144353549,2640605,3571527,26419037,9,37,0,13921303,4683803,6,1,FALSE,TRUE,215802,95883,TRUE,TRUE,0,1528329,0,4,4,4,4,1,1
Maxaron Lexilon,591283737,2795325,3629873,16228054,1,29,1,12216936,3421436,6,1,TRUE,FALSE,37243,0,TRUE,TRUE,3003762,0,0,3,4,4,4,1,1
M1TTH,124849497,1977156,2521908,14037472,10,21,0,5225908,2521908,2,1,FALSE,TRUE,0,0,FALSE,FALSE,0,1977156,0,4,4,,,,
