name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Ch 5,Fl 1
ShootMeow,118543169,2671141,3673908,40072528,6,62,1,12391766,6341266,5,0,TRUE,TRUE,0,55584,FALSE,TRUE,0,0,0,1,3,3,3,,1
M1TTH,124849497,1977156,2521908,22416536,10,26,1,8379064,4499064,3,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,2,,,,1
Wolfman314,144353549,2643742,3578824,36615103,9,42,1,10196066,6222566,3,1,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,3,,,,1
ilekkund2,148163689,2111578,2642246,40331398,32,61,1,10602824,4753824,5,1,TRUE,TRUE,319109,176831,FALSE,TRUE,0,0,0,1,2,2,4,,1
Agave,148199846,2504284,3358641,37744694,65,62,2,11452218,5858718,5,0,TRUE,TRUE,436249,241899,FALSE,TRUE,0,0,0,2,2,2,3,,1
Exeel,184344456,2656354,3638164,30553680,2,39,0,12102270,6294770,4,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,3,4,,,1
ilekkund,214848174,3067600,4195253,51733903,29,66,1,13381853,7262853,5,1,TRUE,TRUE,290772,211586,FALSE,TRUE,0,0,0,2,2,2,4,,1
MINI xipokemastrix,242144976,1747535,2465643,25514414,39,53,0,7895678,4213178,5,0,TRUE,TRUE,151465,133026,FALSE,FALSE,0,0,0,1,2,3,4,,
Promethean,245711569,2250505,3125945,28139242,12,57,0,7978950,5376450,2,0,TRUE,TRUE,249850,64990,FALSE,FALSE,0,0,0,3,4,,,,
Obi Won Sebroni,247341668,1439674,2198925,28596418,35,42,1,7923583,3638583,5,0,TRUE,TRUE,0,13608,FALSE,TRUE,0,0,0,1,2,2,,,1
Guntha Arbos,248271439,2550435,3685653,35349314,23,60,11,11966116,6235616,4,0,TRUE,TRUE,65231,62709,FALSE,FALSE,0,0,0,3,4,4,4,,
LGuy 21,261187434,2622325,3659900,18126247,4,29,0,10525725,6282225,3,0,TRUE,TRUE,50254,17529,FALSE,TRUE,0,0,0,2,3,,,,1
Higgs,265535499,2275135,3177421,36900654,32,53,0,10142556,5452556,5,0,TRUE,TRUE,53385,27199,FALSE,TRUE,0,0,0,1,1,2,2,,1
Loadage,268951863,2470477,3254770,48214623,13,69,1,13921268,5725218,6,0,TRUE,TRUE,0,91668,TRUE,TRUE,0,0,0,2,3,3,4,1,1
Ben8cv,331225772,2651686,3520499,19840931,5,40,0,6363842,2795342,2,0,TRUE,FALSE,0,0,FALSE,TRUE,3376843,0,0,3,,,,,1
s o l o,334171458,3193480,4599503,56218460,87,72,2,16052916,7792416,5,0,TRUE,TRUE,619801,396694,FALSE,TRUE,0,0,0,3,4,4,4,,1
GANIC,357417789,1892026,2906532,31812993,24,56,0,7592058,4798558,5,0,TRUE,TRUE,0,20224,FALSE,FALSE,0,0,0,1,2,2,3,,
Theflavorgreen,416984533,1981700,3167523,26425209,5,32,2,5962640,5152640,3,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,1,,,,
Eddie87,437838588,1957380,2993337,7358173,2,17,0,4436837,2993337,2,0,FALSE,TRUE,0,67597,FALSE,FALSE,0,1957380,0,1,3,,,,
AKB,461667365,2395296,3455364,43224459,17,64,0,12325693,5843193,5,0,TRUE,TRUE,53829,21603,FALSE,TRUE,0,0,0,2,2,3,4,,1
Baxston Kane,473373554,2719189,3814932,46460696,31,66,0,13023094,6540594,5,0,TRUE,TRUE,209133,110576,FALSE,TRUE,0,0,0,2,2,3,4,,1
Chaunce,492994246,2762500,3685684,35048463,28,35,2,12660684,6448184,5,0,TRUE,TRUE,118350,75667,FALSE,TRUE,0,0,0,1,2,3,4,,1
Calens,499477827,2382305,3618765,38131246,13,54,2,11324834,6001334,5,0,TRUE,TRUE,0,26484,FALSE,TRUE,0,0,0,1,2,2,3,,1
Flywire,515621617,2261554,3235013,31017462,23,34,0,11829567,5496567,4,0,TRUE,TRUE,55599,120108,FALSE,TRUE,0,0,0,2,4,4,,,1
Argarax,545871634,1962392,3134342,43354950,32,69,0,13389779,5129279,5,0,TRUE,TRUE,0,94519,FALSE,TRUE,0,0,0,3,4,4,4,,1
wamakima5004,556569861,2549908,3508247,13838458,15,26,0,6743854,3615854,2,0,FALSE,TRUE,107409,189893,FALSE,FALSE,0,2442301,0,4,4,,,,
PadawanTano,584733846,1153178,1646811,25326213,29,51,0,7973989,2799989,4,0,TRUE,TRUE,331417,108138,FALSE,TRUE,0,0,0,1,2,4,,,1
Maxaron Lexilon,591283737,2795325,3631017,27261396,3,36,1,11033342,6426342,3,0,TRUE,TRUE,81629,33031,FALSE,TRUE,0,0,0,3,3,,,,1
Elros Halfelven,592184954,2600667,3602081,36889995,56,61,0,12685248,6202748,5,0,TRUE,TRUE,107472,60564,FALSE,TRUE,0,0,0,2,2,3,4,,1
Masajj Vemtits,596537312,2484896,3419725,26370242,8,39,0,10673621,5904621,3,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,2,4,,,,1
BabyYodaHitta,629856937,1179063,1718535,23493611,21,36,0,7180444,2895444,5,0,TRUE,TRUE,0,0,FALSE,TRUE,0,0,0,1,2,2,,,1
Neeb,648797678,2352060,3406938,37094914,13,53,1,7918998,5758998,5,0,TRUE,TRUE,49581,12946,FALSE,FALSE,0,0,0,1,1,2,2,,
SloppySaberFlavor,671337993,2354781,3414411,19791269,8,38,0,7617692,5769192,5,0,TRUE,TRUE,0,0,FALSE,FALSE,0,0,0,1,1,3,,,
