name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Obi Won Sebroni,247341668,1176604,1955938,6850064,21,1,0,3192482,3192482,3,0,TRUE,TRUE,0,137497,FALSE,FALSE,0,0,0,,,,,
MINICalens,499477827,2350975,3559951,17903692,1,16,0,9210102,5918352,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,0,0,3,4,1
Doomslug the Destroyer,549766237,1599677,2158506,10080474,3,7,0,5372495,3783495,4,0,TRUE,TRUE,21857,11287,FALSE,FALSE,0,0,0,4,,1,,
Masajj Vemtits,596537312,2447089,3364308,17306988,2,15,0,9289959,5817209,4,0,TRUE,TRUE,0,33004,FALSE,TRUE,0,0,0,1,4,3,,1
Larping Soccer Moms,962753997,1442926,1877537,9778445,5,9,0,4165043,3325043,4,0,TRUE,TRUE,0,24304,FALSE,FALSE,0,0,0,3,,,,
MINI UK PedroMontenegro,273676688,2771382,3818423,24490839,39,33,2,12326112,6677112,5,1,TRUE,TRUE,363980,401160,TRUE,TRUE,0,0,0,3,4,4,4,1
Zhil Axfow,826592934,2677128,3396660,15045996,6,8,0,8131800,6076800,4,0,TRUE,TRUE,64423,33544,FALSE,TRUE,0,0,0,4,,,,1
ONE,873729113,2510159,3608076,14059247,1,5,0,6960970,6123970,5,0,TRUE,TRUE,0,0,TRUE,TRUE,0,0,0,1,0,1,0,0
Guntha Arbos,248271439,2421094,3582665,12820950,4,2,0,6411974,6008974,3,0,TRUE,TRUE,62202,0,FALSE,FALSE,0,0,0,1,,,,
Philo Beddoe,753225541,2484885,3175121,14989837,6,10,0,7279142,5690892,4,0,TRUE,TRUE,50194,4656,FALSE,FALSE,0,0,0,2,,3,,
Loadage,268951863,2403796,3050143,18410471,6,22,0,9685669,5460919,4,0,TRUE,TRUE,63491,40928,FALSE,TRUE,0,0,0,4,4,3,,1
s o l o,334171458,3025077,4446696,25380845,50,31,0,12726146,7486646,5,0,TRUE,TRUE,503187,364355,TRUE,TRUE,0,0,0,4,4,3,3,1
ilekkund,214848174,2886431,4114132,22300266,12,24,1,11280239,7008239,5,0,TRUE,TRUE,216891,79742,TRUE,TRUE,0,0,0,3,4,4,0,1
LGuy 21,261187434,2552305,3586842,19601896,5,20,0,10282878,6151128,5,0,TRUE,TRUE,194345,0,TRUE,TRUE,0,0,0,3,0,3,4,1
OttoVonGens,994659641,2781844,4096661,18302666,15,23,0,8065590,3406840,5,0,TRUE,FALSE,0,4656,TRUE,TRUE,3471665,0,0,4,4,1,3,1
ilekkund2,148163689,2009459,2511614,15404978,19,18,0,8767477,4542727,4,0,TRUE,TRUE,256655,99560,FALSE,TRUE,0,0,0,4,4,3,,1
Argarax,545871634,1681046,2818936,10992862,7,10,0,3223511,2820511,2,0,TRUE,FALSE,0,35596,FALSE,FALSE,1679471,0,0,1,,,,
MINI xipokemastrix,242144976,1652907,2344414,9719816,25,6,0,4865036,4025036,3,0,TRUE,TRUE,153633,138511,FALSE,FALSE,0,0,0,3,,,,
