name,allyCode,shipGP,characterGP,territoryPointsContributed,platoonMissionUnitsAssigned,combatMissionWavesCompleted,rogueActions,currentRoundTerritoryPoints,currentRoundGpDeployed,currentRoundCombatMissions,currentRoundSpecialMissions,deployedShips,deployedCharacters,playerPlatoonedShipGp,playerPlatoonedCombatGp,missionsCharacters,missionsShips,minEstimatedCombatDeploymentRemaining,minEstimatedShipDeploymentRemaining,unknownDeploymentPowerRemaining,Ch 1,Ch 2,Ch 3,Ch 4,Fl 1
Masajj Vemtits,596537312,2546747,3542958,7066205,1,3,0,7066205,6089705,3,0,TRUE,TRUE,78472,0,FALSE,FALSE,0,0,0,1,2,,,
Larping Soccer Moms,962753997,1517216,2041142,5237678,1,5,0,5237678,3558778,4,0,TRUE,TRUE,0,20949,FALSE,FALSE,0,0,0,,,,,
Zhil Axfow,826592934,2849001,3600756,7302795,5,3,0,7302795,6462795,5,0,TRUE,TRUE,109508,62720,TRUE,TRUE,0,0,0,3,0,0,0,0
Zlada14,825875376,2609897,3592586,9043615,30,9,0,9043615,6209715,3,0,TRUE,TRUE,481166,264294,FALSE,FALSE,0,0,0,,,,,
ONE,873729113,2661048,3866011,8207084,2,5,0,8207084,6528184,5,0,TRUE,TRUE,0,44235,TRUE,TRUE,0,0,0,0,0,0,0,0
Guntha Arbos,248271439,2613450,3793822,6814521,3,1,3,6814521,6411521,5,0,TRUE,TRUE,0,52300,TRUE,TRUE,0,0,0,1,0,0,0,0
BraZ,193116527,2244850,3247683,8850333,3,10,0,8850333,5492533,4,0,TRUE,TRUE,73330,12375,FALSE,TRUE,0,0,0,4,4,,1,1
Philo Beddoe,753225541,2581060,3456859,9792045,3,11,0,9792045,6038145,5,0,TRUE,TRUE,44160,9834,TRUE,TRUE,0,0,0,2,4,0,4,1
Loadage,268951863,2723221,3589155,10648018,8,13,1,10648018,6312618,5,0,TRUE,TRUE,152693,89807,TRUE,TRUE,0,0,0,4,4,0,4,1
BabyYodaHitta,629856937,1265787,1849581,3518368,7,1,0,3518368,3115368,3,0,TRUE,TRUE,80270,80804,FALSE,FALSE,0,0,0,1,,,,
ilekkund,214848174,3130837,4361096,11602466,12,12,2,11602466,7582066,5,1,TRUE,TRUE,278256,77053,TRUE,TRUE,0,0,0,3,4,0,4,1
Higgs,265535499,2367291,3314431,7097285,1,5,0,7097285,5683785,5,0,TRUE,TRUE,53385,0,TRUE,TRUE,0,0,0,2,3,0,0,0
Theflavorgreen,416984533,2129363,3456571,7670875,4,6,0,7670875,5588975,4,0,TRUE,TRUE,0,75071,FALSE,FALSE,0,0,0,,,,,
MINI xipokemastrix,242144976,1844126,2597864,7047790,7,7,1,7047790,4441990,4,0,TRUE,TRUE,67107,88536,FALSE,TRUE,0,0,0,1,4,,1,1
TacoPizza,797491243,2148564,3275034,8083352,3,8,0,8083352,5426852,3,0,TRUE,TRUE,72436,27005,FALSE,FALSE,0,0,0,4,,,4,
ShootMeow,118543169,2763948,3905974,10286134,21,11,0,10286134,6675234,5,0,TRUE,TRUE,409639,186926,TRUE,TRUE,0,0,0,3,4,0,3,1
Neeb,648797678,2387076,3543439,8014655,3,7,0,8014655,5931655,5,0,TRUE,TRUE,49581,31426,TRUE,TRUE,0,0,0,1,3,3,0,0
Heywood Jablowme,677183999,2936499,4313849,10166409,30,9,0,10166409,7251409,5,0,TRUE,TRUE,605586,354479,TRUE,TRUE,0,0,0,2,3,0,4,0
Dark Penguin,894569678,1902336,2528135,6318271,27,5,0,6318271,4430471,4,0,TRUE,TRUE,402957,282748,FALSE,TRUE,0,0,0,3,,,1,1
JustinAlexander11,283842274,2301469,3739146,9676111,2,11,0,9676111,6043111,5,0,TRUE,TRUE,87026,0,TRUE,TRUE,0,0,0,1,2,4,4,0
MarkKenoburger,513125742,1819924,2793991,8431112,1,12,0,8431112,4619612,5,0,TRUE,TRUE,0,26728,TRUE,TRUE,0,0,0,4,4,0,4,0
Agave,148199846,2674078,3614935,10713053,19,13,0,10713053,6289653,5,0,TRUE,TRUE,371171,142834,TRUE,TRUE,0,0,0,1,3,4,4,1
Baxston Kane,473373554,2889119,3946174,9757186,3,9,0,9757186,6842186,4,0,TRUE,TRUE,181272,0,FALSE,FALSE,0,0,0,2,3,,4,
Sultan2309,938542548,1888218,3071408,7266202,11,8,0,7266202,4956202,5,0,TRUE,TRUE,72676,147810,TRUE,TRUE,0,0,0,4,4,0,0,0
